comment,aspect,published_at
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,,2023-09-24T07:08:52Z
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z
Water bill electricity bill gewannath puluwanda,,2021-06-12T00:26:43Z
Account eke salli thiyenna oneda?,,2021-05-23T03:24:16Z
One of the best app i got😍,,2021-03-14T14:32:32Z
SOLO by HNB 💙,,2021-02-26T08:26:26Z
Wireless headset ගැන විඩියෝ එකක් කරන්න පුළුවන් ද,,2021-02-24T01:59:37Z
Chanux academy eke programming nawaththapu තැනින් patan ganna,,2021-02-23T04:58:40Z
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. )👍👍👍👍,,2021-02-22T15:03:12Z
අය්යෙ studio tour එකක් දෙන්නකො.studio එකක් හදන්න ideas ගන්න ඕන.,,2021-02-21T11:43:25Z
This will lead us to a new era...👍,,2021-02-20T14:24:13Z
Can you tell me how to find out if our phone is infected?🙄🙄🙄,,2021-02-20T12:34:25Z
heart❤ එකක් දැන්වත් pls දාන්නko chanux aiye,,2021-02-20T08:39:24Z
You tube free Nam upload freeda bro,,2021-02-20T05:47:49Z
Ayye huawei y7A phone eka ganath oneeeee,,2021-02-20T02:57:02Z
can i use this app offline?,,2021-02-20T02:36:23Z
good everyone need this in these days,,2021-02-20T01:40:43Z
".has anybody here watched ""Nervous so much"" on youtube ??? 🤣🤣🤣",,2021-02-19T21:45:45Z
Mge tec hero♥👍,,2021-02-19T19:46:41Z
"I don't like to know about mobile phones & technology .
Btw I love to listen  Chanux ayya's speaking way and love to watch his all videos 😁❤️",,2021-02-19T19:02:12Z
Chargers?,,2021-02-19T18:36:24Z
කෝ අනේ gold button එක..🤔🤔🤨,,2021-02-19T16:53:31Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Alert number change please tell me bro,,2024-02-24T10:22:51Z
Thanks bro,,2023-01-02T14:21:28Z
But application ipo work pannalla bro enna issues?😢,,2022-11-18T15:43:15Z
Super sharing,,2022-05-25T06:50:41Z
Itha use panni forign adress ku pay pannalaama bro,,2022-02-14T07:53:20Z
Super definition thanks,,2021-12-04T14:23:23Z
"thanks  bro , how to delete transactions  histroy?",,2021-11-11T14:49:01Z
Clear & Detail information.,,2021-10-25T12:11:04Z
CoinDCX use panni crypto currency moolama money withdraw pannalum ifsc coad illama,,2021-09-17T12:20:32Z
Phoneku Reload pannalaama bro na intha app use panre bro very useful 😊😊,,2021-08-28T08:50:23Z
How to change my phone number,,2021-07-09T14:44:20Z
"Good app
Very clear explanation 
Why don't you try @solo by hnb app",,2021-06-06T06:40:18Z
Bank cheque ah paththi full video onnu podunga,,2021-05-26T10:02:08Z
"Very useful, and a well narrated update",,2021-05-26T05:18:33Z
"HI Anna May 31 st ku piragu YouTube monetization enable aagichina appo US tax info submit panna 30% tax vettuvangala
Please sollunga anna plz most of small Youtuber ku ithu periya doubt ...",,2021-05-23T19:05:35Z
"HI Anna May 31 st ku piragu YouTube monetization enable aagichina appo US tax info submit panna 30% tax vettuvangala
Please sollunga anna plz most of small Youtuber ku ithu periya doubt ...",,2021-05-23T19:05:30Z
"HI Anna May 31 st ku piragu YouTube monetization enable aagichina appo US tax info submit panna 30% tax vettuvangala
Please sollunga anna plz most of small Youtuber ku ithu periya doubt ...",,2021-05-23T19:05:25Z
Bro how to send mony india ku pls sollunga epdi send panrathu indiavuku,,2021-05-23T04:53:09Z
"Super Bro 
Thank you❤️ 🙏🏻",,2021-05-22T20:22:39Z
Bro Iq opinion support ahutha,,2021-05-22T18:11:08Z
"I don't miss your videos 🤗
I like your videos
Good information for us",,2021-05-22T17:11:08Z
New Background with pc & Video resolution also good.,,2021-05-22T15:54:05Z
"Hi bro,
Very very useful information.
Eppidi oru video ekkaaka rompa days wait panniddu erunthan bro...
Thank you so much..
Keep it up bro 👌",,2021-05-22T15:50:41Z
Hi bro iq options earning video podunga,,2021-05-22T15:25:55Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Best work brother🎉❤,,2024-03-24T02:56:08Z
❤Good thnx,,2024-03-14T17:45:52Z
Thank you ❤,,2024-02-03T08:45:18Z
Mage account eka block kiyl watenawane,,2023-12-05T00:16:35Z
Thankyou ❤️ i do it😜,,2023-11-21T19:35:20Z
Bank message phone ekata enne naththe ai?,,2023-08-30T04:20:05Z
❤❤ thanks ❤,,2023-11-06T05:57:14Z
Thank you so much brother ❤,,2023-11-05T19:21:04Z
Reply soon,,2022-12-02T07:56:50Z
Thank you so mush...,,2022-07-08T18:47:38Z
View and transaction   the choice not coming what problem,,2022-07-05T15:36:36Z
Thanks Anna,,2022-04-02T11:54:07Z
"thanks bro  ,how to delete transaction history ??",,2021-11-11T14:46:16Z
Thank you so much bro...🙏🙏,,2021-10-12T07:44:07Z
Super. Thanks please SOLO,,2021-10-03T15:47:48Z
Card illatha acout mudiaytha bro,,2021-09-01T01:42:54Z
"It's great initiative.
It's necessary to our clients nowadays.
Keep doing more video.",,2021-06-27T13:12:49Z
"Its been clearly explained..
Everyone could easily understand the usage of the app 🙂",,2021-06-27T09:59:17Z
Thank q ❤,,2024-04-25T05:37:49Z
very helpful,,2024-02-26T05:32:29Z
Thanks 😊👍,,2022-07-15T18:59:35Z
Thank you ❤,,2022-07-08T12:49:34Z
Nice sharing,,2021-10-23T09:52:00Z
