Comment,Aspect,Date
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Super sharing,,2022-05-25T06:50:41Z
Super definition thanks,,2021-12-04T14:23:23Z
Clear & Detail information.,,2021-10-25T12:11:04Z
How to change my phone number,,2021-07-09T14:44:20Z
Nice ithu ungda A/C 018020133511,,2021-06-25T12:50:23Z
"Good app
Very clear explanation 
Why don't you try @solo by hnb app",,2021-06-06T06:40:18Z
"Very useful, and a well narrated update",,2021-05-26T05:18:33Z
Also boc good,,2021-05-22T20:13:25Z
"I don't miss your videos 🤗
I like your videos
Good information for us",,2021-05-22T17:11:08Z
New Background with pc & Video resolution also good.,,2021-05-22T15:54:05Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Thank you ,,2024-02-03T08:45:18Z
 thanks ,,2023-11-06T05:57:14Z
Reply soon,,2022-12-02T07:56:50Z
View and transaction   the choice not coming what problem,,2022-07-05T15:36:36Z
Super. Thanks please SOLO,,2021-10-03T15:47:48Z
"It's great initiative.
It's necessary to our clients nowadays.
Keep doing more video.",,2021-06-27T13:12:49Z
"Its been clearly explained..
Everyone could easily understand the usage of the app ",,2021-06-27T09:59:17Z
