Comment,Aspect,Date
Thank you..,,2022-09-19T21:01:42Z
Diposit walata goverment tax wadina widihath q wanam watinawa,,2022-09-19T16:16:20Z
It's not boring. Watched all. Thank you.,,2020-08-05T19:07:25Z
Like it.,,2020-08-04T11:04:12Z
Watching,,2020-08-01T21:41:32Z
Nic bro. Want next video soon,,2020-08-01T15:11:57Z
"What do you think abt HASU?, 120 good for enter?",,2020-08-01T14:04:33Z
Aiye kantha police gast awoth dann .2023,,2023-07-18T14:38:30Z
Me link open wenne nane,,2023-07-17T12:06:45Z
Really nice explanation,,2022-04-19T01:57:03Z
Don't  select HNB .I have very bad personal  experience. Lot of hidden charges,,2022-01-14T04:19:21Z
thanks.,,2021-09-08T16:42:23Z
‌what about the hsbc,,2021-09-06T08:21:37Z
Thank you very much.. Wish you all the best..,,2021-09-05T15:24:27Z
Good one,,2021-09-05T03:16:44Z
useful thank u,,2021-09-05T02:07:31Z
Thank you for the information,,2021-09-05T01:21:31Z
Very important informaion. Thank you very much.,,2021-09-05T00:50:11Z
