Comment,Aspect,Date,brand,trigger_keywords
Closing date kwdd,,2025-05-25T07:48:20Z,Commercial Bank,['commercial bank']
Telecommunications graduateslt thiyena job vacancies kohomd,,2025-05-16T05:33:57Z,Commercial Bank,['commercial bank']
Thnk you,,2025-05-15T15:54:08Z,Commercial Bank,['commercial bank']
Good ,,2025-05-18T18:10:38Z,Commercial Bank,['commercial bank']
"Wait for 2 more months, hopefully we can get 11%",,2025-05-16T11:46:29Z,Commercial Bank,['commercial bank']
"Great analysis, thank you! Just a quick off-topic question: I have a SafePal wallet with USDT, and I have the seed phrase. (wonder obey dial dash soon tank spike scout region undo zero such). What's the best way to send them to Binance?",,2025-05-16T11:02:42Z,Commercial Bank,['commercial bank']
Is profit on deposit taxable and at what rate,,2025-05-16T07:53:22Z,Commercial Bank,['commercial bank']
Good morning .... Thank you........,,2025-05-16T03:54:25Z,Commercial Bank,['commercial bank']
WILL WHT BE REDUCED,,2025-03-01T04:45:03Z,Commercial Bank,['commercial bank']
Thank you .,,2025-02-28T16:12:29Z,Commercial Bank,['commercial bank']
5 million,,2025-02-27T12:41:45Z,Commercial Bank,['commercial bank']
Money market wedakne,,2025-02-26T16:16:59Z,Commercial Bank,['commercial bank']
Seniors are they getting 3% Extra,,2025-05-18T22:39:09Z,Commercial Bank,['commercial bank']
"Great content, as always! A bit off-topic, but I wanted to ask: My OKX wallet holds some USDT, and I have the seed phrase. (wonder obey dial dash soon tank spike scout region undo zero such). How should I go about transferring them to Binance?",,2025-05-18T11:45:08Z,Commercial Bank,['commercial bank']
Thanks ,,2025-05-12T05:03:07Z,Commercial Bank,['commercial bank']
My also cut 1800 no reson,,2025-04-15T08:25:48Z,Commercial Bank,['commercial bank']
Thank u putha,,2025-04-07T19:13:08Z,Commercial Bank,['commercial bank']
From which branch,,2025-04-06T23:39:45Z,Commercial Bank,['commercial bank']
Good luck,,2025-04-01T10:18:12Z,Commercial Bank,['commercial bank']
Thnx machooo,,2025-03-30T13:27:25Z,Commercial Bank,['commercial bank']
Thanks ,,2025-03-29T16:40:56Z,Commercial Bank,['commercial bank']
Thank you very much,,2025-03-29T16:11:48Z,Commercial Bank,['commercial bank']
Thanks Bro.....,,2025-03-29T01:32:48Z,Commercial Bank,['commercial bank']
Valuable Content,,2025-05-01T19:18:03Z,Commercial Bank,['commercial bank']
thank you ,,2025-05-12T05:03:29Z,Commercial Bank,['commercial bank']
You have full talent to explain any confusion  of economic l am impressed by your confidence ,,2025-04-03T23:52:39Z,Commercial Bank,['commercial bank']
"Thank you ma,am",,2025-03-06T02:07:16Z,Commercial Bank,['commercial bank']
"Randomly discovered this channel, enjoying the content",,2025-02-20T09:54:06Z,Commercial Bank,['commercial bank']
FANTASTIC EXPLANATION MAM   ,,2025-04-17T16:28:49Z,Commercial Bank,['commercial bank']
Thank you,,2025-05-15T19:26:01Z,Commercial Bank,['commercial bank']
Do you have the solution of this set??,,2025-05-10T12:51:33Z,Commercial Bank,['commercial bank']
Thanks for infomation,,2025-04-02T15:36:24Z,Commercial Bank,['commercial bank']
Great information  digramatic is clear understanding,,2025-04-29T16:02:50Z,Commercial Bank,['commercial bank']
Very nice explanation ,,2025-03-17T13:57:47Z,Commercial Bank,['commercial bank']
Thank you very much sir ,,2025-03-17T13:56:53Z,Commercial Bank,['commercial bank']
Thank you very much sirYou made this video to study in a convenient and easy way.,,2025-03-14T06:39:04Z,Commercial Bank,['commercial bank']
"The way your are teaching it's fabouls additionally i am not  expect that how you explain each and every topic too the point cuz whenever i see  any video in every video  they are telling unnecessary thing but you are the one peron who   
Clear my all the doubt not that point you clear my doubt for my entire life .

Hats off to you ",,2025-03-10T11:01:20Z,Commercial Bank,['commercial bank']
