Comment,Aspect,Date
Invalid activation code kyl watenne ai,,2025-05-16T11:15:25Z
"Anith okkom A, B, C, mths withrk S🥺ehm bhd ",,2025-05-11T04:25:46Z
Can you post a video how to apply and what are the mandatory fields to fill?,,2025-05-11T04:12:04Z
Thankyou sir..,,2025-05-10T15:19:02Z
"Sir,Are these instructions in Tamil?",,2025-05-10T15:09:20Z
really ,,2025-05-10T13:08:41Z
"Thank you sir
Sir me vacancy ek all islanda",,2025-05-10T13:05:56Z
Thnk uu very much,,2025-05-10T12:50:09Z
Phone eken apply wen naa nee,,2025-05-18T02:21:06Z
O/l English second  shy eke tibunot case d?,,2025-05-15T13:41:37Z
Sir mn phone ekn apply kle tw province ekt home town ek dl tiyenne mw select wenne nathi weid,,2025-05-14T18:41:02Z
Thank you ,,2025-05-14T13:31:06Z
Thank you,,2025-05-22T09:03:44Z
Thanks ,,2025-01-16T14:03:53Z
"Mine says, ""it is inactive""
Anyone know what to do here?",,2024-12-10T13:11:15Z
Thope pake app wada na,,2024-10-10T09:15:30Z
Thanks ,,2024-02-17T15:13:51Z
Thanks,,2023-10-07T08:31:01Z
"Password change karala log unma security questions walata answer klma errors kiyl env ne , solution ekk ndda",,2022-11-02T05:07:13Z
security questions walata answer dunnama waradi kiyala enne ai,,2022-08-25T16:18:13Z
Why I can not find this app in my android phone ?,,2022-06-14T16:02:41Z
Thanks to ur guidance i got it restored.,,2022-06-09T10:13:39Z
How to answer for security question,,2020-03-11T08:16:16Z
How to apply for this ?,,2025-05-09T09:25:39Z
How  to reply,,2025-04-28T14:16:49Z
How can i apply this,,2025-03-10T14:40:10Z
How to apply,,2025-02-06T22:08:49Z
How to apply??,,2024-12-24T09:46:50Z
How to apply,,2024-10-02T05:34:45Z
Number ekkawath na application kohomda,,2024-09-07T13:58:53Z
Interview thiyenne sinhalenda,,2025-05-15T14:38:57Z
Up,,2025-05-12T15:05:55Z
Highly appreciated this service,,2024-07-25T03:35:41Z
Me 2025,,2025-04-20T07:55:29Z
This is outdated. Please remove this video.,,2024-12-25T15:42:01Z
Very Good Program Thanx ,,2024-10-16T16:06:29Z
Me p,,2024-10-14T09:38:48Z
Thank You,,2024-08-08T09:56:34Z
Api....lon..akk....gaendea....giyeanem....monweagea......areawea...illeanweathea............meaweatea....mukuth.....nea ...,,2024-06-22T03:09:16Z
Is this FD Available 18.5/-?????,,2024-06-14T12:37:35Z
Thanks for your kind informations,,2024-05-11T05:49:55Z
thanks ,,2023-08-02T17:51:50Z
Good .....,,2022-12-06T01:58:46Z
Thanks,,2022-11-22T18:14:21Z
Thanks,,2022-11-21T15:49:27Z
Thanks,,2022-11-20T13:15:16Z
Thank  you,,2022-11-10T18:47:54Z
Thank you very much brother,,2022-11-10T14:19:01Z
Good,,2022-10-26T14:45:40Z
Thank you very much.,,2022-10-14T13:50:52Z
Very difficult  everytime facing server issues,,2024-09-12T12:18:43Z
Can we register through this app without filling applications,,2024-09-10T16:40:19Z
How to re register the b app,,2023-06-25T14:29:27Z
How to change my username???!!,,2022-11-11T01:24:37Z
Thanks,,2022-11-06T04:18:53Z
Good,,2022-09-28T18:27:25Z
Please help ,,2022-08-29T15:53:11Z
How to change security question 🤔,,2022-08-29T15:52:59Z
How to reset the security question,,2021-11-01T16:03:26Z
Neegal sonna mathiri than try panrn,,2021-06-23T18:47:48Z
Entha Form,,2020-11-19T15:22:16Z
Good,,2020-05-23T05:24:32Z
Hi br boc flex not working,,2025-05-17T17:59:16Z
2 Account number varuthu nick name enru,,2024-02-07T12:32:01Z
Bro how to manage tow accounts into the app pls explain me,,2022-12-24T06:02:55Z
This app not in playstore,,2020-08-07T09:54:15Z
Bro anakku seving and current accontukkum vittiyasam anne,,2020-08-02T08:52:23Z
How to add two accounts to the app. Plz explain..,,2020-04-30T15:03:13Z
sir thank you... n good luck,,2022-10-14T01:15:14Z
"Well done . . .Congratulations ...
INGIRIYA...Wooooow its Amazing . . .",,2020-05-31T17:36:42Z
Wattala coad number,,2025-04-29T13:37:50Z
