comment,aspect,published_at
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z
Water bill electricity bill gewannath puluwanda,,2021-06-12T00:26:43Z
Account eke salli thiyenna oneda?,,2021-05-23T03:24:16Z
One of the best app i got😍,,2021-03-14T14:32:32Z
SOLO by HNB 💙,,2021-02-26T08:26:26Z
This will lead us to a new era...👍,,2021-02-20T14:24:13Z
Can you tell me how to find out if our phone is infected?🙄🙄🙄,,2021-02-20T12:34:25Z
You tube free Nam upload freeda bro,,2021-02-20T05:47:49Z
ane aiye GTA 5  game play one,,2021-02-20T03:20:05Z
can i use this app offline?,,2021-02-20T02:36:23Z
good everyone need this in these days,,2021-02-20T01:40:43Z
".has anybody here watched ""Nervous so much"" on youtube ??? 🤣🤣🤣",,2021-02-19T21:45:45Z
Mge tec hero♥👍,,2021-02-19T19:46:41Z
"I don't like to know about mobile phones & technology .
Btw I love to listen  Chanux ayya's speaking way and love to watch his all videos 😁❤️",,2021-02-19T19:02:12Z
Chargers?,,2021-02-19T18:36:24Z
Thanks anna❤❤❤❤❤❤❤❤❤❤,,2023-11-24T03:52:35Z
HNB le CARDLESS facilities irukka ?,,2023-09-12T04:00:00Z
Thank you so much bro ❤ useful video 😊,,2023-07-10T19:36:02Z
Super broo,,2023-07-10T05:04:26Z
