comment,aspect,published_at
Mine rejected on multiple occasions even after meeting all their criterias,,2024-03-06T18:13:34Z
I got £80 out of it,,2024-03-01T20:44:40Z
Card# 4862 6989 2201 0707😂 don’t display it again,,2024-02-22T22:42:59Z
"In 2012, U.S. federal regulators hit HSBC Holdings with a $1.9 billion fine, along with $665 million in civil penalties, for significant lapses in its compliance and anti-money laundering (AML) systems. HSBC laundered over $881 million for Mexico's Sinaloa and Colombia's Norte del Valle drug cartels.",,2024-02-17T12:17:14Z
"Are you dr. ? 
Kindly reply😊",,2024-02-07T19:12:38Z
"In 2012, U.S. federal regulators hit HSBC Holdings with a $1.9 billion fine, along with $665 million in civil penalties, for significant lapses in its compliance and anti-money laundering (AML) systems. HSBC laundered over $881 million for Mexico's Sinaloa and Colombia's Norte del Valle drug cartels.",,2024-01-16T17:24:01Z
"Thank you very much for these useful tips & guides. I've an upcoming interview with HSBC and hopefully, this helps!",,2024-05-12T08:00:36Z
One wonders how humanity ever came to be enslaved to the monetary system. Money is life and death when there is enough wealth for all,,2024-05-14T05:50:19Z
So if HSBC were shut down the city of London would gone bust. I guess that means that the world’s financial system is dependent on crime.,,2024-05-13T01:20:10Z
"I love hsbc, am a premier customer in 6 countries",,2024-05-12T18:01:45Z
Opium traders😊😅😂 i guess the cartels in Mexico and Columbia are Cocaine traders. Just call drug dealers what they are drug dealers.,,2024-05-09T06:08:43Z
Come on hackers do your thing wouldn’t it be entertaining to see some interesting drama 😊,,2024-05-09T03:24:07Z
"Drug trafficking and murder?  13,000 killed.  Palestinian children have been bombed to death.  And the world Court knows who's responsible.  The British Government along with France and the United States have dirty hands in the history of devaluing human beings.....",,2024-05-04T17:56:41Z
"GERALD CELENTE coined ""Banksters""",,2024-05-03T02:10:46Z
"It's a shame now so British on lapdog of Endia. 
Hired jew hindu sunak
😁",,2024-05-01T10:30:10Z
"Opium monies! China's trademarks, the UK NHS breath from this war.",,2024-05-01T09:40:19Z
Can prosecute people who do not believe in Allah and His Messenger and who do not pay the poor-due,,2024-04-30T00:29:22Z
"I am thinking that islam will replace the communism. 
With the tradition of collecting the Islamic tax from the rich and the wealthy and distribution of some of it to the poor and the needy a new government who believes in Allah and has faith and the religion can do it. It can be a new revolutionary movement in the world. Allah is Greater  !",,2024-04-29T20:21:22Z
"Best documentary: please consider doing a feature on the five Canadian charter Banks, their equally complicit in climate destruction, human trafficking, money, laundering, etc.",,2024-04-28T22:10:15Z
you mean 97 hand ovder the owner relocate home bade?,,2024-04-21T00:19:20Z
Brasil miss HSBC loves this Bank,,2024-01-23T22:32:45Z
"Hold on there,! It every bank! And the biggest criminals or let’s say family the roth child “low cap”  happens to own all the central banks/ who own all the gold but yes owns the federal reserve, and pretty much anything with federal attach to it!  With which means everything you have ever known I mean everything school,law,society,religion,history etc. is all lies!!!!! Don’t dare to think anyone was born to go get a job! Ya ya you get to go work at Walmart or fly plane, whatever Don’t spend $$ the only true value this illusion has is human time! Spend it wisely! Not for the Luciferian elites how make money apeir out of air!",,2024-03-08T02:50:32Z
"Its times like this I'm often reminded of Marlo from The Wire. You you want it one way, but it's the other way.  🤷",,2024-03-03T14:06:30Z
Preach it! HSBC needs the exposure!,,2024-01-28T04:34:07Z
That wasn’t el chapo 🤦🏾🤦🏾🤦🏾🤦🏾🤦🏾,,2024-01-26T17:38:39Z
"Jamie Dimon is walking around free, so yeah.  Money = Immunity.",,2024-01-25T17:56:58Z
Open acc in HSBC 📝📝,,2024-01-25T17:52:18Z
