Comment,Aspect,Date
SOLO by HNB ,,2021-02-26T08:26:26Z
This will lead us to a new era...,,2021-02-20T14:24:13Z
Can you tell me how to find out if our phone is infected?,,2021-02-20T12:34:25Z
You tube free Nam upload freeda bro,,2021-02-20T05:47:49Z
good everyone need this in these days,,2021-02-20T01:40:43Z
".has anybody here watched ""Nervous so much"" on youtube ??? 🤣🤣🤣",,2021-02-19T21:45:45Z
"I don't like to know about mobile phones & technology .
Btw I love to listen  Chanux ayya's speaking way and love to watch his all videos ",,2021-02-19T19:02:12Z
Chargers?,,2021-02-19T18:36:24Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Alert number change please tell me bro,,2024-02-24T10:22:51Z
Thanks bro,,2023-01-02T14:21:28Z
Super sharing,,2022-05-25T06:50:41Z
Super definition thanks,,2021-12-04T14:23:23Z
"thanks  bro , how to delete transactions  histroy?",,2021-11-11T14:49:01Z
Clear & Detail information.,,2021-10-25T12:11:04Z
Card illena active panne mudiyatha bro,,2021-09-01T01:14:45Z
How to change my phone number,,2021-07-09T14:44:20Z
Nice ithu ungda A/C 018020133511,,2021-06-25T12:50:23Z
"Good app
Very clear explanation 
Why don't you try @solo by hnb app",,2021-06-06T06:40:18Z
Bank cheque ah paththi full video onnu podunga,,2021-05-26T10:02:08Z
"Very useful, and a well narrated update",,2021-05-26T05:18:33Z
"Super Bro 
Thank you ",,2021-05-22T20:22:39Z
Bro Samsung F41 review podunga,,2021-05-22T20:11:17Z
Bro Iq opinion support ahutha,,2021-05-22T18:11:08Z
"I don't miss your videos 🤗
I like your videos
Good information for us",,2021-05-22T17:11:08Z
New Background with pc & Video resolution also good.,,2021-05-22T15:54:05Z
Hi bro iq options earning video podunga,,2021-05-22T15:25:55Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Best work brother,,2024-03-24T02:56:08Z
Thank you ,,2024-02-03T08:45:18Z
Thankyou  i do it,,2023-11-21T19:35:20Z
 thanks ,,2023-11-06T05:57:14Z
Thank you so much brother ,,2023-11-05T19:21:04Z
Thank you aiye,,2024-04-28T06:13:32Z
Thank q ,,2024-04-25T05:37:49Z
very helpful,,2024-02-26T05:32:29Z
Thanks ,,2022-07-15T18:59:35Z
Thank you ,,2022-07-08T12:49:34Z
Nice sharing,,2021-10-23T09:52:00Z
Reply soon,,2022-12-02T07:56:50Z
Thank you so mush...,,2022-07-08T18:47:38Z
View and transaction   the choice not coming what problem,,2022-07-05T15:36:36Z
"thanks bro  ,how to delete transaction history ??",,2021-11-11T14:46:16Z
Thank you so much bro...,,2021-10-12T07:44:07Z
Super. Thanks please SOLO,,2021-10-03T15:47:48Z
"It's great initiative.
It's necessary to our clients nowadays.
Keep doing more video.",,2021-06-27T13:12:49Z
"Its been clearly explained..
Everyone could easily understand the usage of the app ",,2021-06-27T09:59:17Z
