Comment,Aspect,Date
WILL WHT BE REDUCED,,2025-03-01T04:45:03Z
Thank you .,,2025-02-28T16:12:29Z
You are only helpful to rich  peoples,,2024-07-14T08:11:31Z
"It should be 70,000/365*100",,2024-07-14T04:35:45Z
Your calculation is totally wrong,,2024-07-14T04:33:14Z
What is this fellow talking,,2024-07-13T01:33:06Z
"GiganticWebsites.com is a project through which I make it possible for people to build truly gigantic websites (thousands of articles each!) at ridiculously low prices. If you have a great domain you want to turn into an amazing website or an existing site you'd like to upgrade/scale, visit our website or check out the One Minute Economics presentation video below:

https://www.youtube.com/watch?v=gE8yEOQFMvo

Please note that this comment is not an ad for a third-party service provider. GiganticWebsites.com is my baby 100% and I will personally be involved in each and every project so as to ensure the website turns out great :)",,2023-07-29T10:06:58Z
Why not cut out the commerical bank,,2025-01-30T06:22:32Z
BUT WE HAD KNOWLEDGE TO LET YOU DOWN,,2024-03-18T01:08:48Z
The value of money is not determined by its quantity or volume but by what it is able to purchase,,2023-12-13T16:16:58Z
"Important update! The situation in Ukraine is BAD and action must be taken. If this channel has been useful to you at least once, please give me a minute (!) of your time by watching the following video dedicated to what I believe must be done from an economic perspective (anyone can help): https://www.youtube.com/watch?v=nuZI_qBHyaY",,2022-02-26T00:11:09Z
thank you,,2021-05-23T06:49:13Z
"One Minute Economics needs your help! Please give me a minute (heh) of your time by watching the following video if you find the channel useful, literally anyone can help (either financially or by spreading the word about my work): https://www.youtube.com/watch?v=io04ckq1X1M",,2020-08-15T10:36:51Z
"Put the speed at 0.25x speed.

0:54",,2020-07-23T06:30:30Z
"Please consider making video on investment banking as well.
I love ur work",,2019-04-20T07:52:13Z
Give him a hiphop beat...,,2018-10-11T04:08:37Z
you talk so fast i had to slow down the video to understand,,2017-12-21T13:29:12Z
awesome work ... great videos .... keep going on and BTW about which book you are talking about??,,2016-11-26T17:35:03Z
"Signed up and ready to order, really enjoy the videos and hope the book is even more informative!",,2016-11-06T02:44:51Z
Good information thank you sir ,,2022-05-24T06:52:37Z
is this wadzee,,2021-12-06T14:28:51Z
Thank you,,2020-09-02T07:30:50Z
Best knowledge,,2020-04-22T09:13:17Z
Thank you...brother  ,,2023-01-17T19:09:50Z
Thank you..great video ,,2023-01-16T10:26:42Z
Good video brother,,2023-01-16T09:47:34Z
Thanks ,,2023-12-09T10:38:48Z
"Thank you, good Video",,2023-11-16T10:40:25Z
Thanks brother ,,2023-06-21T08:00:23Z
Thanks,,2023-06-21T05:55:37Z
Thank you so much...this is very helpful...it's work...good luck ,,2022-09-06T17:07:00Z
Thanks ,,2022-07-20T07:42:56Z
Thank ,,2022-06-24T05:22:00Z
Thanks bro,,2022-06-07T19:28:47Z
Thank you bro ,,2022-03-11T11:28:58Z
Thankyou!,,2022-02-25T12:04:48Z
Access code awe nenw,,2021-12-28T14:17:21Z
Thank U,,2021-10-17T04:18:08Z
Thank you Very much For you  Although  taught Step by step Usefully me,,2021-10-01T16:12:40Z
Thank you..good video,,2021-09-26T09:24:52Z
thank you,,2021-07-06T18:55:04Z
Phone number unsuccessfully kiyanne,,2021-05-07T15:01:26Z
thanx,,2021-02-23T05:15:39Z
Thnk u so much 🤗,,2020-12-29T15:29:30Z
Niyamai thanks for your help,,2020-12-19T10:28:29Z
It's very useful Thank you ,,2020-07-24T14:12:57Z
thanks,,2020-12-24T00:11:52Z
Thanks,,2025-01-29T18:07:16Z
"It's really useful,",,2024-12-25T16:21:44Z
Thanks,,2024-01-03T08:17:29Z
Thank u useful video,,2023-02-09T06:18:45Z
Do you wish to continue with this transation kiyala thiyene eke no ebuwoth mokada wene,,2022-11-10T08:27:21Z
My also cut 1800 no reson,,2025-04-15T08:25:48Z
Thank u putha,,2025-04-07T19:13:08Z
From which branch,,2025-04-06T23:39:45Z
Thnx machooo,,2025-03-30T13:27:25Z
Thanks ,,2025-03-29T16:40:56Z
Thank you very much,,2025-03-29T16:11:48Z
Thanks Bro.....,,2025-03-29T01:32:48Z
Thanks ,,2025-02-17T01:48:45Z
"See all my Investment Banking videos here (Resume, Cover Letter, Video Interview tips and more): https://www.youtube.com/watch?v=JDUOEEjY7jk&list=PLCZxHKdpVXC56WJd2c-rwQ19D_KJqkFOI",,2021-06-19T09:26:06Z
"Thanks a lot.
You never disappoint !",,2024-09-28T22:09:17Z
nicely explained.... cleared the basics....,,2024-06-14T14:42:36Z
Wish you Success,,2024-01-30T15:17:36Z
Your video would have been better if the background music wasn't louder than your voice,,2023-09-28T21:24:20Z
"Smaller, speculative stocks have endured a historically weak stretch. Investors are betting that a turnaround is finally in the works. I’ve lost about $320k within a few months, how do i take advantage of the market turnaround?",,2023-09-15T19:41:03Z
@5:02 Can company A directly sell shares instead through the investment bank.,,2023-06-28T00:04:27Z
Thankyouu soo muchh! You made the concept so simple for me. I come from a pure tech background and just starting to gain knowledge about Finance and Financial Services. Thanks for this video,,2023-05-26T13:49:13Z
Great video thankyou for explaining it to us.,,2023-03-31T23:44:18Z
"hi, kenji. Can u make smthing interesting on Enrollment agents? EA as Career , growth, any niche area etc.",,2023-03-05T03:24:52Z
Good business relationship with you and digital marketings services very nice day and I will be able to get the future,,2023-02-08T23:05:28Z
hi Kenji. which tool do you use for animating in your videos?,,2023-02-04T18:01:21Z
"Great content. I found the sound effects annoying, however.",,2023-01-23T17:02:55Z
Good knowledge sir,,2023-01-20T19:15:51Z
"One of the best ""101's"" foundational explanations I see in a long time. Great job Mr. Kenji",,2022-12-20T18:36:37Z
Brilliant insight <3,,2022-12-19T16:24:50Z
Well and clarified lessons u gave us dear i appriciated you .. big up dear !!!🤛,,2022-10-29T19:33:50Z
TY for the great video. Only thing is the subtitles are missing or lagging for part of your speech.,,2022-10-13T07:46:53Z
"How are you 
I'm kp 
Pilipinas central? Ae? Defrnt 
Kp HSBC? 
Ae to pasntg available I'm dontad 5 pasntg central people? 
Your benefit",,2022-10-03T15:37:56Z
I can't thank you enough <3,,2022-09-20T04:23:33Z
Thanks Kenji. All your videos are very helpful and relevant to what I'm doing. I'm watching all of them from the first one to the most recent,,2022-08-31T18:42:23Z
*Fantastic.....thank you!*,,2022-07-22T13:36:41Z
"Thanks, this is a great video with detailed explanation!",,2022-07-17T12:53:16Z
"thank you so much,keep goig",,2022-05-16T06:48:29Z
what camera are you using...?,,2022-05-15T20:07:29Z
Thank you for proving this simple to understand the difference between commercial and investment banks.,,2022-05-11T13:32:54Z
very helpful thanks,,2022-05-08T08:51:19Z
This was very helpful! Thanks for the clarification,,2022-03-24T10:23:54Z
Very well explained,,2022-02-27T12:06:00Z
very good explanation bro,,2022-02-26T14:59:29Z
Thank you so much! Nobody could simply it the way you did! Amazing skills ,,2022-02-21T20:42:39Z
Thnx a lot man. Explained everything in a simple manner.,,2022-02-02T17:21:05Z
Great explanation. Thanks for sharing!,,2022-01-26T05:25:28Z
"Easily understandable content, Thanks a lot sir!",,2021-12-06T12:02:32Z
Useful beginner clip.,,2021-11-25T19:06:09Z
