comment,aspect,published_at
It's not boring. Watched all. Thank you.,,2020-08-05T19:07:25Z
Watching,,2020-08-01T21:41:32Z
Nic bro. Want next video soon,,2020-08-01T15:11:57Z
"What do you think abt HASU?, 120 good for enter?",,2020-08-01T14:04:33Z
Buththala vacancy nadda,,2022-10-07T04:38:00Z
Closing Date Ehm Kwadd,,2022-09-29T17:41:25Z
Intership pluwand,,2022-09-28T03:06:36Z
Application ywnne moketd,,2022-09-16T17:17:33Z
Ayye age 26 ta puluwanda HNDIT out wela inne..puluwan weida apply krnn,,2022-08-18T09:13:52Z
Rathnapure ahema thiyanavatha,,2022-08-17T14:36:42Z
"Mekata thamath apply karanna puluwanda
Please reply me.",,2022-08-11T10:28:49Z
Southern province eke hari western province kohe unt kmk na,,2022-08-06T12:07:23Z
Lamai kannawatha  contact number send me please,,2022-08-05T05:52:56Z
Link eken gihin register wenna witharaine aiye puluwn apply karanne kohomada,,2022-08-03T01:54:50Z
Me hnb insuranceneda,,2022-08-02T08:52:26Z
Badulle vacancy thiynwd,,2022-08-02T08:12:40Z
Kegalla branch eke vacancy tiyeda,,2022-07-30T13:40:32Z
Hambanthota vecancy thiyd,,2022-07-28T04:20:32Z
Rathnapure ahema vacancies thiyeda,,2022-07-25T03:11:26Z
Closing date??,,2022-07-23T11:38:24Z
Apply karanna closing date eka October neda,,2022-07-21T15:35:50Z
how shall we apply for this,,2022-07-21T14:53:26Z
"Interview ekta yannama onida,colombo wla witharada tynne",,2022-07-21T14:38:39Z
"Closing Date එක september 30 නෙ .
එතකොට එයාලා interview එන්න කියලා කෝල් කරොත් කෝල් කරන්නේ september 30 න් පස්සෙ නේද",,2022-09-27T11:53:29Z
Me pdf eka send wenne head office ekatada? Qualifications match wenawnam aniwarenma call karanawada?,,2022-09-26T08:45:13Z
o/l 9.7k tynw.english s tynn.a/l commerce krw.B 3k tynw.aply krnn plwnd.ane plz riply akk dannko,,2022-09-25T05:06:18Z
"English ,maths walat c2k thiyenne  danna barida🥺",,2022-09-24T10:20:56Z
O/l english C maths B thiyenne apply kranna puluwanda,,2022-09-24T08:59:55Z
Al c2i s1i ol 9i 7i maths A english S apply krnn puluwnda computer assistant nvq level 3 complete,,2022-09-24T08:31:44Z
Please reply me,,2022-09-24T07:49:05Z
O/l wala english and maths subject dektm c tyna kenekta apply krnn puluwnd,,2022-09-24T07:18:16Z
A/L second shy ccs eka puluwanda first shy eke sss thiyenne kamk nh neda,,2022-09-24T06:59:27Z
Exam තියෙන්නේ  inglish  වලින්ද?,,2023-11-27T15:52:43Z
