Comment,Date
me wallet eke payment karanna giyama error signal ekakne enne,2024-04-01T04:54:48Z
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,2023-11-02T06:50:00Z
Meken wena account ekakta danna berida salli,2023-10-21T12:22:50Z
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,2023-10-06T19:44:05Z
Solo app eken wena bank ecount walata money transfer karana puluwnda,2023-10-04T17:52:56Z
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,2023-09-24T07:08:52Z
Transaction password eka amathaka mm hadagnne kohomda,2023-09-15T14:44:32Z
Hnb account balance eka bala ganna puluvanda,2023-08-21T06:41:55Z
1xbet dnn brida,2023-07-26T06:06:14Z
Mata oyage whatsApp number eka oni,2023-03-17T11:16:36Z
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,2023-02-19T12:21:14Z
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,2023-02-01T04:02:14Z
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,2022-11-16T16:55:46Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,2022-09-07T04:16:21Z
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,2022-08-14T15:28:08Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,2022-08-13T11:52:06Z
Aiye meke dialog home broadband gewanna puluwanda,2022-07-27T02:15:23Z
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,2022-07-14T14:28:13Z
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,2022-07-06T15:42:09Z
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?",2022-03-04T11:49:26Z
Meken bank transfer karanna puluwan da?,2022-01-08T04:19:58Z
Api karana transfer wlt ganak kpnwda..?,2021-12-30T06:44:57Z
It's excellent,2021-11-05T08:14:30Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,2021-09-18T08:08:28Z
5.35 Mona pin tha add karanda one,2021-09-07T09:03:03Z
Bank acount ta tarnfar karanna puluvamda,2021-09-01T01:23:55Z
Moeny transfer karanna pulivamda,2021-09-01T01:21:15Z
Wenath bank akakata gewanne kohomada,2021-08-25T09:26:50Z
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",2021-08-04T17:03:02Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,2021-07-17T09:01:19Z
Bro me app ekata txt tiyanawadha?,2021-07-06T16:43:54Z
Credit cards couldn't add... I tried several times and different cards...,2021-06-17T14:57:21Z
Water bill electricity bill gewannath puluwanda,2021-06-12T00:26:43Z
direct money transwer karanna puluwanda?,2021-06-11T19:13:31Z
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,2021-06-11T18:52:21Z
Vena bank ekakta salli transar krnne komda,2021-06-07T04:14:16Z
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.,2021-06-05T05:37:54Z
