Comment,Date,language
හරිම වටින වීඩියෝ එකක් මල්ලි  Good valuble video. Thank you ,2025-05-07T16:06:54Z,si
අපි දෙනව 500000/=ට10000/=මාසිකව..,2025-05-07T18:49:48Z,si
ඔයිට වඩා LB එකේ දෙනවනෙ.,2025-05-07T16:42:00Z,si
"pahadili kirima hodai, eth thumnel eke boru danna epa, minissu hamoma ehema vivws ganna boru kalata , oya balanna ehema nokara wensth kramayak use karanna , thank you,",2025-05-07T13:24:11Z,si
Apita apa ape salli badu gahanawa,2025-05-07T11:48:42Z,si
Ahurudu2kta..danna.bareda,2025-05-07T11:42:29Z,si
ඔය. පෝලීවැඩක්නෑ.  රටවීරැ. අපේ.  සල්ලී. ඔක්කෝම. කපනවා,2025-05-07T10:59:38Z,si
"bank serawangenma wedima rate thiyenne Mona bank ekeda video ekak danawada,please",2025-05-25T01:47:31Z,si
Nsb එකේ full video එකක් ගෙන්නකො 🫶,2025-05-23T01:25:17Z,si
,2025-05-22T19:15:26Z,
Fd eka dammata passe website eke cancel karnne kohomda,2025-05-20T20:51:07Z,si
"Ammo charterma bank eka....   
Balu wadamai karanne....",2025-05-20T17:58:26Z,si
NDB bank,2025-05-19T14:08:07Z,other
ලක්ෂ 5ක් තියෙනවා  මාසික පොලියට අවුරැදු 2කින් ගන්න හොදම බැංකුව මොකක්ද,2025-05-19T09:53:29Z,si
Salan,2025-05-19T09:40:50Z,other
ලක්ශ 20 ක් වගේ fixed deposit එකක් දානවා නම් ට්කක් හොද පොලියක් ගන්න මොකක්ද හොද ව්දිහ කියලා කියන්න පුළුවන්ද පොඩ්ඩක්,2025-05-18T22:24:56Z,si
So good thank,2025-05-18T08:24:24Z,en
දෙන රේට් එක වගේ දෙගුණයක් කපනව අපි ණයක් ගත්තම…. ලංකාවෙ බැංකු නම් කායලා වැඩක් නෑ….,2025-05-18T04:31:39Z,si
ස්තුතියි,2025-05-18T02:11:21Z,si
Pples leasing එකේ 9% ක්‌ අව්රුද්දට දෙනවා,2025-05-18T02:05:31Z,si
රට ඉඳලා සල්ලි එව්වත් අවුරුද්දට ලක්ෂ දහඅටට වැඩි නම් මේගොල්ලෝ ටැක්ස් එක කපනවද,2025-05-17T22:50:22Z,si
machan latest vedio dana,2025-05-17T22:03:06Z,other
Budusaranai jayawewa,2025-05-17T20:34:38Z,other
15.625 aran monava karannada light bela gevanna puluva ,2025-05-17T16:16:19Z,si
Watinawa,2025-05-17T15:44:48Z,other
ස්තුතියි ඔබට  විඩීයෝ එක අපිට වැදගත්,2025-05-17T15:39:09Z,si
බැංකුවේ  සල්ලි වලට හැදෙන පොලියෙන් 10කපා ගන්නවාද,2025-05-17T15:15:20Z,si
5 lksh wage masa 60 kata fd ek dala mase gane interest ek gannwnm 9% gane habenw ne ethakot api 1 year dala ganna interest ekt wada wasiyak thiynw ned,2025-05-17T14:55:07Z,si
Rs 25.000 k thebboth athe masekawa 15625 k keyala mona da ita passe keyapu dewal wenas nee,2025-05-17T14:22:46Z,si
කිව්ව ගමන් දාල 🥺,2025-05-17T14:12:15Z,si
Mata kathakaranna oni nambar  akak danna,2025-04-21T06:31:46Z,si
ගනුදෙනු කරන්නෙ කවදද??,2025-04-09T15:57:11Z,si
Fixed deposit eken loan ekak online  ganna heti video ekak krnnako sampath app eken,2025-05-20T14:03:03Z,si
එකවේලේට ලුනු පැකට් එකයි පොල් ගෙඩියයි හාල් කිලෝ එකයි අනේ ,2025-05-18T05:47:36Z,si
Apply klt psse submit unm msg ekk hri mail ekk hri enwd,2025-05-23T07:57:02Z,other
Kawada wenakn aply krnn puluwanda,2025-05-22T15:02:50Z,si
A/L bio කලේ ඒත් එක විශයක් fail අයියේ DBF එක කරල තියනවනම් මේකට යන්න පුලුවන් වෙයි ද?,2025-05-21T12:10:03Z,si
Komd oy application  ek  gnne api complet  krnn,2025-05-21T09:03:25Z,si
Man campas out wala inne.degree aka history special .wayasa 29 .awurudu 30 passe rajaye gazzet liyanna barida?,2025-05-19T17:43:32Z,si
Connection තියනවා නම් එක සුදුසු කමක් වත් ඕනේ නෑ,2025-05-19T14:37:07Z,si
