Comment,Date,language
Sir oken CA non audit training complet kara ganna puluwn da.. Mn CA karana gmn inne sir,2025-05-23T13:28:19Z,ta
o/l english walata  first shy ekee  c pass ekak thiyenneh habi deweni sare b pass ekak thiyanawa. mata commercia bank ekata apply karanna puluwanda,2025-05-21T17:46:15Z,ta
sir 1 shyma o/l English A OR B balanawada mata o/l English 2 shy English B thiyenawa .mata apply karanna puluwanda,2025-05-20T15:49:01Z,ta
"Mata me january walata 22 labuwa 22 sampoorna nathi nisa apply krn puluwnd , a/l second shy eke result danna puluwnd natn 1 st shy eke result ek witrd dana puluwn",2025-05-20T11:28:14Z,ta
"Sir  ibsl eke course ek krn bank eke salary ekn fee gewn gmn krnn plwn d netnm api course ek krl  d job ekt ynn oni. ( mama okt apply kl, exm ekt liwwa)",2025-05-20T07:36:35Z,others
Ane 23 i mata. Dammath wadak nathi weida,2025-05-19T16:39:41Z,others
"O/L    maths-A   ,english-C apply krnn puluwanda",2025-05-19T06:22:06Z,si
"මට වයස 24යි මාස 10යි..වයස ප්‍රශ්නෙ නිසා ඇප්ලයි කරන්න බැහැ බෑන්ක් ජොබ්ස් වලට...2019 ඉදන් ඇප්ලයි කරා ඒත් බැරි උනා..ol english B, Maths B, Tamil A...Al cms walin ABC..general english C.. English higher national diploma eka karala inne..ජොබ්ස් වලට ඇප්ලයි කරන්නෙ 2019 ඉදල..තවම 25ක් වෙන්න ලන්වෙලත් ජොබ් එකක් නැ...මන් ඇප්ලයි කරන විදියෙ ප්‍රශ්නයක් ද වරදක් ද කියලත් හිතෙනව",2025-05-19T05:45:05Z,si
Sir banking wlt awhsya smnya it apit free igen gnn widihk ndd 🥲🫠,2025-05-18T04:14:28Z,others
"sir, campus yanakan internship yanna me link ekenma gihin internship kiyala thiyena thena apply karanna puluwan naada sir?
commercial bank eke internship walata pay karanawada sir?",2025-05-17T18:34:33Z,ta
sri meka 2 years da. job eka sthira kara ganna chance ekak nadda meke,2025-05-17T18:23:58Z,ta
Meka boc trainee wge ekkd ?,2025-05-17T16:53:49Z,si
english  c thibba nam apply karanna berida,2025-05-17T14:38:59Z,ta
Campus enakn yanna mewata apply karanna puluwanda?,2025-05-17T10:38:00Z,ta
