Comment,Date
Sir oken CA non audit training complet kara ganna puluwn da.. Mn CA karana gmn inne sir,2025-05-23T13:28:19Z
o/l english walata  first shy ekee  c pass ekak thiyenneh habi deweni sare b pass ekak thiyanawa. mata commercia bank ekata apply karanna puluwanda,2025-05-21T17:46:15Z
sir 1 shyma o/l English A OR B balanawada mata o/l English 2 shy English B thiyenawa .mata apply karanna puluwanda,2025-05-20T15:49:01Z
"Mata me january walata 22 labuwa 22 sampoorna nathi nisa apply krn puluwnd , a/l second shy eke result danna puluwnd natn 1 st shy eke result ek witrd dana puluwn",2025-05-20T11:28:14Z
"Sir  ibsl eke course ek krn bank eke salary ekn fee gewn gmn krnn plwn d netnm api course ek krl  d job ekt ynn oni. ( mama okt apply kl, exm ekt liwwa)",2025-05-20T07:36:35Z
Ane 23 i mata. Dammath wadak nathi weida,2025-05-19T16:39:41Z
"O/L    maths-A   ,english-C apply krnn puluwanda",2025-05-19T06:22:06Z
"මට වයස 24යි මාස 10යි..වයස ප්‍රශ්නෙ නිසා ඇප්ලයි කරන්න බැහැ බෑන්ක් ජොබ්ස් වලට...2019 ඉදන් ඇප්ලයි කරා ඒත් බැරි උනා..ol english B, Maths B, Tamil A...Al cms walin ABC..general english C.. English higher national diploma eka karala inne..ජොබ්ස් වලට ඇප්ලයි කරන්නෙ 2019 ඉදල..තවම 25ක් වෙන්න ලන්වෙලත් ජොබ් එකක් නැ...මන් ඇප්ලයි කරන විදියෙ ප්‍රශ්නයක් ද වරදක් ද කියලත් හිතෙනව",2025-05-19T05:45:05Z
Sir banking wlt awhsya smnya it apit free igen gnn widihk ndd 🥲🫠,2025-05-18T04:14:28Z
"sir, campus yanakan internship yanna me link ekenma gihin internship kiyala thiyena thena apply karanna puluwan naada sir?
commercial bank eke internship walata pay karanawada sir?",2025-05-17T18:34:33Z
sri meka 2 years da. job eka sthira kara ganna chance ekak nadda meke,2025-05-17T18:23:58Z
Meka boc trainee wge ekkd ?,2025-05-17T16:53:49Z
english  c thibba nam apply karanna berida,2025-05-17T14:38:59Z
Campus enakn yanna mewata apply karanna puluwanda?,2025-05-17T10:38:00Z
English wlt C brid,2025-05-17T09:54:16Z
Mta  wayasa 24yi A/l bio kle css English it uk diploma dekk krl thiyenwa software engineering HND danata follow kranwa mt bank walt apply krnn puluwan d mt apply krnn puluwan job tikk kiynnko loku udwwak,2025-05-17T05:01:22Z
Management degree ekakta hondma private university eka mkda ,2025-05-16T14:38:47Z
"Sir, Accounting special degree ekak thiyna graduateslata thiyena job vacancies kohomda",2025-05-16T14:36:50Z
Sir meke training period eka kochchra kalaykd? ita kalin ain wenkot api apahu gewanna oned,2025-05-16T08:28:50Z
මට O/l English C pass එකක් තියෙන්නෙ Apply කරන්න බැරි වෙයිද ?,2025-05-16T08:19:17Z
"Sir 24 a/l university yanna inna ayata  apply karanna puluwan firms,jobs monawada?",2025-05-16T06:58:51Z
Salary ek mona wageda kiynnko,2025-05-16T06:36:03Z
Mt a/l english s ekk thinne . ek aul giypu nisa mn Mn spoken english course ekk kra.   Dn Diploma in banking and financial eke fist ek complete kra .. thma result awe na  second ek me year eke krnwa mt apply krnn puluwn d mekat,2025-05-16T06:34:18Z
Mt me january wlt 22 complete unaa 22 maasa ganak gihin nisa mekt apply krtta wdk nti weid,2025-05-16T06:20:16Z
Exame ekak nadda..BoCwala wage,2025-05-16T06:08:29Z
Telecommunications graduateslt thiyena job vacancies kohomd,2025-05-16T05:33:57Z
Sir mama bba degree karana gaman inne.mata mekata apply karanna barida 24 i. Age wadi aya ethakota ganne mona wage positions da,2025-05-16T03:37:21Z
අවුරුදු 22 ට වඩා අඩු වෙන්න ඕනද සර්,2025-05-16T02:07:23Z
"සර්  මට AL  -ABB 
කොමස් කලේ .

Ol  english වලට s එකක්  තියෙන්නේ .
icbt cmpus  එකෙන් english & it ඩිප්ලෝමා එකක්  කරල තියෙන්නේ .

ඒ ඩිප්ලෝමා එක  කරල තියෙන නිසා ol  engilsh -s එක  අවුලක් නැති  වෙයිද?",2025-05-15T21:19:57Z
O/L pass ayat tiyna job gana video ekk gennko english fail ayt,2025-05-15T17:05:15Z
Thnk you,2025-05-15T15:54:08Z
මන් මේ වගෙ ජොබ් වලට ඇප්ලයි කල ඔන්ලයින් එත් කිසිම respond එකක් නැ. සුදුසුකම් ප්‍රශ්නෙකුත් නෙමෙයි. මට දැනගන්න පුලුවන් ද ඇයි ඉන්ටවීව්වත් කෝල් කරන්නෙ නැත්තෙ කියල කොච්චර කල් යනවද ඔන්ලයින් ඇප්ලිකෙශන් දාල උත්තරයක් එන්න,2025-05-15T15:38:53Z
Thnkx mehem vidios dnwt,2025-05-15T14:56:23Z
"මට A/l s 1 yi thiyenne, O/L හොඳටම pass mata hoda salary ekak ගෙවන  job tikak kiyanavada  hoyala බලන්න",2025-05-15T14:34:55Z
"Tawakalika job nadda bankswala
University patan gannakam karanna puluwan",2025-05-15T13:54:13Z
"Boc da , commercial yn eka hoda ??",2025-05-15T13:40:48Z
Intern  walata gannawadha,2025-05-15T13:32:31Z
Ol wala maths s ekayi english s thiyenne A/ L nam ABC risalt thiyanawa maya applay karanna bahada ,2025-05-15T13:26:17Z
"Maths S pass English A pass for O/l
Apply karanna puluwanda ?",2025-05-15T13:04:13Z
"අයියෙ අනේ හදිස්සියක්... මම අද බැංකුවෙන් අලුත් එකවුන්ට් එකක් හදාගත්තා. නම්බර් එක දුන්න ෆෝන් එක නෙමේ අරන් ගියේ. එතනින් ඇප් එකට එකවුන්ට් හදලා මගෙ යූසර්නේම් එක ලියපු කොලයක් දුන්නා. පින් එක එහෙම මැසේජ් ඇවිල්ලා ඇති කිව්වා. ඒ උනාට ඇවිල්ලා නෑ. පාස්වර්ඩ් එකක් අර නම ලියපු කොලේ ඇති කියලා හිතුවේ ඒකත් නෑ. සරලවම මගෙ නම්බර් එකට මුකුත් ඇවිල්ලා නෑ. පාස්වර්ඩ් එක සාමාන්‍යෙන් කොහොමද එන්නෙ? මට අද හොයාගන්න ඕනෙ මගෙ අතින් මොකක්හරි මිස්ටේක් එකක් වෙලාද කියලා, නැත්තම් ආය යන්න වෙනවා",2025-05-23T17:34:41Z
2 step ekt yanna denna erro ekk enw,2025-05-23T09:24:38Z
Aiyee mge ek hadann banee,2025-05-06T07:40:50Z
Lanka orix finance payment karanna puluwan da,2025-04-27T12:21:01Z
Mage username and password mathaka na mk karanne,2025-03-27T13:20:24Z
Mobile app eken puluwanda meka karanna,2025-03-14T07:04:23Z
අයියේ මගේ පරන පාස්වඩ් එක මතක නැ මට ඒ නිසා ලොග් වෙන්න බෑ ඇප් එකට help එකක් දෙන්න,2024-10-08T18:00:34Z
ටර්න්ෆර් පේමන්ට් කියලා එකක් පෙන්නනේ නෑනේ,2024-05-29T16:07:04Z
කස්ටම් එකට කතා කරන්න කියන්නේ .මගෙ baranh eke d,2024-05-20T04:12:08Z
බැංකුවෙන් වෙනම ඕකට රෙජිස්ටර් වෙන්න ඕනෙද . Online විතරක් රෙජිස්ටර් උනාම මදිද,2023-10-03T11:04:36Z
Transfer pennanne nane,2023-09-09T07:44:01Z
Translation pananay na,2023-02-23T06:47:50Z
,2023-02-05T19:08:36Z
Sms alert service eka gnne kohomada,2023-02-05T14:38:55Z
Ayyee Alibaba gena  iganaganna course thiyawatha?,2023-02-05T05:36:07Z
මම දැන් බැංකුවට ගිහින් මේ ගැන අහලා ආවා විතරයි. ඊට පස්සේ මේ වීඩියෝ එක දැක්කේ... ඇත්තටම වටින වීඩියෝ එකක්... ගොඩාක් ස්තූතියි දැනුවත් කිරීම සම්බන්දව.,2025-05-16T06:03:03Z
Nrfc gana ekak Danna,2025-05-23T01:51:47Z
"මේක හෙන පාඩුයි
37540*24 යනු ලක්ෂ 9 ටත් වැඩියි.",2025-05-21T16:34:56Z
"haha, patta investmant mewa,",2025-05-21T06:45:05Z
ඔයිට වැඩිය මාර ලාබයි celinco එකේ investment plan එකක් දානවා.. පොලිය හම්බෙන්නෙත් වැල් පොලියට tax කැපෙන්නෙත් නෑ කීයක්වත්,2025-05-20T13:52:55Z
Padui,2025-05-19T03:43:50Z
"2023 රට එන්න කලින් මිලියන් දැම්මා මහජන එකේ, 21% දුන්නා අව්රුදු 2ට.",2025-05-18T22:02:54Z
Good ,2025-05-18T18:10:38Z
"සල්ලි තියන අයට හොදයි ,අපි මාසේ ජිවත් වෙන්නෙත් දෙවෙල කාලා",2025-05-18T17:29:55Z
Period eka wadi wena tharamata apita bankuwen hambena gana wadi lamayek hadana ayata mewa godak hodai lamaya hadanna innawann me wage ayojana krama wala MUDAL dann lamayata aurudu 18 weddi thamange deyak  ho usasadyapanayata bawithakaranna puluwan katawath nawenne nathuwa,2025-05-18T15:22:39Z
"කරුනාකර මාතෘකාව හරියට දාන්න, ""රුපියල් 18,000 තියනවනම් මිලියනයක් හොයන්න පුලුවන්"", ඇයි ලිව්වේ නැත්තේ ""මාස් පතා ආයොජනය කලයුතුයි"" කියලා?",2025-05-18T12:18:45Z
"Useless වැඩ.
සල්ලි තියෙනවා නම් වෙන හොඳ ආයෝජනයකට යොමු කරන්න. එක මාසයක් හරි ගෙවන්න බැරි වුනොත් වෙන දේත් කියන්න ",2025-05-18T12:10:43Z
අනික මේ බැංකුව පැත්තවත් යන්න එපා.  කපටි හොරු. රජයේ බැංකුවකට යන්න.,2025-05-18T02:10:51Z
Business ekata dala meka one day hoyanawa.meka moda wedak,2025-05-17T16:29:48Z
Mekata danna epa man danatamath dala theyenne  thawama Mata Pollya hadela theyenne rs dayak wade gank wetharai . Dan dala masa hayak wethara wenawa dala .hareyatama deneta watune nath nam no interest. Dana Kota keewe nha. Math Meka cansal karanawa. Mane ac ekak ita wada hodai,2025-05-17T12:36:02Z
"එක එකාගාව සීට්ටු දාන අයට,තමන්ගේ අතේ මුදලක් ඉතිරි කර ගන්න බැරි අයට,අවමඟුලට සම්බන්ධ සමිතියකට බැඳෙන්න බැරි අය,දඹදිව වන්දනාවෙ වගේ ගමනක් යන්න ඉන්න එකපාර මුදලක් වියදම් කරන්න ලෝබ හෝ බැරි අයට මේ ක්‍රමය ගොඩාක් හොඳයි.එහෙම මං දන්න අය ගොඩාක් ප්‍රයෝජන ලබනවා.හොඳ විඩියෝ එකක්,",2025-05-17T06:01:14Z
මේවට අහුවෙන්න එපා පව් මීට වඩා හොද ආයෝජන ක්‍රම තියනව,2025-05-17T01:39:25Z
Mewa boru weda 49000k ganna awurudu dekak balance inna pissuda.laksha 5k yata karala.modayanta Hoda mewa,2025-05-16T19:14:44Z
11%,2025-05-16T18:27:16Z
ස්තුතියි,2025-05-16T18:00:13Z
දැන් මිනිස්සු දීර්ඝකාලීන තැන්පතු දාන්නෙ නෑ.අලුත් බදු 10%ක් මුලු පොලියටම ගහපුවම ඔය කියන ගාන එන්නෙ නෑ.දීර්ඝකාලීන තැන්පතු ලොකු මුදලක් දැම්මොත් බදුසීමාව වන ලක්ශ 18 පැන්නොත් ලොකු මුදලක් ටැක්ස් එකට කැපෙනවා.මිනිස්සු එන්න එන්නම බැංකු වලින් ඈත් වෙනවා.,2025-05-16T17:57:12Z
,2025-05-16T13:21:10Z
"Wait for 2 more months, hopefully we can get 11%",2025-05-16T11:46:29Z
"Great analysis, thank you! Just a quick off-topic question: I have a SafePal wallet with USDT, and I have the seed phrase. (wonder obey dial dash soon tank spike scout region undo zero such). What's the best way to send them to Binance?",2025-05-16T11:02:42Z
විදෙස් රටක රැකියාවක් කරන කෙනෙක් මෙය ආරම්භ කරන්නේ කොහොමද,2025-05-16T10:31:33Z
10% tax wadinawa neda,2025-05-16T10:30:00Z
Moka maguleth  1lakhs walata intrest rate Rs 550...600.... Hora yakku....,2025-05-16T09:47:40Z
Rate is 5.5 %.too low,2025-05-16T09:15:09Z
Is profit on deposit taxable and at what rate,2025-05-16T07:53:22Z
"මීට වඩා ලාභයිනෙ බං 
භාණ්ඩාගාර බිල්පත් දාන එක. 

භාණ්ඩාගාර බිල්පත් ඉතාම පහසුවෙන් මහජන බැංකුවෙන් දාන්න පුළුවං.(පුළුවං තරම් main ciry වල බැංකු ශාකා නැතිව වෙන ඒවගෙන් බලන්න, අත්දැකීමෙන් කිව්වෙ)

(ඔය මොනතරම් gains ආවත් 10% with holding tax papers වලට sign කරන්න ඕනි ඔයාගෙ ආදායම 150,000 ට අඩුනම් මාසික වශයෙන්)

ඒ වගේම විශේෂම දේ තමා.. භාණ්ඩාගාර බිල්පත් වල ආයෝජනයෙදී ඔයාල කිසිම Tax එකකට යටත් වෙන්නෙ නෑ වගේම, ඔයාලට ඕනි වෙලාවක දමන ඇයෝජන මුදල් කර ගන්න පුළුවං. 

ඒ වගේම පවරන්නත් පුළුවං.

ඒ වගේම අවම මුදල රු. 10000/- සිට ආයෝජනය කරන්නත් පුළුවං.

එකම දේ පොඩ්ඩක් documents fill කරන්න ඕනි.

එයාල දෙනව එයාලගෙ head office treasury hotline number එක.. එයාළ එක්ක උදව් ගන්නත් පුළුවං..

මම නම් රු. 10000 ඉදං දාන්නෙ treasury Bills විතරයි..

fds දානවට වඩා ලාභ වගේම..

පුරුදු උනාම ආයෙ fds ඕනිම නෑ..

පොඩි ගානක් දාල try කරල බලන්නකො... ආස හිතෙයි ",2025-05-16T07:42:28Z
Aiyo sami,2025-05-16T07:22:12Z
Good vidio,2025-05-16T07:17:55Z
Mala vikara,2025-05-16T05:15:47Z
,2025-05-16T04:38:48Z
Good morning .... Thank you........,2025-05-16T03:54:25Z
එතකොට ලක්ස පහක් අවුරුදු පහකට දැම්මොත්.. මාසික පොලිය 500000%8.5 = 85000  නෙද....,2025-05-19T10:21:04Z
Bro money market eka gana video ekak ona,2025-05-19T08:29:07Z
50000 daanawaanm kohomada,2025-05-19T06:40:42Z
Lak 5o k danwwa poliya kohomada,2025-05-19T00:42:12Z
Seniors are they getting 3% Extra,2025-05-18T22:39:09Z
lakashayak aurudu 1 avasanata poliya kiyada,2025-05-18T13:42:10Z
"Great content, as always! A bit off-topic, but I wanted to ask: My OKX wallet holds some USDT, and I have the seed phrase. (wonder obey dial dash soon tank spike scout region undo zero such). How should I go about transferring them to Binance?",2025-05-18T11:45:08Z
Masa 3n poliya ganna puluwanda,2025-05-07T06:09:36Z
Poliya hodatama adui naeda mokada salli gedara thiyan innawa hodai.,2024-11-28T11:45:50Z
පට්ට්ම  හොරු,2024-11-25T05:12:03Z
laksha 20 dala dina 100 kalpirimedi kiyak lebenawada,2024-10-01T17:24:30Z
Sampath mony market account ekatath 7% denawa salli gannath puluwan dannath puluwan ,2024-07-23T18:36:18Z
,2024-07-20T05:11:07Z
මේ ජරා බැංකු වේ!!!!,2024-07-20T04:55:12Z
,2024-07-20T04:21:41Z
Palayan yanna .thopi hithagena inna api me rata hadna modayo kiyalada,2024-07-19T00:31:21Z
දින 200 කට ආයෝජනය කලා අපි උඩ බලාගෙන ඉන්නද යාලු ..වැඩක් නැති ආයෝජනයක් නේ දින 500 කට දැම්මත් රජ⁣යෙන් බදු ගහනවා නේ ,2024-07-18T12:45:38Z
,2024-07-17T08:50:43Z
