Comment,Date
සාමන්‍ය පෙලට S එකක් තිබිලා English diploma එකක් තියනවනම් බැන්ක් එකකට ඇප්ලයි කරන්න පුලුවන්ද,2025-05-20T07:34:56Z
Form fill karale email ekek avade,2025-05-13T07:50:12Z
English walata deweni para c ekak tiyen kenekta brida,2025-05-13T02:39:50Z
2025 අවුරුද්දේ කවද වගේ ගැසට් කරයිද,2025-05-12T15:44:50Z
Ganu lamaita puluwanda sir,2025-05-11T07:21:52Z
NVQ Sahathikayak onimada,2025-05-11T07:21:07Z
Sir meka apply krl khmd exam interview thiyenne kiyl danagann puluwnd,2025-05-10T16:22:06Z
Apply krnne kohomd,2025-05-09T14:28:13Z
Apply karama interview call karanawada?,2025-05-08T12:49:55Z
Math apply kara dn ,2025-05-05T08:07:13Z
වීඩියෝ වල සවුන්ඩ් මදි තා වැඩි කරන්න සවුන්ඩ්...,2025-05-04T13:28:28Z
Closing date kawadda,2025-05-04T03:58:49Z
Closing date kawadda,2025-05-04T03:58:49Z
Closing date kawadda,2025-05-04T03:58:49Z
Closing date kawadda,2025-05-04T03:58:49Z
දළ වශයෙන් salary එක කීයක් වගේ ගන්න පුලුවන් වෙයිද කියන්නකෝ,2025-05-03T13:33:54Z
ට්‍රෙනින් වලින්පස්සේ  ස්තිරවම බදවා ගක්නවද,2025-05-03T09:27:05Z
Apply krnne khmd,2025-05-02T15:19:51Z
ol maths s thiyenne   english B  A/L c 1 s2i apply krnn puluvnda plz reply.....,2025-05-02T13:58:51Z
English walata s beda,2025-05-02T11:21:28Z
Art kre matath hakida aply krnn,2025-05-02T05:55:49Z
Art krpu ayata puluwnda,2025-05-02T05:18:15Z
Salary eka mona wage weida ayye?,2025-05-02T02:15:15Z
Thanks ,2025-05-01T16:17:50Z
Transfer karpu ditels dilet karanne kohomada,2025-03-23T03:23:21Z
Annual Fee eka kiyada HNB app ekee..? Sampath Vishwa app eke Rs.700 ,2025-03-07T17:56:00Z
Ana maga a msg aka Anna na ne anith tika okkoma hari,2025-02-06T04:12:50Z
Hnb app eken kiparak dawasata transfer karnna puluwanda,2025-01-28T06:58:05Z
Transer karapu detail ayin karanna widiyak nadda,2024-11-25T17:12:07Z
Account  එක ඇඩ් කරන්න්න බෑනේ..,2024-11-06T12:47:48Z
Therenne na,2024-10-31T01:59:57Z
Nola Brooks,2024-10-15T08:52:59Z
Brown Eric Lee Karen Hernandez William,2024-09-24T07:02:31Z
Good job,2024-07-26T12:05:02Z
Akke mage bank account eka we could not find an account to initiate a fund transfer kiyala watenawa ekata giyama  view & transact kiyana eka danna ba e hinda salli transfer karanna ba ne,2024-07-05T09:47:37Z
Akke mage account ekin money transfer karaganna bh mn lankave nh mata adhissiyata kisima deyak karaganna varuva thiyenne solution ekak one,2024-06-19T22:32:18Z
Salari kohomada,2025-05-20T11:59:52Z
සුදුසුකම් තියෙනව අදම යන්නෙ කොහොමද,2025-05-19T05:16:22Z
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,2025-05-19T05:15:01Z
Marry karapu ayata puluwanda,2025-05-19T01:21:33Z
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,2025-05-19T01:03:06Z
Apply link ekak nedda?,2025-05-19T00:46:52Z
Internship yanna berid 6 months walin ain wenna puluwnd ,2025-05-18T17:44:26Z
Ane pls kynko mekt 20 wenidt interview gyoth hrid kyl,2025-05-18T17:16:37Z
Island wideද?,2025-05-18T16:25:29Z
First  ,2025-05-18T15:42:40Z
මම ඉන්නෙ පිටරට මගේ HNB ගිණුමක් තියෙනවා..කොහොමද ස්ථාවර තැන්පතුව ක් දාන්නෙ,2025-05-09T14:03:32Z
Fixed deposit ekak end karanne kohomada obligation app eke,2025-03-09T03:01:18Z
Bank ekata nogihin e bank haraha deposit karsnna puluwanda.kalin deposit karala nati kenekta.,2025-01-25T05:05:09Z
H n b pinas nambar akak denna ko,2025-01-20T05:35:33Z
"Ane mata kiyannako HNB eke account eka haduwama eyala ganak kapaganwada mage 600 mulin kapila thibba passe me iye vage rs 40 kapila thibba ay ee..
Ane danna kawurumahari mata kiyannako",2024-10-21T04:55:19Z
හලෝ මම මම දාලා තියෙන්නේ තැන්පත් දිනවා නෝමල් තැම්පස්ථිරාව තැන්පත් ගිණුමක් හදන්නේ කොහොමද මම ඒ දේ හදන්නේ මට කොහොමද මගේ වයස වැඩි නිසා හදන්න බැහැ නේද,2024-10-16T08:43:09Z
කවදා එකක් ද මේ,2024-10-04T09:50:39Z
 10        ,2024-09-29T18:17:01Z
Awama mudale sita poli anupathaya penwanna,2024-08-30T06:17:14Z
"Yako 5 percent int.less katha ko yako
.pissa
Api rice kana gavayo no...",2024-08-28T15:17:09Z
සම්පත් බැන්කුවේ දින 200ට  9%දෙනවා,2024-08-27T15:46:11Z
"Redda,bankuwala Salli daana gon me kaale nehaban ",2024-08-27T11:34:51Z
Sampath  bank 9%,2024-08-27T08:35:17Z
NSB එකේ 9%යි,2024-08-26T10:32:58Z
"රෙද්ද .,boc 8.25ක් දෙනවා ඕනම ගාණට",2024-08-26T10:14:51Z
ලක්ෂ 2 දැම්මොත් සාමාන්‍ය විදිහට මාස 3 ස්ථාවර තැන්පතුවක් මාස තුනකින් අපිට කීයක් ලැබෙනවද,2024-08-25T13:53:36Z
Estuthi oba tumata danuwath kalata,2024-08-24T13:58:40Z
Onama rataka qr payment karanna puluwanda oya app eken,2024-11-10T19:21:36Z
Usernema eka nathi unama hoyaganne kohomada,2024-09-29T14:43:19Z
46662 Yundt Neck,2024-09-23T05:54:47Z
මම solo app එකෙන් QR එක්කට ගෙව්ව එත් එක unsuccessful උනා එත් සල්ලි වැටුන් නැ නේ🥺 එක අයේ ගන්න බැරි වෙයිද,2024-09-15T16:28:51Z
Oya okkotama service chage ganwa sali thama okkoma,2024-05-26T09:10:35Z
me wallet eke payment karanna giyama error signal ekakne enne,2024-04-01T04:54:48Z
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,2023-11-02T06:50:00Z
Meken wena account ekakta danna berida salli,2023-10-21T12:22:50Z
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,2023-10-06T19:44:05Z
Solo app eken wena bank ecount walata money transfer karana puluwnda,2023-10-04T17:52:56Z
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,2023-09-24T07:08:52Z
Transaction password eka amathaka mm hadagnne kohomda,2023-09-15T14:44:32Z
Hnb account balance eka bala ganna puluvanda,2023-08-21T06:41:55Z
1xbet dnn brida,2023-07-26T06:06:14Z
Mata oyage whatsApp number eka oni,2023-03-17T11:16:36Z
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,2023-02-19T12:21:14Z
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,2023-02-01T04:02:14Z
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,2022-11-16T16:55:46Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,2022-09-07T04:16:21Z
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,2022-08-14T15:28:08Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,2022-08-13T11:52:06Z
Aiye meke dialog home broadband gewanna puluwanda,2022-07-27T02:15:23Z
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,2022-07-14T14:28:13Z
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,2022-07-06T15:42:09Z
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?",2022-03-04T11:49:26Z
Meken bank transfer karanna puluwan da?,2022-01-08T04:19:58Z
Api karana transfer wlt ganak kpnwda..?,2021-12-30T06:44:57Z
It's excellent,2021-11-05T08:14:30Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,2021-09-18T08:08:28Z
5.35 Mona pin tha add karanda one,2021-09-07T09:03:03Z
Bank acount ta tarnfar karanna puluvamda,2021-09-01T01:23:55Z
Moeny transfer karanna pulivamda,2021-09-01T01:21:15Z
Wenath bank akakata gewanne kohomada,2021-08-25T09:26:50Z
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",2021-08-04T17:03:02Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,2021-07-17T09:01:19Z
Bro me app ekata txt tiyanawadha?,2021-07-06T16:43:54Z
Credit cards couldn't add... I tried several times and different cards...,2021-06-17T14:57:21Z
Water bill electricity bill gewannath puluwanda,2021-06-12T00:26:43Z
direct money transwer karanna puluwanda?,2021-06-11T19:13:31Z
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,2021-06-11T18:52:21Z
Vena bank ekakta salli transar krnne komda,2021-06-07T04:14:16Z
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.,2021-06-05T05:37:54Z
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",2021-05-31T11:01:11Z
2000 like eka magen ,2021-05-29T13:02:19Z
Wena ewata transfer  karanna puluwanda,2021-05-25T08:53:26Z
Niyamai ..,2021-05-23T13:23:24Z
Account eke salli thiyenna oneda?,2021-05-23T03:24:16Z
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්,2021-05-06T06:49:13Z
Hnb digital app gana krnnko,2021-04-16T04:46:30Z
Meka app eke pitaratakata wadakaranawada lankawe account ekakata add karoth,2021-03-26T11:06:15Z
,2021-03-14T15:02:42Z
One of the best app i got,2021-03-14T14:32:32Z
This is the best digital wallet I have used in Sri lanka. Has made payments 100 times easier by HNB.,2021-03-02T16:58:50Z
M,2021-03-01T18:27:04Z
Ayye shop ekakata gihilla hariwidiyata phone eken pay karana widiya gana video ekak karanna,2021-03-01T17:40:04Z
SOLO by HNB ,2021-02-26T08:26:26Z
Chanux aiyee oya phone ekak reset karana eka pilibadawa video ekak karannakooo. Eka 4n ekata hodada nadda kiyalawath danaganna. From android 4n,2021-02-26T06:53:23Z
Solo niyamai... ez cash app eke thiyenawa ape wallet ekata QR ekak.. e wage Solo wallet ekata salli ganna puluwam wenna QR ekak denawanan hondai..,2021-02-25T17:03:30Z
සුපිරි ,2021-02-24T17:12:18Z
Huawei y7a eke login wennabane error enawa,2021-02-24T02:46:24Z
Wireless headset ගැන විඩියෝ එකක් කරන්න පුළුවන් ද,2021-02-24T01:59:37Z
Chanux academy eke programming nawaththapu තැනින් patan ganna,2021-02-23T04:58:40Z
Hi අයියා,2021-02-22T15:39:22Z
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. ),2021-02-22T15:03:12Z
,2021-02-22T13:02:07Z
Aiya me online free fire video ekak  ada havasa danndako please,2021-02-22T06:00:35Z
අයියේ ඔයාට පුලුවන්නම්. පෝන් එකේ ඩිස්පෙලෙ එක ටිවි එකට ගන්න පුලුවන් විදිහේ විඩියෝ එකක් කරන්නකෝ. දැන් තියෙන ඔනම පෝන් එක්කට සෙට් වෙන ඔනම ටීවි එක්කට සෙට් වෙන කේබල් එකක් කියන්න. USB  නැතුව,2021-02-22T02:27:17Z
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,2021-02-22T01:58:05Z
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,2021-02-22T01:08:36Z
Anee aiye podi awlak phon ekee puluwan nann danma udawwak ooona call gaddi aiye watenawa not  registered on network kiyala call gannath baa enneth naa puluwan  udawwak aiye,2021-02-21T23:42:46Z
ඉංග්‍රීසි මුල සිට ම ඉගෙනගන්න අප හා එක්වන්න,2021-02-21T18:39:54Z
Anuk de silva ,2021-02-21T11:53:05Z
අය්යෙ studio tour එකක් දෙන්නකො.studio එකක් හදන්න ideas ගන්න ඕන.,2021-02-21T11:43:25Z
,2021-02-21T09:33:41Z
Niyamai  chanux අයියේ,2021-02-21T06:28:11Z
seller kenek kohomada meka araganne? online payment gateway 1k ganna bari insta walin wage business karana or podiyata website ekak hadala  business karana ayata meka eyalage business ekata use karanna bari da?,2021-02-21T05:42:34Z
download kara use kare na thaa,2021-02-21T04:37:26Z
bank to bank pay karanna pluwanda,2021-02-21T04:28:29Z
The application is not in App Store for iPhones,2021-02-21T00:12:07Z
Solo app eken salli sheya karanna berida wena bank account walata...aiya,2021-02-20T16:33:05Z
Patta app ekk,2021-02-20T16:20:51Z
පට්ට,2021-02-20T15:56:33Z
Niyama solo app eka ..ratama kamathi da koheda,2021-02-20T15:15:47Z
This will lead us to a new era...,2021-02-20T14:24:13Z
,2021-02-20T13:30:56Z
Can you tell me how to find out if our phone is infected?,2021-02-20T12:34:25Z
https://youtu.be/UsaRtWsNDt4,2021-02-20T11:53:53Z
පට්ට!!!,2021-02-20T11:53:19Z
Ayiye koo gold play botton eka.,2021-02-20T10:56:33Z
Poco m3 review ekak dannako,2021-02-20T10:06:28Z
Hudek mage me wyayamaya raja sapa pinisa nowana athra chanux bro gen reply ekak bala poroththuwen bawa karunawen salakanna,2021-02-20T09:55:07Z
නියමයි,2021-02-20T09:49:44Z
