Comment,Date,language
me wallet eke payment karanna giyama error signal ekakne enne,2024-04-01T04:54:48Z,ta
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,2023-11-02T06:50:00Z,si
Meken wena account ekakta danna berida salli,2023-10-21T12:22:50Z,ta
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,2023-10-06T19:44:05Z,ta
Solo app eken wena bank ecount walata money transfer karana puluwnda,2023-10-04T17:52:56Z,en
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,2023-09-24T07:08:52Z,si
Transaction password eka amathaka mm hadagnne kohomda,2023-09-15T14:44:32Z,si
Hnb account balance eka bala ganna puluvanda,2023-08-21T06:41:55Z,ta
1xbet dnn brida,2023-07-26T06:06:14Z,si
Mata oyage whatsApp number eka oni,2023-03-17T11:16:36Z,si
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,2023-02-19T12:21:14Z,si
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,2023-02-01T04:02:14Z,si
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,2022-11-16T16:55:46Z,ta
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,2022-10-18T12:18:06Z,si
මේක ආරක්ෂිතද.,2022-09-07T04:16:21Z,si
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,2022-08-14T15:28:08Z,si
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,2022-08-13T11:52:06Z,si
Aiye meke dialog home broadband gewanna puluwanda,2022-07-27T02:15:23Z,ta
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,2022-07-14T14:28:13Z,si
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,2022-07-06T15:42:09Z,si
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?",2022-03-04T11:49:26Z,ta
