Comment,Date,language
o/l english walata  first shy ekee  c pass ekak thiyenneh habi deweni sare b pass ekak thiyanawa. mata commercia bank ekata apply karanna puluwanda,2025-05-21T17:46:15Z,si
sir 1 shyma o/l English A OR B balanawada mata o/l English 2 shy English B thiyenawa .mata apply karanna puluwanda,2025-05-20T15:49:01Z,si
"Mata me january walata 22 labuwa 22 sampoorna nathi nisa apply krn puluwnd , a/l second shy eke result danna puluwnd natn 1 st shy eke result ek witrd dana puluwn",2025-05-20T11:28:14Z,si
"Sir  ibsl eke course ek krn bank eke salary ekn fee gewn gmn krnn plwn d netnm api course ek krl  d job ekt ynn oni. ( mama okt apply kl, exm ekt liwwa)",2025-05-20T07:36:35Z,si
Ane 23 i mata. Dammath wadak nathi weida,2025-05-19T16:39:41Z,si
"O/L    maths-A   ,english-C apply krnn puluwanda",2025-05-19T06:22:06Z,si
"මට වයස 24යි මාස 10යි..වයස ප්‍රශ්නෙ නිසා ඇප්ලයි කරන්න බැහැ බෑන්ක් ජොබ්ස් වලට...2019 ඉදන් ඇප්ලයි කරා ඒත් බැරි උනා..ol english B, Maths B, Tamil A...Al cms walin ABC..general english C.. English higher national diploma eka karala inne..ජොබ්ස් වලට ඇප්ලයි කරන්නෙ 2019 ඉදල..තවම 25ක් වෙන්න ලන්වෙලත් ජොබ් එකක් නැ...මන් ඇප්ලයි කරන විදියෙ ප්‍රශ්නයක් ද වරදක් ද කියලත් හිතෙනව",2025-05-19T05:45:05Z,si
Sir banking wlt awhsya smnya it apit free igen gnn widihk ndd 🥲🫠,2025-05-18T04:14:28Z,si
"sir, campus yanakan internship yanna me link ekenma gihin internship kiyala thiyena thena apply karanna puluwan naada sir?
commercial bank eke internship walata pay karanawada sir?",2025-05-17T18:34:33Z,si
sri meka 2 years da. job eka sthira kara ganna chance ekak nadda meke,2025-05-17T18:23:58Z,si
Meka boc trainee wge ekkd ?,2025-05-17T16:53:49Z,si
english  c thibba nam apply karanna berida,2025-05-17T14:38:59Z,si
Campus enakn yanna mewata apply karanna puluwanda?,2025-05-17T10:38:00Z,si
English wlt C brid,2025-05-17T09:54:16Z,si
Mta  wayasa 24yi A/l bio kle css English it uk diploma dekk krl thiyenwa software engineering HND danata follow kranwa mt bank walt apply krnn puluwan d mt apply krnn puluwan job tikk kiynnko loku udwwak,2025-05-17T05:01:22Z,si
Management degree ekakta hondma private university eka mkda ,2025-05-16T14:38:47Z,si
"Sir, Accounting special degree ekak thiyna graduateslata thiyena job vacancies kohomda",2025-05-16T14:36:50Z,si
Sir meke training period eka kochchra kalaykd? ita kalin ain wenkot api apahu gewanna oned,2025-05-16T08:28:50Z,si
මට O/l English C pass එකක් තියෙන්නෙ Apply කරන්න බැරි වෙයිද ?,2025-05-16T08:19:17Z,si
"Sir 24 a/l university yanna inna ayata  apply karanna puluwan firms,jobs monawada?",2025-05-16T06:58:51Z,si
Salary ek mona wageda kiynnko,2025-05-16T06:36:03Z,other
Mt a/l english s ekk thinne . ek aul giypu nisa mn Mn spoken english course ekk kra.   Dn Diploma in banking and financial eke fist ek complete kra .. thma result awe na  second ek me year eke krnwa mt apply krnn puluwn d mekat,2025-05-16T06:34:18Z,si
Mt me january wlt 22 complete unaa 22 maasa ganak gihin nisa mekt apply krtta wdk nti weid,2025-05-16T06:20:16Z,si
Exame ekak nadda..BoCwala wage,2025-05-16T06:08:29Z,si
Telecommunications graduateslt thiyena job vacancies kohomd,2025-05-16T05:33:57Z,en
Sir mama bba degree karana gaman inne.mata mekata apply karanna barida 24 i. Age wadi aya ethakota ganne mona wage positions da,2025-05-16T03:37:21Z,si
අවුරුදු 22 ට වඩා අඩු වෙන්න ඕනද සර්,2025-05-16T02:07:23Z,si
"සර්  මට AL  -ABB 
කොමස් කලේ .

Ol  english වලට s එකක්  තියෙන්නේ .
icbt cmpus  එකෙන් english & it ඩිප්ලෝමා එකක්  කරල තියෙන්නේ .

ඒ ඩිප්ලෝමා එක  කරල තියෙන නිසා ol  engilsh -s එක  අවුලක් නැති  වෙයිද?",2025-05-15T21:19:57Z,si
O/L pass ayat tiyna job gana video ekk gennko english fail ayt,2025-05-15T17:05:15Z,other
Thnk you,2025-05-15T15:54:08Z,en
මන් මේ වගෙ ජොබ් වලට ඇප්ලයි කල ඔන්ලයින් එත් කිසිම respond එකක් නැ. සුදුසුකම් ප්‍රශ්නෙකුත් නෙමෙයි. මට දැනගන්න පුලුවන් ද ඇයි ඉන්ටවීව්වත් කෝල් කරන්නෙ නැත්තෙ කියල කොච්චර කල් යනවද ඔන්ලයින් ඇප්ලිකෙශන් දාල උත්තරයක් එන්න,2025-05-15T15:38:53Z,si
Thnkx mehem vidios dnwt,2025-05-15T14:56:23Z,other
"මට A/l s 1 yi thiyenne, O/L හොඳටම pass mata hoda salary ekak ගෙවන  job tikak kiyanavada  hoyala බලන්න",2025-05-15T14:34:55Z,si
"Tawakalika job nadda bankswala
University patan gannakam karanna puluwan",2025-05-15T13:54:13Z,si
"Boc da , commercial yn eka hoda ??",2025-05-15T13:40:48Z,si
Intern  walata gannawadha,2025-05-15T13:32:31Z,si
