Comment,Date,language
Ane 23 i mata. Dammath wadak nathi weida,2025-05-19T16:39:41Z,si
"O/L    maths-A   ,english-C apply krnn puluwanda",2025-05-19T06:22:06Z,si
"මට වයස 24යි මාස 10යි..වයස ප්‍රශ්නෙ නිසා ඇප්ලයි කරන්න බැහැ බෑන්ක් ජොබ්ස් වලට...2019 ඉදන් ඇප්ලයි කරා ඒත් බැරි උනා..ol english B, Maths B, Tamil A...Al cms walin ABC..general english C.. English higher national diploma eka karala inne..ජොබ්ස් වලට ඇප්ලයි කරන්නෙ 2019 ඉදල..තවම 25ක් වෙන්න ලන්වෙලත් ජොබ් එකක් නැ...මන් ඇප්ලයි කරන විදියෙ ප්‍රශ්නයක් ද වරදක් ද කියලත් හිතෙනව",2025-05-19T05:45:05Z,si
Sir banking wlt awhsya smnya it apit free igen gnn widihk ndd 🥲🫠,2025-05-18T04:14:28Z,si
"sir, campus yanakan internship yanna me link ekenma gihin internship kiyala thiyena thena apply karanna puluwan naada sir?
commercial bank eke internship walata pay karanawada sir?",2025-05-17T18:34:33Z,si
sri meka 2 years da. job eka sthira kara ganna chance ekak nadda meke,2025-05-17T18:23:58Z,si
Meka boc trainee wge ekkd ?,2025-05-17T16:53:49Z,si
english  c thibba nam apply karanna berida,2025-05-17T14:38:59Z,si
Campus enakn yanna mewata apply karanna puluwanda?,2025-05-17T10:38:00Z,si
English wlt C brid,2025-05-17T09:54:16Z,si
Mta  wayasa 24yi A/l bio kle css English it uk diploma dekk krl thiyenwa software engineering HND danata follow kranwa mt bank walt apply krnn puluwan d mt apply krnn puluwan job tikk kiynnko loku udwwak,2025-05-17T05:01:22Z,si
Management degree ekakta hondma private university eka mkda ,2025-05-16T14:38:47Z,si
"Sir, Accounting special degree ekak thiyna graduateslata thiyena job vacancies kohomda",2025-05-16T14:36:50Z,si
Sir meke training period eka kochchra kalaykd? ita kalin ain wenkot api apahu gewanna oned,2025-05-16T08:28:50Z,si
මට O/l English C pass එකක් තියෙන්නෙ Apply කරන්න බැරි වෙයිද ?,2025-05-16T08:19:17Z,si
"Sir 24 a/l university yanna inna ayata  apply karanna puluwan firms,jobs monawada?",2025-05-16T06:58:51Z,si
Salary ek mona wageda kiynnko,2025-05-16T06:36:03Z,other
Mt a/l english s ekk thinne . ek aul giypu nisa mn Mn spoken english course ekk kra.   Dn Diploma in banking and financial eke fist ek complete kra .. thma result awe na  second ek me year eke krnwa mt apply krnn puluwn d mekat,2025-05-16T06:34:18Z,si
Mt me january wlt 22 complete unaa 22 maasa ganak gihin nisa mekt apply krtta wdk nti weid,2025-05-16T06:20:16Z,si
Exame ekak nadda..BoCwala wage,2025-05-16T06:08:29Z,si
Telecommunications graduateslt thiyena job vacancies kohomd,2025-05-16T05:33:57Z,en
Sir mama bba degree karana gaman inne.mata mekata apply karanna barida 24 i. Age wadi aya ethakota ganne mona wage positions da,2025-05-16T03:37:21Z,si
