Comment,Date
සර් මම මේකට ඇප්ලයි කරා... හැබැයි මම විභාග ගාස්තු එහෙම ගෙවන්ට ඕනිද කියල දැනුවත් නෑ.... එහෙම ගෙවන්ට ඕනි නම් ඒ ගැන විස්තර කියන්ට පුළුවන්ද,2025-05-24T14:08:26Z
Sir 404 kyla error ekk enwa ekata video ekk nedda,2025-05-20T17:00:43Z
සර් මට 24යි මාස 10 ක් වෙනව...අපිට බැහැද ඇප්ලය් කරන්න,2025-05-19T05:50:15Z
තරග විභාගයට kedawana wada kiyala dena ganne kohomada,2025-05-18T11:49:00Z
Mge birthday ek 2000.11.06 ethkot mt exam ekt apply krnn puluwnd me aurudde 2025.11.06t aurudu 25 k wenw thm 24 nisa pulwnd,2025-05-18T06:53:14Z
Meka university yana gaman karanna berid aniwaren awurud 2k krnn onada magdi ain wenna berid,2025-05-18T05:06:07Z
sever error kiyala watenawane,2025-05-18T04:30:04Z
apply karann form eka pennanne nane,2025-05-18T04:29:45Z
Sir api mekata apply karala exam fees gewnn oni mona welawatada?apply karala gewanna onida?neththm denum denawada eyala?,2025-05-18T02:19:28Z
"Sir mn danata Kelaniya University eke bcom degree eka krna gmn inne (1 year)

Mn Trainee staff assistant vacancy ekata apply krla job eka confirm unoth ekata yna ekada hoda nattan degree eka complete krna ekada hoda? 

Job eke experience pennala MBA ekak krnnath puluwn nisa me question eka ahuwe sir

Pls reply sir ",2025-05-17T16:15:56Z
Mt wayasa 24 i.2025.03.07 dinata 24 sampurna una.ethakota bada liyanna.,2025-05-17T14:59:52Z
"I studied English after the O-Level exam, but I got an “S” grade for English in o/l exam. So, is there at least any way I can face the bank exam ?",2025-05-17T13:31:11Z
"Sir මහජන බැංකුව /ලංකා බැංකුව /Rdb බැංකුව /nsb බැංකුව me bank වල tranine assistant කෙනෙකුට ස්තීර වුනාම 
ලැබෙන වැටුප එක සාමානද නැත්නම් වෙනස් වෙනවද",2025-05-17T10:20:27Z
Sir account ekata log wela register unata passe email ekk awa a email eka touch karata passe invalid activation code kiyla watenwa ne ita passe mkkd krnn one kiyl threnne na kiyl denn puluwnda ? ,2025-05-16T13:30:25Z
Sir යොමු අංකය kohomda Hoya ganne,2025-05-16T13:29:37Z
Sir mn 2 nd shy exam karann inne me aurudde. Eka karana gaman meka dammata aulak wennedda sir. Pls reply sir,2025-05-16T12:50:22Z
Treaning eka newasikada,2025-05-16T11:44:02Z
Invalid activation code kyl watenne ai,2025-05-16T11:15:25Z
Sir apply karana hemotm exam eka karann puluwnd,2025-05-16T09:42:27Z
අපිට exam.ලියන්න.පුලුවන් වෙයිද කියල දැනගන්න කොහොමද,2025-05-16T05:50:12Z
"Sir mt O/l frist shy english S 
second shy eke C thiyenne apply karanna puluwan da..",2025-05-15T10:21:24Z
Undergraduate kenekta mekata apply karanna puluwanda sir,2025-05-15T08:11:39Z
"Sir, bank traning gihillanm nh ... eka interview ekedi lakunu adu wenna balapaida",2025-05-15T08:10:07Z
sir ENGLISH valata vithri S thiyenne eka gataluvak veida,2025-05-14T14:04:21Z
"Sir mata O/l english s ,maths A A/l pass charated business level complete mata apply karata wadak nathi weida",2025-05-13T17:46:42Z
Privat bank ekkata me mase giyoth .mata mekata yanna eken onama witaka iwath wenna puluwan weyda sir.sales paththe job ekakin.,2025-05-13T17:11:11Z
Sir apita kalin shy eke result walin apply karanna baida,2025-05-13T09:09:33Z
"Mage O/l 
A-3 B-2 C-3 S-1 , A/l  S-2 commerce kare ekak fail ,mata apply karanna puluwanda",2025-05-12T17:47:50Z
මම ousl computer engineering digree එකක් කරන්න හිතන් ඉන්නෙ.. මම මේකට apply කරන්නද එපාද.. මාව select උනොත් මට job එකත් එක්ක digree එක කරන්න අමාරුයි වගේ හිතුනොත් මට අයින් වෙන්න බෑ නේද..,2025-05-12T17:02:36Z
Sir mata o/l valata english S but a/l valata C thiyanava apply karanna puluwandha anith hemadheama thiyanawa,2025-05-12T16:26:13Z
Lanka banku walata wasikili na neda kama kanna tea bonna thanak na neda atm card matchine thiyena than wala siqrity na neda siqrity eke eka ekka katha karanawa neda banku wala manager sammana gatththe monawatada,2025-05-12T12:41:49Z
