Comment,Date,language
සාමන්‍ය පෙලට S එකක් තිබිලා English diploma එකක් තියනවනම් බැන්ක් එකකට ඇප්ලයි කරන්න පුලුවන්ද,2025-05-20T07:34:56Z,si
Form fill karale email ekek avade,2025-05-13T07:50:12Z,other
English walata deweni para c ekak tiyen kenekta brida,2025-05-13T02:39:50Z,si
Salari kohomada,2025-05-20T11:59:52Z,other
සුදුසුකම් තියෙනව අදම යන්නෙ කොහොමද,2025-05-19T05:16:22Z,si
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,2025-05-19T05:15:01Z,si
Marry karapu ayata puluwanda,2025-05-19T01:21:33Z,si
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,2025-05-19T01:03:06Z,si
Apply link ekak nedda?,2025-05-19T00:46:52Z,si
Internship yanna berid 6 months walin ain wenna puluwnd ,2025-05-18T17:44:26Z,si
Ane pls kynko mekt 20 wenidt interview gyoth hrid kyl,2025-05-18T17:16:37Z,other
Island wideද?,2025-05-18T16:25:29Z,si
First  ,2025-05-18T15:42:40Z,en
Main campus ka name bataiye sayad srinagar h aur kya main campus me ballb hai kya 5 years law please pata karke bata digiye i request you pls main campus me ballb hai ya nhi aur main campus ka name,2025-05-14T02:33:43Z,other
Bro ithula my reference athu kuduganum,2025-05-21T04:52:59Z,en
