Comment,Date,language
,2022-09-22T05:11:54Z,
HNBF Share Price keeyata yayda?,2022-09-20T15:45:32Z,other
Thank you..,2022-09-19T21:01:42Z,en
ෆයිනෑන්ස් කම්පැනිවල සල්ලි දාන එක අවදානම් නැද්ද?,2022-09-19T20:45:58Z,si
Diposit walata goverment tax wadina widihath q wanam watinawa,2022-09-19T16:16:20Z,other
Hnb finance eka gana mokada hithenne me dakath ekka baladdi,2020-08-06T10:06:14Z,si
,2020-08-06T09:35:30Z,
It's not boring. Watched all. Thank you.,2020-08-05T19:07:25Z,en
Like it.,2020-08-04T11:04:12Z,en
Watching,2020-08-01T21:41:32Z,en
Nic bro. Want next video soon,2020-08-01T15:11:57Z,en
"What do you think abt HASU?, 120 good for enter?",2020-08-01T14:04:33Z,en
Aiye kantha police gast awoth dann .2023,2023-07-18T14:38:30Z,en
Me link open wenne nane,2023-07-17T12:06:45Z,en
මේ vedio එක දැන් update කරන්න,2022-10-02T15:43:19Z,si
මේවා හරහා භාණ්ඩාගාර බිල්පත්  මිලදී ගැනීමේදී  අවදානම  කොහොමද  ?,2022-08-06T03:20:04Z,si
බාන්ඩාගාර  බිල්පතක්  BoC හරහා ගන්න පුලුවන්ද? ඒ කොහොමද  පොලිය  කීයටද,2022-07-27T12:06:30Z,si
Ayye pitarata idala ewana salli walain api FD ekak dala eken maspatha poliyak gaththoth bankuwen ema poliyen badumudalak kapagannawada,2022-05-20T00:23:49Z,si
SDB bank එක ගැන පූර්ණ පැහැදිලි කිරීමක් කරන්න ප්ලීස් ?,2022-04-29T19:33:06Z,si
Really nice explanation,2022-04-19T01:57:03Z,en
Fix diposit ekakata peoples bank hodaida...???,2022-04-18T11:34:50Z,si
BOC එක AAA තිබිලත් ඇයි outlook එක negative ?,2022-04-17T13:28:57Z,si
ඔබේ මූල්‍ය සමාගමක රැකියාවක් ගන්නමුදල් කොපමණ ප්‍රමාණයක් තැන්පත් කළ යුතුද,2022-02-19T17:13:20Z,si
Don't  select HNB .I have very bad personal  experience. Lot of hidden charges,2022-01-14T04:19:21Z,en
Thank fd 1k auruddakata  dala  apasu mudal  gannakota  bank eken salli kapanawada  kiyak kapanawada  mata tikak egana  kiyanna,2021-09-16T07:39:55Z,si
ස්තූතියි,2021-09-14T21:36:34Z,si
ස්තූතියි පැහැදිලි කිරීමට.මමත් පීපල්ස් බෑන්ක් එකේ ස්තාවර තැන්පතුවක් දාන්න ඉන්නෙ.,2021-09-14T16:15:32Z,si
,2021-09-12T16:25:22Z,
"No descriptions were made for other banks of Commercial, Sampath, Sylan, and Hatton National.",2021-09-12T12:26:49Z,en
NSB bank ake call nambar eka dannako mama kuwait ,2021-09-11T22:34:00Z,si
SMIB bank A kiyakda thiyenne... ජේෂ්ඨ පුරවැසි තැන්පතු තොරතුරු හා ශ්‍රේණිගත ක්‍රම ගැන ඊළඟ වීඩියෝ එක දාන්නකෝ .....plz,2021-09-11T18:26:22Z,si
මාස 6කට fd දාන එක අවුරුද්දකට දානවට වඩා ලාභදායීද?,2021-09-11T03:15:03Z,si
thanks.,2021-09-08T16:42:23Z,en
Great Job!!! Stock market eka ganath danuwath krnna please... Mula idanma.,2021-09-07T19:56:57Z,si
What about commercial bank it hasn't mentioned in list,2021-09-06T21:30:36Z,en
"Hsbc saving accounts gana debit,credit  cards gana gennako aiye",2021-09-06T16:17:38Z,si
Plc kohomada,2021-09-06T14:22:39Z,other
"HNB, Sampath Bank, Seylan Bank ණය ශ්‍රේණිගත කිරීම් නැද්ද?",2021-09-06T08:47:30Z,si
‌what about the hsbc,2021-09-06T08:21:37Z,en
Thank you very much.. Wish you all the best..,2021-09-05T15:24:27Z,en
Okkoma bank nane,2021-09-05T09:42:56Z,other
good one broo eth ko HNB SAMPATH COMMERCIAL banks?,2021-09-05T05:57:48Z,en
Good one,2021-09-05T03:16:44Z,en
commercial bank aka nane,2021-09-05T02:18:16Z,en
useful thank u,2021-09-05T02:07:31Z,en
Thank you for the information,2021-09-05T01:21:31Z,en
Very important informaion. Thank you very much.,2021-09-05T00:50:11Z,en
Ita wadagat vidiyo,2021-09-04T21:53:48Z,other
