Comment,Date,language
සාමන්‍ය පෙලට S එකක් තිබිලා English diploma එකක් තියනවනම් බැන්ක් එකකට ඇප්ලයි කරන්න පුලුවන්ද,2025-05-20T07:34:56Z,si
Form fill karale email ekek avade,2025-05-13T07:50:12Z,other
English walata deweni para c ekak tiyen kenekta brida,2025-05-13T02:39:50Z,si
2025 අවුරුද්දේ කවද වගේ ගැසට් කරයිද,2025-05-12T15:44:50Z,si
Ganu lamaita puluwanda sir,2025-05-11T07:21:52Z,si
NVQ Sahathikayak onimada,2025-05-11T07:21:07Z,other
Sir meka apply krl khmd exam interview thiyenne kiyl danagann puluwnd,2025-05-10T16:22:06Z,si
Apply krnne kohomd,2025-05-09T14:28:13Z,si
Apply karama interview call karanawada?,2025-05-08T12:49:55Z,si
Math apply kara dn ,2025-05-05T08:07:13Z,other
Salari kohomada,2025-05-20T11:59:52Z,other
සුදුසුකම් තියෙනව අදම යන්නෙ කොහොමද,2025-05-19T05:16:22Z,si
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,2025-05-19T05:15:01Z,si
Marry karapu ayata puluwanda,2025-05-19T01:21:33Z,si
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,2025-05-19T01:03:06Z,si
Apply link ekak nedda?,2025-05-19T00:46:52Z,si
Internship yanna berid 6 months walin ain wenna puluwnd ,2025-05-18T17:44:26Z,si
Ane pls kynko mekt 20 wenidt interview gyoth hrid kyl,2025-05-18T17:16:37Z,other
Island wideද?,2025-05-18T16:25:29Z,si
First  ,2025-05-18T15:42:40Z,en
Ape mudal walata lebena arakshawa kohomada?video ekak danna,2025-05-11T14:31:37Z,si
bank wala labagena athi rate kohomada dannako,2025-05-11T14:20:13Z,si
මගේ HNB ගිණුමක් තියෙනවා කොහොමද තැන්පතුවක් දාගන්නෙ.  මම ඉන්නෙ පිටරට,2025-05-09T13:59:52Z,si
ohoma karala Othanadi enter karanna ena coad ekamada api card eka dala salli gannakotath enter karanna ona,2025-05-17T00:09:11Z,si
Ethakota bilak 4n ekata enawada,2025-05-10T01:33:30Z,si
Main campus ka name bataiye sayad srinagar h aur kya main campus me ballb hai kya 5 years law please pata karke bata digiye i request you pls main campus me ballb hai ya nhi aur main campus ka name,2025-05-14T02:33:43Z,other
