Comment,Date,language
agri science krl Pass s 2 baid,2025-05-25T09:35:34Z,other
සර් මම මේකට ඇප්ලයි කරා... හැබැයි මම විභාග ගාස්තු එහෙම ගෙවන්ට ඕනිද කියල දැනුවත් නෑ.... එහෙම ගෙවන්ට ඕනි නම් ඒ ගැන විස්තර කියන්ට පුළුවන්ද,2025-05-24T14:08:26Z,si
Sir 404 kyla error ekk enwa ekata video ekk nedda,2025-05-20T17:00:43Z,si
සර් මට 24යි මාස 10 ක් වෙනව...අපිට බැහැද ඇප්ලය් කරන්න,2025-05-19T05:50:15Z,si
තරග විභාගයට kedawana wada kiyala dena ganne kohomada,2025-05-18T11:49:00Z,si
Mge birthday ek 2000.11.06 ethkot mt exam ekt apply krnn puluwnd me aurudde 2025.11.06t aurudu 25 k wenw thm 24 nisa pulwnd,2025-05-18T06:53:14Z,si
Meka university yana gaman karanna berid aniwaren awurud 2k krnn onada magdi ain wenna berid,2025-05-18T05:06:07Z,si
sever error kiyala watenawane,2025-05-18T04:30:04Z,si
apply karann form eka pennanne nane,2025-05-18T04:29:45Z,si
Sir api mekata apply karala exam fees gewnn oni mona welawatada?apply karala gewanna onida?neththm denum denawada eyala?,2025-05-18T02:19:28Z,si
"Sir mn danata Kelaniya University eke bcom degree eka krna gmn inne (1 year)

Mn Trainee staff assistant vacancy ekata apply krla job eka confirm unoth ekata yna ekada hoda nattan degree eka complete krna ekada hoda? 

Job eke experience pennala MBA ekak krnnath puluwn nisa me question eka ahuwe sir

Pls reply sir ",2025-05-17T16:15:56Z,si
Mt wayasa 24 i.2025.03.07 dinata 24 sampurna una.ethakota bada liyanna.,2025-05-17T14:59:52Z,ta
"I studied English after the O-Level exam, but I got an “S” grade for English in o/l exam. So, is there at least any way I can face the bank exam ?",2025-05-17T13:31:11Z,en
"Sir මහජන බැංකුව /ලංකා බැංකුව /Rdb බැංකුව /nsb බැංකුව me bank වල tranine assistant කෙනෙකුට ස්තීර වුනාම 
ලැබෙන වැටුප එක සාමානද නැත්නම් වෙනස් වෙනවද",2025-05-17T10:20:27Z,si
Sir account ekata log wela register unata passe email ekk awa a email eka touch karata passe invalid activation code kiyla watenwa ne ita passe mkkd krnn one kiyl threnne na kiyl denn puluwnda ? ,2025-05-16T13:30:25Z,si
