comment,aspect,published_at
me wallet eke payment karanna giyama error signal ekakne enne,Transactions and Payments,2024-04-01T04:54:48Z
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z
Solo app eken wena bank ecount walata money transfer karana puluwnda,Transactions and Payments,2023-10-04T17:52:56Z
Hnb account balance eka bala ganna puluvanda,Transactions and Payments,2023-08-21T06:41:55Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ😥🤐,Transactions and Payments,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,Others,2022-09-07T04:16:21Z
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z
Meken bank transfer karanna puluwan da?,Transactions and Payments,2022-01-08T04:19:58Z
Bank acount ta tarnfar karanna puluvamda,Digital Banking Experience,2021-09-01T01:23:55Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,Transactions and Payments,2021-07-17T09:01:19Z
direct money transwer karanna puluwanda?,Transactions and Payments,2021-06-11T19:13:31Z
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,Digital Banking Experience,2021-06-11T18:52:21Z
Vena bank ekakta salli transar krnne komda,Transactions and Payments,2021-06-07T04:14:16Z
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්🙏,Digital Banking Experience,2021-05-06T06:49:13Z
Solo niyamai... ez cash app eke thiyenawa ape wallet ekata QR ekak.. e wage Solo wallet ekata salli ganna puluwam wenna QR ekak denawanan hondai..,Transactions and Payments,2021-02-25T17:03:30Z
Huawei y7a eke login wennabane error enawa,Digital Banking Experience,2021-02-24T02:46:24Z
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z
bank to bank pay karanna pluwanda,Transactions and Payments,2021-02-21T04:28:29Z
Bank transfer karanna beridha?,Transactions and Payments,2021-02-20T09:25:56Z
ගූ bank එකක් hnb කියන්නෙ😎😎,Trust and Security,2021-02-20T07:20:32Z
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z
Samsung Note 20 ultra එක හැදුවද? Chanux bro,Digital Banking Experience,2021-02-19T18:23:42Z
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,Transactions and Payments,2021-02-19T17:45:58Z
Bank transfer karanna option ekak nene app eke. Eka thamai aula.,Transactions and Payments,2021-02-19T17:40:23Z
ATM Fee saver app is very helpful for every traveller :),Digital Banking Experience,2023-06-22T20:05:09Z
Anna card Illama epdi apps use pannura,Digital Banking Experience,2023-05-03T13:27:50Z
Enakku kurunagala HNB  bank no vendum,Trust and Security,2023-03-15T13:45:25Z
Bro transfer pannurathula amound ku kila 2 keduruku athu ennathu bro,Transactions and Payments,2023-02-09T14:41:38Z
Indha(HNB) app la srilanka la irundhu india ku money pay panna mudiyuma?,Transactions and Payments,2022-06-01T07:09:14Z
பொபல்க்கு வரவேன்டியா பணாத்தை இதில் பொரமுடியிம்மா நண்ப,Loans and Credit Services,2022-02-21T07:08:09Z
ஒண்லையின்னில்  ஏன்பண்ணும் பணாத்தை பொட்ரு கொல்ல முடியிமா  நண்ப தழிழலிழ் பதில்,Trust and Security,2022-02-20T11:41:13Z
Bro debit card pin  no yenga irikida,Digital Banking Experience,2021-12-10T10:24:48Z
"Anna enaku oru help
Srilanka la irinthu indaiku money anupalama online moolama? 
Because srilankan government stop transaction😭",Transactions and Payments,2021-07-21T08:12:01Z
Bro transactions delete Panalama bro?,Transactions and Payments,2021-07-13T12:05:44Z
Credit card kasu poda mudiyatha bro hnb card kku,Loans and Credit Services,2021-06-16T03:29:24Z
Utility payments kku extra fees irukka bro,Transactions and Payments,2021-06-04T06:48:06Z
Bro intha app use panni vara bank account akkalukku money annuppalaamaa bro,Transactions and Payments,2021-05-30T15:07:21Z
com bank patthi vidieo podunka bro,Digital Banking Experience,2021-05-27T13:16:37Z
"Anna, people's bank ku sollungale",Trust and Security,2021-05-24T03:48:24Z
Bro அப்படியே boc online bank பற்றியும் கொஞ்சம் சொன்னா suppara இருக்கும்.,Digital Banking Experience,2021-05-23T07:43:24Z
