Comment,Aspect,Date,model_score,lexicon_score,final_score
ATM Fee saver app is very helpful for every traveller :),Digital Banking Experience,2023-06-22T20:05:09Z,0.5457472205162048,0.0,0.3820230543613434
Bank account number eke 15 digits thiyenw.. app eka 12 digits.. ethkot mk,Digital Banking Experience,2024-03-20T03:36:01Z,0.7818416953086853,0.0,0.5472891867160796
වැඩිම  ගාණ කීයක් ද,Transactions and Payments,2024-02-22T10:59:47Z,0.6197463274002075,0.0,0.43382242918014524
Mage account eka block kiyl watenawane,Digital Banking Experience,2023-12-05T00:16:35Z,0.7392132878303528,0.0,0.5174493014812469
Debit card number kiyana ekata mokakkda denne,Digital Banking Experience,2023-11-05T12:18:04Z,0.7864177227020264,0.0,0.5504924058914185
ඇප් එක හාදාගන්න බැනෙ,Digital Banking Experience,2023-11-01T15:19:55Z,0.8741432428359985,0.0,0.611900269985199
අයියෙ බ්‍රාන්ච් නේම් එකයි නමයි බලා ගන්නෙ කොමද,Digital Banking Experience,2023-10-30T10:32:24Z,0.7902567982673645,0.0,0.5531797587871551
"Account preference kiyala, View and transact option eka on wenne nh",Digital Banking Experience,2023-10-01T06:31:03Z,0.899613618850708,0.0,0.6297295331954955
අවුරුද්දකට කීයක් chage කරනවද  online banking වලට බැංකුවෙන්.,Digital Banking Experience,2023-09-11T15:44:07Z,0.7867496609687805,0.0,0.5507247626781463
Bank message phone ekata enne naththe ai?,Customer Support,2023-08-30T04:20:05Z,0.4847565293312073,1.0,0.6393295705318451
Hnb  කාඩ් එකකින්  වෙනත් බැංකු Atm එකකින් සල්ලි ගන්න විදිහ කියලා දෙන්නකෝ,Transactions and Payments,2024-03-28T06:10:43Z,0.7087789177894592,1.0,0.7961452424526214
අයියෙ  වෙන බැන්කු වලින් පුළුවන්ද     වෙන ගිනුමකට සල්ලි දාන්න,Loans and Credit Services,2024-03-06T17:04:11Z,0.42743054032325745,0.0,0.2992013782262802
Debit card එකෙන් ඉන්ධනහලකට සහ සාප්පුවකට ගිහිං ගෙවීම් කරන විදිහ සම්බන්ධව video එකක් කරන්ඩකො මිත්‍රයා. ග්‍රාමිය ජනතාවට තාම මේ දේවල් ගැන අවබෝධය අඩුයි.,Transactions and Payments,2024-01-06T11:16:19Z,0.7370168566703796,1.0,0.8159117996692657
ග්‍රාමීය බැංකුව සල්ලි ගන්න විදිය,Others,2023-11-24T06:55:45Z,0.30785125494003296,0.0,0.21549587845802307
ATM කාඩ් එක සල්ලි කැපෙන වද,Transactions and Payments,2023-11-16T03:27:46Z,0.7868403196334839,1.0,0.8507882237434388
බැංකුවේ පොත ATM කාඩ් එක ආරබ කරන්නේ කොහොමද,Transactions and Payments,2023-11-16T03:26:23Z,0.6997455954551697,1.0,0.7898219168186187
අයියේ බැංකු පොත ATM කාඩ් එකකට හරවන්නේ කොහොමද හරවන කොට පුරවන්න  තියෙන ෆෝම් මොනවද ඒගැන වීඩීයෝ එකක් ඕනේ ,Transactions and Payments,2023-11-09T03:51:10Z,0.7714152932167053,1.0,0.8399907052516937
"Math lagadi gaththa hnb card ekak, anik banks walata wada lesi",Digital Banking Experience,2023-11-05T20:38:11Z,0.4214368164539337,0.0,0.2950057715177536
