Comment,Aspect,Date,model_score,lexicon_score,final_score
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z,0.7085301280021667,0.0,0.4959710896015167
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,Transactions and Payments,2023-09-24T07:08:52Z,0.5640935301780701,0.0,0.39486547112464904
Transaction password eka amathaka mm hadagnne kohomda,Digital Banking Experience,2023-09-15T14:44:32Z,0.785581648349762,1.0,0.8499071538448333
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,Transactions and Payments,2022-10-18T12:18:06Z,0.6745015382766724,0.0,0.47215107679367063
මේක ආරක්ෂිතද.,Trust and Security,2022-09-07T04:16:21Z,0.2618360221385956,1.0,0.48328521549701686
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,Transactions and Payments,2022-08-14T15:28:08Z,0.5246911644935608,1.0,0.6672838151454925
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,Digital Banking Experience,2022-08-13T11:52:06Z,0.22712233662605286,1.0,0.45898563563823697
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,Digital Banking Experience,2022-07-14T14:28:13Z,0.5506142377853394,0.0,0.38542996644973754
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z,0.645874559879303,0.0,0.45211219191551205
වෙන bank එකකට සල්ලි යවන්න බැරිද,Others,2021-07-17T09:01:19Z,0.1408567875623703,0.0,0.09859975129365921
Vena bank ekakta salli transar krnne komda,Others,2021-06-07T04:14:16Z,0.042636021971702576,0.0,0.0298452153801918
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්,Digital Banking Experience,2021-05-06T06:49:13Z,0.40377277135849,1.0,0.5826409399509429
Huawei y7a eke login wennabane error enawa,Digital Banking Experience,2021-02-24T02:46:24Z,0.863034188747406,1.0,0.9041239321231842
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. ),Digital Banking Experience,2021-02-22T15:03:12Z,0.6907685995101929,0.0,0.483538019657135
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z,0.8116084337234497,1.0,0.8681259036064148
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,Transactions and Payments,2021-02-22T01:08:36Z,0.4945998191833496,1.0,0.6462198734283446
ගූ bank එකක් hnb කියන්නෙ,Trust and Security,2021-02-20T07:20:32Z,0.47809135913848877,0.0,0.3346639513969421
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z,0.6312605142593384,0.0,0.44188235998153685
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.,Transactions and Payments,2021-02-20T02:55:08Z,0.3034095764160156,1.0,0.5123867034912108
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,Digital Banking Experience,2021-02-20T01:37:19Z,0.878199577331543,0.0,0.61473970413208
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Others,2021-02-20T01:15:39Z,0.15343643724918365,0.0,0.10740550607442856
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Others,2021-02-20T01:15:32Z,0.15343643724918365,0.0,0.10740550607442856
