Comment,Aspect,Date,brand,trigger_keywords,model_score,lexicon_score,final_score
සාමන්‍ය පෙලට S එකක් තිබිලා English diploma එකක් තියනවනම් බැන්ක් එකකට ඇප්ලයි කරන්න පුලුවන්ද,Digital Banking Experience,2025-05-20T07:34:56Z,Hatton National Bank,['HNB'],0.8678980469703674,0.0,0.6075286328792572
2025 අවුරුද්දේ කවද වගේ ගැසට් කරයිද,Loans and Credit Services,2025-05-12T15:44:50Z,Hatton National Bank,['HNB'],0.4017356336116791,0.0,0.28121494352817533
Apply krnne kohomd,Transactions and Payments,2025-05-09T14:28:13Z,Hatton National Bank,['HNB'],0.44312459230422974,0.0,0.3101872146129608
වීඩියෝ වල සවුන්ඩ් මදි තා වැඩි කරන්න සවුන්ඩ්...,Digital Banking Experience,2025-05-04T13:28:28Z,Hatton National Bank,['HNB'],0.5076414942741394,0.0,0.35534904599189754
දළ වශයෙන් salary එක කීයක් වගේ ගන්න පුලුවන් වෙයිද කියන්නකෝ,Transactions and Payments,2025-05-03T13:33:54Z,Hatton National Bank,['HNB'],0.4928050935268402,0.0,0.34496356546878815
ට්‍රෙනින් වලින්පස්සේ  ස්තිරවම බදවා ගක්නවද,Loans and Credit Services,2025-05-03T09:27:05Z,Hatton National Bank,['HNB'],0.4830632507801056,0.0,0.3381442755460739
Annual Fee eka kiyada HNB app ekee..? Sampath Vishwa app eke Rs.700 ,Transactions and Payments,2025-03-07T17:56:00Z,Hatton National Bank,['HNB'],0.6046842336654663,0.0,0.4232789635658264
Account  එක ඇඩ් කරන්න්න බෑනේ..,Digital Banking Experience,2024-11-06T12:47:48Z,Hatton National Bank,['HNB'],0.8905171155929565,0.0,0.6233619809150696
Akke mage bank account eka we could not find an account to initiate a fund transfer kiyala watenawa ekata giyama  view & transact kiyana eka danna ba e hinda salli transfer karanna ba ne,Digital Banking Experience,2024-07-05T09:47:37Z,Hatton National Bank,['HNB'],0.8178001642227173,0.0,0.5724601149559021
Akke mage account ekin money transfer karaganna bh mn lankave nh mata adhissiyata kisima deyak karaganna varuva thiyenne solution ekak one,Digital Banking Experience,2024-06-19T22:32:18Z,Hatton National Bank,['HNB'],0.6889359951019287,0.0,0.4822551965713501
සුදුසුකම් තියෙනව අදම යන්නෙ කොහොමද,Others,2025-05-19T05:16:22Z,Hatton National Bank,['HNB'],0.6824310421943665,0.0,0.4777017295360565
මම ඉන්නෙ පිටරට මගේ HNB ගිණුමක් තියෙනවා..කොහොමද ස්ථාවර තැන්පතුව ක් දාන්නෙ,Transactions and Payments,2025-05-09T14:03:32Z,Hatton National Bank,['HNB'],0.5696197748184204,0.0,0.3987338423728943
Fixed deposit ekak end karanne kohomada obligation app eke,Transactions and Payments,2025-03-09T03:01:18Z,Hatton National Bank,['HNB'],0.3207203447818756,1.0,0.5245042413473129
Bank ekata nogihin e bank haraha deposit karsnna puluwanda.kalin deposit karala nati kenekta.,Transactions and Payments,2025-01-25T05:05:09Z,Hatton National Bank,['HNB'],0.4188711643218994,1.0,0.5932098150253295
හලෝ මම මම දාලා තියෙන්නේ තැන්පත් දිනවා නෝමල් තැම්පස්ථිරාව තැන්පත් ගිණුමක් හදන්නේ කොහොමද මම ඒ දේ හදන්නේ මට කොහොමද මගේ වයස වැඩි නිසා හදන්න බැහැ නේද,Transactions and Payments,2024-10-16T08:43:09Z,Hatton National Bank,['HNB'],0.5965424180030823,0.0,0.41757969260215755
සම්පත් බැන්කුවේ දින 200ට  9%දෙනවා,Transactions and Payments,2024-08-27T15:46:11Z,Hatton National Bank,['HNB'],0.7473414540290833,0.0,0.5231390178203582
NSB එකේ 9%යි,Transactions and Payments,2024-08-26T10:32:58Z,Hatton National Bank,['HNB'],0.7808842062950134,0.0,0.5466189444065094
"රෙද්ද .,boc 8.25ක් දෙනවා ඕනම ගාණට",Transactions and Payments,2024-08-26T10:14:51Z,Hatton National Bank,['HNB'],0.7209324836730957,0.0,0.504652738571167
ලක්ෂ 2 දැම්මොත් සාමාන්‍ය විදිහට මාස 3 ස්ථාවර තැන්පතුවක් මාස තුනකින් අපිට කීයක් ලැබෙනවද,Transactions and Payments,2024-08-25T13:53:36Z,Hatton National Bank,['HNB'],0.7542261481285095,0.0,0.5279583036899567
Onama rataka qr payment karanna puluwanda oya app eken,Transactions and Payments,2024-11-10T19:21:36Z,Hatton National Bank,['HNB'],0.3982018530368805,1.0,0.5787412971258163
මම solo app එකෙන් QR එක්කට ගෙව්ව එත් එක unsuccessful උනා එත් සල්ලි වැටුන් නැ නේ🥺 එක අයේ ගන්න බැරි වෙයිද,Digital Banking Experience,2024-09-15T16:28:51Z,Hatton National Bank,['HNB'],0.3743896484375,1.0,0.56207275390625
me wallet eke payment karanna giyama error signal ekakne enne,Digital Banking Experience,2024-04-01T04:54:48Z,Hatton National Bank,['HNB'],0.7447845339775085,0.0,0.5213491737842559
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z,Hatton National Bank,['HNB'],0.7085301280021667,0.0,0.4959710896015167
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,Digital Banking Experience,2023-10-06T19:44:05Z,Hatton National Bank,['HNB'],0.8450303673744202,1.0,0.8915212571620941
Solo app eken wena bank ecount walata money transfer karana puluwnda,Digital Banking Experience,2023-10-04T17:52:56Z,Hatton National Bank,['HNB'],0.6584049463272095,0.5,0.6108834624290466
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,Transactions and Payments,2023-09-24T07:08:52Z,Hatton National Bank,['HNB'],0.5640935301780701,0.0,0.39486547112464904
Transaction password eka amathaka mm hadagnne kohomda,Digital Banking Experience,2023-09-15T14:44:32Z,Hatton National Bank,['HNB'],0.785581648349762,1.0,0.8499071538448333
Hnb account balance eka bala ganna puluvanda,Digital Banking Experience,2023-08-21T06:41:55Z,Hatton National Bank,['HNB'],0.6217687726020813,0.0,0.4352381408214569
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,Transactions and Payments,2022-10-18T12:18:06Z,Hatton National Bank,['HNB'],0.6745015382766724,0.0,0.47215107679367063
මේක ආරක්ෂිතද.,Trust and Security,2022-09-07T04:16:21Z,Hatton National Bank,['HNB'],0.2618360221385956,1.0,0.48328521549701686
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,Transactions and Payments,2022-08-14T15:28:08Z,Hatton National Bank,['HNB'],0.5246911644935608,1.0,0.6672838151454925
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,Digital Banking Experience,2022-08-13T11:52:06Z,Hatton National Bank,['HNB'],0.22712233662605286,1.0,0.45898563563823697
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,Digital Banking Experience,2022-07-14T14:28:13Z,Hatton National Bank,['HNB'],0.5506142377853394,0.0,0.38542996644973754
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z,Hatton National Bank,['HNB'],0.645874559879303,0.0,0.45211219191551205
Meken bank transfer karanna puluwan da?,Digital Banking Experience,2022-01-08T04:19:58Z,Hatton National Bank,['HNB'],0.8411681056022644,0.0,0.588817673921585
Bank acount ta tarnfar karanna puluvamda,Digital Banking Experience,2021-09-01T01:23:55Z,Hatton National Bank,['HNB'],0.8091027140617371,0.0,0.5663718998432159
වෙන bank එකකට සල්ලි යවන්න බැරිද,Others,2021-07-17T09:01:19Z,Hatton National Bank,['HNB'],0.1408567875623703,0.0,0.09859975129365921
Water bill electricity bill gewannath puluwanda,Transactions and Payments,2021-06-12T00:26:43Z,Hatton National Bank,['HNB'],0.6312131285667419,0.0,0.44184918999671935
direct money transwer karanna puluwanda?,Digital Banking Experience,2021-06-11T19:13:31Z,Hatton National Bank,['HNB'],0.7697173953056335,0.0,0.5388021767139435
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,Digital Banking Experience,2021-06-11T18:52:21Z,Hatton National Bank,['HNB'],0.7661183476448059,0.0,0.5362828433513641
Vena bank ekakta salli transar krnne komda,Transactions and Payments,2021-06-07T04:14:16Z,Hatton National Bank,['HNB'],0.32921046018600464,1.0,0.5304473221302032
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",Digital Banking Experience,2021-05-31T11:01:11Z,Hatton National Bank,['HNB'],0.8242893218994141,0.0,0.5770025253295898
Account eke salli thiyenna oneda?,Digital Banking Experience,2021-05-23T03:24:16Z,Hatton National Bank,['HNB'],0.9007426500320435,0.0,0.6305198550224304
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්,Digital Banking Experience,2021-05-06T06:49:13Z,Hatton National Bank,['HNB'],0.40377277135849,1.0,0.5826409399509429
Solo niyamai... ez cash app eke thiyenawa ape wallet ekata QR ekak.. e wage Solo wallet ekata salli ganna puluwam wenna QR ekak denawanan hondai..,Digital Banking Experience,2021-02-25T17:03:30Z,Hatton National Bank,['HNB'],0.6231916546821594,0.5,0.5862341582775116
Huawei y7a eke login wennabane error enawa,Digital Banking Experience,2021-02-24T02:46:24Z,Hatton National Bank,['HNB'],0.863034188747406,1.0,0.9041239321231842
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. ),Digital Banking Experience,2021-02-22T15:03:12Z,Hatton National Bank,['HNB'],0.6907685995101929,0.0,0.483538019657135
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z,Hatton National Bank,['HNB'],0.8116084337234497,1.0,0.8681259036064148
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,Transactions and Payments,2021-02-22T01:08:36Z,Hatton National Bank,['HNB'],0.4945998191833496,1.0,0.6462198734283446
Anee aiye podi awlak phon ekee puluwan nann danma udawwak ooona call gaddi aiye watenawa not  registered on network kiyala call gannath baa enneth naa puluwan  udawwak aiye,Customer Support,2021-02-21T23:42:46Z,Hatton National Bank,['HNB'],0.7019826769828796,1.0,0.7913878738880157
seller kenek kohomada meka araganne? online payment gateway 1k ganna bari insta walin wage business karana or podiyata website ekak hadala  business karana ayata meka eyalage business ekata use karanna bari da?,Digital Banking Experience,2021-02-21T05:42:34Z,Hatton National Bank,['HNB'],0.7359626293182373,0.0,0.515173840522766
bank to bank pay karanna pluwanda,Transactions and Payments,2021-02-21T04:28:29Z,Hatton National Bank,['HNB'],0.37562891840934753,1.0,0.5629402428865433
Bank transfer karanna beridha?,Digital Banking Experience,2021-02-20T09:25:56Z,Hatton National Bank,['HNB'],0.8839304447174072,0.0,0.618751311302185
ගූ bank එකක් hnb කියන්නෙ,Trust and Security,2021-02-20T07:20:32Z,Hatton National Bank,['HNB'],0.47809135913848877,0.0,0.3346639513969421
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z,Hatton National Bank,['HNB'],0.6312605142593384,0.0,0.44188235998153685
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.,Transactions and Payments,2021-02-20T02:55:08Z,Hatton National Bank,['HNB'],0.3034095764160156,1.0,0.5123867034912108
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,Digital Banking Experience,2021-02-20T01:37:19Z,Hatton National Bank,['HNB'],0.878199577331543,0.0,0.61473970413208
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Others,2021-02-20T01:15:39Z,Hatton National Bank,['HNB'],0.15343643724918365,0.0,0.10740550607442856
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Others,2021-02-20T01:15:32Z,Hatton National Bank,['HNB'],0.15343643724918365,0.0,0.10740550607442856
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Others,2021-02-20T01:15:26Z,Hatton National Bank,['HNB'],0.15343643724918365,0.0,0.10740550607442856
Samsung Note 20 ultra එක හැදුවද? Chanux bro,Digital Banking Experience,2021-02-19T18:23:42Z,Hatton National Bank,['HNB'],0.7318756580352783,0.0,0.5123129606246948
Aiye onama bank account ekak add karanna puluwanda,Digital Banking Experience,2021-02-19T18:09:32Z,Hatton National Bank,['HNB'],0.7797512412071228,0.0,0.545825868844986
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,Transactions and Payments,2021-02-19T17:45:58Z,Hatton National Bank,['HNB'],0.7775365114212036,0.0,0.5442755579948425
Bank transfer karanna option ekak nene app eke. Eka thamai aula.,Digital Banking Experience,2021-02-19T17:40:23Z,Hatton National Bank,['HNB'],0.8779367804527283,0.0,0.6145557463169098
