Comment,Aspect,Date,brand,trigger_keywords,model_score,lexicon_score,final_score
සාමන්‍ය පෙලට S එකක් තිබිලා English diploma එකක් තියනවනම් බැන්ක් එකකට ඇප්ලයි කරන්න පුලුවන්ද,Digital Banking Experience,2025-05-20T07:34:56Z,Hatton National Bank,['HNB'],0.8678980469703674,0.0,0.6075286328792572
2025 අවුරුද්දේ කවද වගේ ගැසට් කරයිද,Loans and Credit Services,2025-05-12T15:44:50Z,Hatton National Bank,['HNB'],0.4017356336116791,0.0,0.28121494352817533
Apply krnne kohomd,Transactions and Payments,2025-05-09T14:28:13Z,Hatton National Bank,['HNB'],0.44312459230422974,0.0,0.3101872146129608
වීඩියෝ වල සවුන්ඩ් මදි තා වැඩි කරන්න සවුන්ඩ්...,Digital Banking Experience,2025-05-04T13:28:28Z,Hatton National Bank,['HNB'],0.5076414942741394,0.0,0.35534904599189754
දළ වශයෙන් salary එක කීයක් වගේ ගන්න පුලුවන් වෙයිද කියන්නකෝ,Transactions and Payments,2025-05-03T13:33:54Z,Hatton National Bank,['HNB'],0.4928050935268402,0.0,0.34496356546878815
ට්‍රෙනින් වලින්පස්සේ  ස්තිරවම බදවා ගක්නවද,Loans and Credit Services,2025-05-03T09:27:05Z,Hatton National Bank,['HNB'],0.4830632507801056,0.0,0.3381442755460739
Annual Fee eka kiyada HNB app ekee..? Sampath Vishwa app eke Rs.700 ,Transactions and Payments,2025-03-07T17:56:00Z,Hatton National Bank,['HNB'],0.6046842336654663,0.0,0.4232789635658264
සුදුසුකම් තියෙනව අදම යන්නෙ කොහොමද,Others,2025-05-19T05:16:22Z,Hatton National Bank,['HNB'],0.6824310421943665,0.0,0.4777017295360565
මම ඉන්නෙ පිටරට මගේ HNB ගිණුමක් තියෙනවා..කොහොමද ස්ථාවර තැන්පතුව ක් දාන්නෙ,Transactions and Payments,2025-05-09T14:03:32Z,Hatton National Bank,['HNB'],0.5696197748184204,0.0,0.3987338423728943
Fixed deposit ekak end karanne kohomada obligation app eke,Transactions and Payments,2025-03-09T03:01:18Z,Hatton National Bank,['HNB'],0.3207203447818756,1.0,0.5245042413473129
Bank ekata nogihin e bank haraha deposit karsnna puluwanda.kalin deposit karala nati kenekta.,Transactions and Payments,2025-01-25T05:05:09Z,Hatton National Bank,['HNB'],0.4188711643218994,1.0,0.5932098150253295
bank wala labagena athi rate kohomada dannako,Transactions and Payments,2025-05-11T14:20:13Z,Hatton National Bank,['HNB'],0.5664452910423279,0.0,0.3965117037296295
මගේ HNB ගිණුමක් තියෙනවා කොහොමද තැන්පතුවක් දාගන්නෙ.  මම ඉන්නෙ පිටරට,Transactions and Payments,2025-05-09T13:59:52Z,Hatton National Bank,['HNB'],0.6827518343925476,0.0,0.47792628407478327
ඉඩම් උකස් පොලී අනුපාතය කීයද  hnb,Transactions and Payments,2025-05-01T14:23:54Z,Hatton National Bank,['HNB'],0.48549747467041016,0.0,0.33984823226928706
විශ්‍රාමිකයන්ට සාදාරන පොලියක් ලබා දෙන්න,Loans and Credit Services,2025-01-29T04:41:19Z,Hatton National Bank,['HNB'],0.483916699886322,0.0,0.3387416899204254
"මේවා වැඩකට ඇති පොලි නොවේ.විශ්‍රාමිකයින් ට අඩු ගානේ 11%,12% වත් දෙන බැංකුව ක් ගැන දැනුවත් කරන්න. එහෙම නැතිනම් භාන්ඩාගාර බිල් පත් වල විශ්වාසයක් ඇත්ව මුදල් ආයෝජනය කල හැකි ක්‍රමයක් කියා දෙන්න.මේවා හැමදාම කියන බයිලානේ.ස්තුති .",Transactions and Payments,2025-01-22T09:28:03Z,Hatton National Bank,['HNB'],0.13138319551944733,1.0,0.3919682368636131
රට ඉන්න කෙනෙක්ට ගොඩක් ස්තූතියි දැනුවත් කිරිමට කොහොමද ගිණුමක් ඕපන් කරන්නෙ,Transactions and Payments,2025-01-19T14:19:45Z,Hatton National Bank,['HNB'],0.4723975956439972,0.0,0.330678316950798
 ලැබෙන පොලි අනුපාතය ගණනය කරලා තියෙන්නේ ඔයා බදු මුදල් අයින් කරලද?,Transactions and Payments,2025-01-19T09:59:57Z,Hatton National Bank,['HNB'],0.7620835900306702,1.0,0.8334585130214691
Pass එක මුලිම්ම ඉල්ලන්නෙ අපෙ කාඩ් එකෙ අංක 6 ද,Digital Banking Experience,2025-02-24T03:44:05Z,Hatton National Bank,['HNB'],0.6379921436309814,0.0,0.446594500541687
