comment,aspect,published_at
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z
Solo app eken wena bank ecount walata money transfer karana puluwnda,Digital Banking Experience,2023-10-04T17:52:56Z
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,Transactions and Payments,2023-09-24T07:08:52Z
Transaction password eka amathaka mm hadagnne kohomda,Digital Banking Experience,2023-09-15T14:44:32Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,Transactions and Payments,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,Trust and Security,2022-09-07T04:16:21Z
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,Transactions and Payments,2022-08-14T15:28:08Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,Digital Banking Experience,2022-08-13T11:52:06Z
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,Digital Banking Experience,2022-07-14T14:28:13Z
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,Transactions and Payments,2021-07-17T09:01:19Z
Vena bank ekakta salli transar krnne komda,Transactions and Payments,2021-06-07T04:14:16Z
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්,Digital Banking Experience,2021-05-06T06:49:13Z
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. ),Digital Banking Experience,2021-02-22T15:03:12Z
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,Transactions and Payments,2021-02-22T01:08:36Z
ගූ bank එකක් hnb කියන්නෙ,Trust and Security,2021-02-20T07:20:32Z
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.,Transactions and Payments,2021-02-20T02:55:08Z
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,Digital Banking Experience,2021-02-20T01:37:19Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Transactions and Payments,2021-02-20T01:15:39Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Transactions and Payments,2021-02-20T01:15:32Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Transactions and Payments,2021-02-20T01:15:26Z
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,Transactions and Payments,2021-02-19T17:45:58Z
කෝ අනේ gold button එක..🤔🤔🤨,Digital Banking Experience,2021-02-19T16:53:31Z
ATM Fee saver app is very helpful for every traveller :),Digital Banking Experience,2023-06-22T20:05:09Z
Bank account number eke 15 digits thiyenw.. app eka 12 digits.. ethkot mk,Digital Banking Experience,2024-03-20T03:36:01Z
වැඩිම  ගාණ කීයක් ද,Transactions and Payments,2024-02-22T10:59:47Z
Mage account eka block kiyl watenawane,Digital Banking Experience,2023-12-05T00:16:35Z
Debit card number kiyana ekata mokakkda denne,Digital Banking Experience,2023-11-05T12:18:04Z
ඇප් එක හාදාගන්න බැනෙ,Digital Banking Experience,2023-11-01T15:19:55Z
අයියෙ බ්‍රාන්ච් නේම් එකයි නමයි බලා ගන්නෙ කොමද,Digital Banking Experience,2023-10-30T10:32:24Z
"Account preference kiyala, View and transact option eka on wenne nh",Digital Banking Experience,2023-10-01T06:31:03Z
අවුරුද්දකට කීයක් chage කරනවද  online banking වලට බැංකුවෙන්.,Digital Banking Experience,2023-09-11T15:44:07Z
Bank message phone ekata enne naththe ai?,Customer Support,2023-08-30T04:20:05Z
