Comment,Aspect,Date,model_score,lexicon_score,final_score
me wallet eke payment karanna giyama error signal ekakne enne,Digital Banking Experience,2024-04-01T04:54:48Z,0.7447845339775085,0.0,0.5213491737842559
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z,0.7085301280021667,0.0,0.4959710896015167
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,Digital Banking Experience,2023-10-06T19:44:05Z,0.8450303673744202,1.0,0.8915212571620941
Solo app eken wena bank ecount walata money transfer karana puluwnda,Digital Banking Experience,2023-10-04T17:52:56Z,0.6584049463272095,0.5,0.6108834624290466
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,Transactions and Payments,2023-09-24T07:08:52Z,0.5640935301780701,0.0,0.39486547112464904
Transaction password eka amathaka mm hadagnne kohomda,Digital Banking Experience,2023-09-15T14:44:32Z,0.785581648349762,1.0,0.8499071538448333
Hnb account balance eka bala ganna puluvanda,Digital Banking Experience,2023-08-21T06:41:55Z,0.6217687726020813,0.0,0.4352381408214569
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,Transactions and Payments,2022-10-18T12:18:06Z,0.6745015382766724,0.0,0.47215107679367063
මේක ආරක්ෂිතද.,Trust and Security,2022-09-07T04:16:21Z,0.2618360221385956,1.0,0.48328521549701686
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,Transactions and Payments,2022-08-14T15:28:08Z,0.5246911644935608,1.0,0.6672838151454925
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,Digital Banking Experience,2022-08-13T11:52:06Z,0.22712233662605286,1.0,0.45898563563823697
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,Digital Banking Experience,2022-07-14T14:28:13Z,0.5506142377853394,0.0,0.38542996644973754
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z,0.645874559879303,0.0,0.45211219191551205
Meken bank transfer karanna puluwan da?,Digital Banking Experience,2022-01-08T04:19:58Z,0.8411681056022644,0.0,0.588817673921585
Bank acount ta tarnfar karanna puluvamda,Digital Banking Experience,2021-09-01T01:23:55Z,0.8091027140617371,0.0,0.5663718998432159
වෙන bank එකකට සල්ලි යවන්න බැරිද,Others,2021-07-17T09:01:19Z,0.1408567875623703,0.0,0.09859975129365921
Water bill electricity bill gewannath puluwanda,Transactions and Payments,2021-06-12T00:26:43Z,0.6312131285667419,0.0,0.44184918999671935
direct money transwer karanna puluwanda?,Digital Banking Experience,2021-06-11T19:13:31Z,0.7697173953056335,0.0,0.5388021767139435
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,Digital Banking Experience,2021-06-11T18:52:21Z,0.7661183476448059,0.0,0.5362828433513641
Vena bank ekakta salli transar krnne komda,Others,2021-06-07T04:14:16Z,0.042636021971702576,0.0,0.0298452153801918
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",Digital Banking Experience,2021-05-31T11:01:11Z,0.8242893218994141,0.0,0.5770025253295898
Account eke salli thiyenna oneda?,Digital Banking Experience,2021-05-23T03:24:16Z,0.9007426500320435,0.0,0.6305198550224304
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්,Digital Banking Experience,2021-05-06T06:49:13Z,0.40377277135849,1.0,0.5826409399509429
