comment,aspect,published_at
me wallet eke payment karanna giyama error signal ekakne enne,Transactions and Payments,2024-04-01T04:54:48Z
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,Digital Banking Experience,2023-10-06T19:44:05Z
Solo app eken wena bank ecount walata money transfer karana puluwnda,Transactions and Payments,2023-10-04T17:52:56Z
Transaction password eka amathaka mm hadagnne kohomda,Transactions and Payments,2023-09-15T14:44:32Z
Hnb account balance eka bala ganna puluvanda,Transactions and Payments,2023-08-21T06:41:55Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ😥🤐,Transactions and Payments,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,Others,2022-09-07T04:16:21Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,Transactions and Payments,2022-08-13T11:52:06Z
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z
Meken bank transfer karanna puluwan da?,Transactions and Payments,2022-01-08T04:19:58Z
Bank acount ta tarnfar karanna puluvamda,Digital Banking Experience,2021-09-01T01:23:55Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,Transactions and Payments,2021-07-17T09:01:19Z
direct money transwer karanna puluwanda?,Transactions and Payments,2021-06-11T19:13:31Z
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,Digital Banking Experience,2021-06-11T18:52:21Z
Vena bank ekakta salli transar krnne komda,Transactions and Payments,2021-06-07T04:14:16Z
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",Transactions and Payments,2021-05-31T11:01:11Z
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්🙏,Digital Banking Experience,2021-05-06T06:49:13Z
Solo niyamai... ez cash app eke thiyenawa ape wallet ekata QR ekak.. e wage Solo wallet ekata salli ganna puluwam wenna QR ekak denawanan hondai..,Transactions and Payments,2021-02-25T17:03:30Z
Huawei y7a eke login wennabane error enawa,Digital Banking Experience,2021-02-24T02:46:24Z
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z
Anee aiye podi awlak phon ekee puluwan nann danma udawwak ooona call gaddi aiye watenawa not  registered on network kiyala call gannath baa enneth naa puluwan  udawwak aiye,Customer Support,2021-02-21T23:42:46Z
seller kenek kohomada meka araganne? online payment gateway 1k ganna bari insta walin wage business karana or podiyata website ekak hadala  business karana ayata meka eyalage business ekata use karanna bari da?,Transactions and Payments,2021-02-21T05:42:34Z
bank to bank pay karanna pluwanda,Transactions and Payments,2021-02-21T04:28:29Z
Bank transfer karanna beridha?,Transactions and Payments,2021-02-20T09:25:56Z
ගූ bank එකක් hnb කියන්නෙ😎😎,Trust and Security,2021-02-20T07:20:32Z
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,Digital Banking Experience,2021-02-20T01:37:19Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Transactions and Payments,2021-02-20T01:15:39Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Transactions and Payments,2021-02-20T01:15:32Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,Transactions and Payments,2021-02-20T01:15:26Z
Samsung Note 20 ultra එක හැදුවද? Chanux bro,Digital Banking Experience,2021-02-19T18:23:42Z
Aiye onama bank account ekak add karanna puluwanda,Digital Banking Experience,2021-02-19T18:09:32Z
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,Transactions and Payments,2021-02-19T17:45:58Z
Bank transfer karanna option ekak nene app eke. Eka thamai aula.,Transactions and Payments,2021-02-19T17:40:23Z
Peoples pay opn anna❤,Transactions and Payments,2023-08-08T12:32:38Z
