comment,aspect,published_at
me wallet eke payment karanna giyama error signal ekakne enne,Transactions and Payments,2024-04-01T04:54:48Z
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z
Hnb account balance eka bala ganna puluvanda,Transactions and Payments,2023-08-21T06:41:55Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ😥🤐,Transactions and Payments,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,Others,2022-09-07T04:16:21Z
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,Digital Banking Experience,2022-07-06T15:42:09Z
Meken bank transfer karanna puluwan da?,Transactions and Payments,2022-01-08T04:19:58Z
Bank acount ta tarnfar karanna puluvamda,Digital Banking Experience,2021-09-01T01:23:55Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,Transactions and Payments,2021-07-17T09:01:19Z
direct money transwer karanna puluwanda?,Transactions and Payments,2021-06-11T19:13:31Z
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,Digital Banking Experience,2021-06-11T18:52:21Z
Vena bank ekakta salli transar krnne komda,Transactions and Payments,2021-06-07T04:14:16Z
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්🙏,Digital Banking Experience,2021-05-06T06:49:13Z
Solo niyamai... ez cash app eke thiyenawa ape wallet ekata QR ekak.. e wage Solo wallet ekata salli ganna puluwam wenna QR ekak denawanan hondai..,Transactions and Payments,2021-02-25T17:03:30Z
Huawei y7a eke login wennabane error enawa,Digital Banking Experience,2021-02-24T02:46:24Z
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z
bank to bank pay karanna pluwanda,Transactions and Payments,2021-02-21T04:28:29Z
Bank transfer karanna beridha?,Transactions and Payments,2021-02-20T09:25:56Z
ගූ bank එකක් hnb කියන්නෙ😎😎,Trust and Security,2021-02-20T07:20:32Z
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z
Samsung Note 20 ultra එක හැදුවද? Chanux bro,Digital Banking Experience,2021-02-19T18:23:42Z
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,Transactions and Payments,2021-02-19T17:45:58Z
Bank transfer karanna option ekak nene app eke. Eka thamai aula.,Transactions and Payments,2021-02-19T17:40:23Z
Hnb හොදයි ලබ්බට කෝටු ගහන්න සල්ලි දාගන්න බලන්න යූටුබ් චැනල් එකටම යන්න උනානේ එදකින්,Digital Banking Experience,2023-12-26T06:45:35Z
අනේ මන්ද බන් පොඩ්ඩක් හිමීට පැහැදිලිව කියහන්කො සල්ලි ට්‍රාන්ස්වර් කරද්දී අර ෆිල් කරන්නෙ කොහොමද කියලා.😕,Transactions and Payments,2022-02-17T18:03:40Z
අපි වෙන account  එකකට සල්ලි ට්‍රාන්සර් කලාම අපිට මුකුත් massage එකක්  එන්නෙ නැද්ද ? ඒ යවපු කෙනාට යවන්න ?,Transactions and Payments,2021-11-08T09:39:46Z
Bank account number eke 15 digits thiyenw.. app eka 12 digits.. ethkot mk,Digital Banking Experience,2024-03-20T03:36:01Z
වැඩිම  ගාණ කීයක් ද,Transactions and Payments,2024-02-22T10:59:47Z
Debit card number kiyana ekata mokakkda denne,Digital Banking Experience,2023-11-05T12:18:04Z
ඇප් එක හාදාගන්න බැනෙ,Digital Banking Experience,2023-11-01T15:19:55Z
අයියෙ බ්‍රාන්ච් නේම් එකයි නමයි බලා ගන්නෙ කොමද,Digital Banking Experience,2023-10-30T10:32:24Z
Fund transfer ekt yanna bane😢msg ekak enwne ynn bane,Transactions and Payments,2023-09-28T14:19:42Z
Peoples pay opn anna❤,Transactions and Payments,2023-08-08T12:32:38Z
Anna card Illama epdi apps use pannura,Digital Banking Experience,2023-05-03T13:27:50Z
Enakku kurunagala HNB  bank no vendum,Trust and Security,2023-03-15T13:45:25Z
Bro transfer pannurathula amound ku kila 2 keduruku athu ennathu bro,Transactions and Payments,2023-02-09T14:41:38Z
Indha(HNB) app la srilanka la irundhu india ku money pay panna mudiyuma?,Transactions and Payments,2022-06-01T07:09:14Z
