comment,aspect,published_at
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,Transactions and Payments,2023-11-02T06:50:00Z
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,Transactions and Payments,2023-09-24T07:08:52Z
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ😥🤐,Transactions and Payments,2022-10-18T12:18:06Z
මේක ආරක්ෂිතද.,Others,2022-09-07T04:16:21Z
වෙන bank එකකට සල්ලි යවන්න බැරිද,Transactions and Payments,2021-07-17T09:01:19Z
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්🙏,Digital Banking Experience,2021-05-06T06:49:13Z
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,Transactions and Payments,2021-02-22T01:58:05Z
ගූ bank එකක් hnb කියන්නෙ😎😎,Trust and Security,2021-02-20T07:20:32Z
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,Transactions and Payments,2021-02-20T03:07:06Z
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.😥,Transactions and Payments,2021-02-20T02:55:08Z
Samsung Note 20 ultra එක හැදුවද? Chanux bro,Digital Banking Experience,2021-02-19T18:23:42Z
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,Transactions and Payments,2021-02-19T17:45:58Z
කෝ අනේ gold button එක..🤔🤔🤨,Digital Banking Experience,2021-02-19T16:53:31Z
