Comment,Aspect,Date,brand,trigger_keywords,model_score,lexicon_score,final_score
"මට වයස 24යි මාස 10යි..වයස ප්‍රශ්නෙ නිසා ඇප්ලයි කරන්න බැහැ බෑන්ක් ජොබ්ස් වලට...2019 ඉදන් ඇප්ලයි කරා ඒත් බැරි උනා..ol english B, Maths B, Tamil A...Al cms walin ABC..general english C.. English higher national diploma eka karala inne..ජොබ්ස් වලට ඇප්ලයි කරන්නෙ 2019 ඉදල..තවම 25ක් වෙන්න ලන්වෙලත් ජොබ් එකක් නැ...මන් ඇප්ලයි කරන විදියෙ ප්‍රශ්නයක් ද වරදක් ද කියලත් හිතෙනව",Digital Banking Experience,2025-05-19T05:45:05Z,Commercial Bank,['commercial bank'],0.7515326738357544,0.0,0.526072871685028
Sir banking wlt awhsya smnya it apit free igen gnn widihk ndd 🥲🫠,Digital Banking Experience,2025-05-18T04:14:28Z,Commercial Bank,['commercial bank'],0.49273666739463806,0.0,0.3449156671762466
Mta  wayasa 24yi A/l bio kle css English it uk diploma dekk krl thiyenwa software engineering HND danata follow kranwa mt bank walt apply krnn puluwan d mt apply krnn puluwan job tikk kiynnko loku udwwak,Digital Banking Experience,2025-05-17T05:01:22Z,Commercial Bank,['commercial bank'],0.5378736257553101,0.0,0.376511538028717
මට O/l English C pass එකක් තියෙන්නෙ Apply කරන්න බැරි වෙයිද ?,Digital Banking Experience,2025-05-16T08:19:17Z,Commercial Bank,['commercial bank'],0.6999780535697937,0.0,0.48998463749885557
Mt me january wlt 22 complete unaa 22 maasa ganak gihin nisa mekt apply krtta wdk nti weid,Loans and Credit Services,2025-05-16T06:20:16Z,Commercial Bank,['commercial bank'],0.42365503311157227,0.0,0.29655852317810055
අවුරුදු 22 ට වඩා අඩු වෙන්න ඕනද සර්,Others,2025-05-16T02:07:23Z,Commercial Bank,['commercial bank'],0.5853318572044373,0.0,0.40973230004310607
"සර්  මට AL  -ABB 
කොමස් කලේ .

Ol  english වලට s එකක්  තියෙන්නේ .
icbt cmpus  එකෙන් english & it ඩිප්ලෝමා එකක්  කරල තියෙන්නේ .

ඒ ඩිප්ලෝමා එක  කරල තියෙන නිසා ol  engilsh -s එක  අවුලක් නැති  වෙයිද?",Digital Banking Experience,2025-05-15T21:19:57Z,Commercial Bank,['commercial bank'],0.8386457562446594,0.0,0.5870520293712616
මන් මේ වගෙ ජොබ් වලට ඇප්ලයි කල ඔන්ලයින් එත් කිසිම respond එකක් නැ. සුදුසුකම් ප්‍රශ්නෙකුත් නෙමෙයි. මට දැනගන්න පුලුවන් ද ඇයි ඉන්ටවීව්වත් කෝල් කරන්නෙ නැත්තෙ කියල කොච්චර කල් යනවද ඔන්ලයින් ඇප්ලිකෙශන් දාල උත්තරයක් එන්න,Customer Support,2025-05-15T15:38:53Z,Commercial Bank,['commercial bank'],0.3316957950592041,1.0,0.5321870565414428
"මට A/l s 1 yi thiyenne, O/L හොඳටම pass mata hoda salary ekak ගෙවන  job tikak kiyanavada  hoyala බලන්න",Others,2025-05-15T14:34:55Z,Commercial Bank,['commercial bank'],0.10879720002412796,0.0,0.07615804001688957
"Boc da , commercial yn eka hoda ??",Others,2025-05-15T13:40:48Z,Commercial Bank,['commercial bank'],0.4056861996650696,0.0,0.2839803397655487
