video_id,title,description,url,likes,views,comment_count,published_at,hashtags,keyword_hits
Nwvge11tP5U,🇱🇰 Investing Rs.1 Million: Sampath Bank Money Market vs Fixed Deposit Returns Explained 2025,"Sinhala explora 

Compare Sampath Bank's 6.5% Money Market Account vs. 7.5% Fixed Deposit for Rs.1,000,000. Learn which offers better returns in 2025.


In this comprehensive analysis, we delve into the performance of Sampath Bank's financial products in 2025, focusing on the Money Market Account and Fixed Deposit options. Our goal is to provide clarity for investors considering a Rs.1,000,000 deposit.

📊 Sampath Bank Money Market Account – 6.5% Interest

Sampath Bank's Money Market Account offers an annual interest rate of 6.5%, providing investors with flexibility and liquidity. Interest is calculated daily and credited monthly, allowing for consistent growth of your funds. This account is ideal for those seeking a balance between earning potential and accessibility to their funds.

💰 Sampath Bank Fixed Deposit – 7.5% Interest For investors looking for higher returns, Sampath Bank's Fixed Deposit offers an annual interest rate of 7.5% for a 12-month term with monthly interest payouts. This option is suitable for those who can commit their funds for a longer period in exchange for higher earnings.

🔍 Comparative Analysis: Rs.1,000,000 Investment

When investing Rs.1,000,000:

- Money Market Account : At 6.5% annual interest, you can expect monthly earnings of approximately Rs.5,417.

- Fixed Deposit : At 7.5% annual interest, monthly earnings would be around Rs.6,250.

Over a year, the Fixed Deposit would yield Rs.75,000, while the Money Market Account would yield Rs.65,000.

🧠 Choosing the Right Option

- Money Market Account*: Best for those who prioritize liquidity and may need access to their funds without penalties.

- Fixed Deposit: Ideal for investors seeking higher returns and who can lock in their funds for the specified term.

📈 Conclusion

Both options have their merits. Your choice should align with your financial goals, need for liquidity, and risk tolerance. Always consult with a financial advisor to determine the best investment strategy for your individual circumstances.

#moneymarketaccount #sampathbankfdrates 
#sampathbank #commercialbank #fixeddeposit #fdratesinsrilanka2025 

Thanks all🌷",https://www.youtube.com/watch?v=Nwvge11tP5U,5051,447838,10,2025-05-07T10:35:00Z,"#moneymarketaccount, #sampathbankfdrates, #sampathbank, #commercialbank, #fixeddeposit, #fdratesinsrilanka2025",1
WOYCsk7YR9g,🇱🇰Sampath Bank New Fixed Deposit Interest Rates 2025 | Latest fd rates in sri lanka | Money Market,"Sinhala Explora🇱🇰

Sampath Bank Fixed Deposit Rates – May 2025:


💰 Sampath Bank Fixed Deposit Rates – May 2025 | Best FD Investment Options in Sri Lanka 🇱🇰

Looking to invest your money safely and earn stable returns? In this video, we cover the latest Sampath Bank Fixed Deposit (FD) rates for May 2025, including monthly interest payout options and maturity-based returns. Whether you're planning for short-term or long-term savings, we break down the best FD plans for LKR 500,000, LKR 1,000,000, and more.


📌 Sampath Bank FD Highlights – May 2025:

- 100-Day FD Rate: 7.50% p.a. (Monthly interest available)
- 1-Year FD Rate:
  - At Maturity: Competitive annual returns
  - Monthly Interest: Approx. LKR 6,250/month for LKR 1,000,000
- Minimum Deposit: LKR 500,000 for special FD rates
- Available Terms: 1 month to 5 years


📊 Example Interest Earnings:

- LKR 500,000 (Monthly FD): Earn approx. LKR 3,125/month
- LKR 1,000,000 (Monthly FD): Earn approx. LKR 6,250/month
- LKR 1,000,000 (1-Year Maturity FD): Earn approx. LKR 75,000 at maturity


🏦 Why Choose Sampath Bank?

- Trusted private bank in Sri Lanka
- Flexible FD durations
- Monthly income options

 Competitive rates for senior citizens and high-value deposits


#SampathBank #FixedDeposit2025 #SriLankaFD #InterestRates #SavingsSriLanka #SampathBankFD #MonthlyInterest #InvestInSriLanka

Sampath bank best fixed deposit ratea in sri lanka 2025 From 1 month to 5 years with 100, 200 & 300 days fd rates..

How to calculate fixed deposit rates interest monthly and maturity...

#moneymarketaccount 

Thanks all🌷",https://www.youtube.com/watch?v=WOYCsk7YR9g,429,36103,44,2025-05-17T13:39:30Z,"#SampathBank, #FixedDeposit2025, #SriLankaFD, #InterestRates, #SavingsSriLanka, #SampathBankFD, #MonthlyInterest, #InvestInSriLanka, #moneymarketaccount",1
xCXy4S6Dk5o,New Year Gifts -April 2025,Valuable gifts from Sampath Bank for the children who foster the good habit of saving this New Year.,https://www.youtube.com/watch?v=xCXy4S6Dk5o,8,885368,2,2025-04-09T11:29:16Z,,1
DQGTL4-L1wI,Sampath Bank Latest Fixed Deposit Rates 2025,"Sampath Bank latest FD Rates 2025

You can check the latest with Sampath Bank website:
https://www.sampath.lk/personal-banking/term-deposit-accounts/regular-deposits/Fixed-Deposits?category=personal_banking

#sampathbankfixeddepositrates #fixeddeposit #InterestRates #SampathBank",https://www.youtube.com/watch?v=DQGTL4-L1wI,22,855,3,2025-05-18T02:15:01Z,"#sampathbankfixeddepositrates, #fixeddeposit, #InterestRates, #SampathBank",1
PKurX-3n9II,How to Register for Sampath Vishwa Online Banking via a Live Bank Officer,"Experience the convenience of Online Banking
and easily open a Sampath Bank account without
having to step into a Bank.

You can now utilize the support of a Live Bank Officer to conveniently sign up for a Sampath Bank account via the Sampath Vishwa Online Banking Registration Process.",https://www.youtube.com/watch?v=PKurX-3n9II,683,73661,N/A,2022-07-27T10:55:01Z,,1
V7eNW_715LU,Sampath Bank American Express® Everyday Credit Card,Highlights from todays Sampath Bank American Express® Everyday Credit Card,https://www.youtube.com/watch?v=V7eNW_715LU,3,1530,N/A,2015-11-28T12:13:03Z,,1
ssqiFTy23oU,🔥 සම්පත් බැන්කුවේ පුහුණු සහකාර ඇබැර්තු නිකුත්වුණා : 2025 Sampath Bank Trainee Banking Assistant,"Commercial bank jobs video : https://youtu.be/RDbhgq0WBjk
Bank of ceylon job video : https://youtu.be/41XqUV4eOQM
Central bank job video : https://youtu.be/RMfi4hEV_3A

Sampath bank trainee staff assistant Link to apply : https://www.sampath.lk/careers?page_name=Vacancies

Looking to start your banking career in 2025? This video covers the latest Trainee Staff Assistant vacancies in top Sri Lankan banks such as BOC, Commercial Bank, Sampath Bank, HNB, and more.

🎓 Minimum Qualifications:
✔️ GCE A/L
✔️ Basic computer and English skills
✔️ No experience required

📝 In This Video:

Eligibility criteria

How to apply online

Application deadlines

Salary and benefits

Training and promotion opportunities

📢 Don't miss your chance to kick-start a stable career in banking!

#KKAcademySL #BankJobs2025 #TraineeBankingJobs",https://www.youtube.com/watch?v=ssqiFTy23oU,336,17896,73,2025-05-16T16:07:42Z,"#KKAcademySL, #BankJobs2025, #TraineeBankingJobs",1
PNK0n1N5TL0,Sampath Bank’s ‘Wewata Jeewayak’ - 25th Tank restoration program,"For generations, our farmers have nurtured the land, drawing life from ancient tanks that sustained entire communities. Still, as time passed, many of these reservoirs fell into neglect, making it harder for families to cultivate their fields and continue their way of life.

Sampath Bank’s ‘Wewata Jeewayak’ initiative was born from the belief that restoring these tanks is about more than just water, it’s about reviving hope, strengthening resilience, and ensuring that the spirit of our farming heritage continues to thrive for generations to come.

Today we unveiled a heartfelt commercial that brings to life a journey of resilience and reviwal: a story of farmers who can once again sow their fields with confidence, of families who no longer live in fear of the dry seasons, and of a timeless tradition finding new strength.

As we get ready to handover the 25th restored tank to the nation, our mission continues to grow. We carry forward a legacy where generations to come will thrive, nurtured by the waters that have sustained our people for centuries.

Stay tuned as this heartfelt message reaches you on screens across the country.",https://www.youtube.com/watch?v=PNK0n1N5TL0,39,903,11,2025-02-24T02:45:18Z,,1
mYW90IKxW48,Sampath Bank Speed TVC,"Director | Saminda Ranawaka
Cinematographer | Palitha Perera
Art Director | Lal Hareendranath
Post | Amith Asanka

Client | Sampath Bank
Agency | Grants McCann Erickson
CD | Russel Miranda",https://www.youtube.com/watch?v=mYW90IKxW48,5,1570,0,2013-07-15T14:00:37Z,,1
HnvVqKWMXhE,Sampath bank money market account fixed deposit interest rates | highest fd rates in sri lanka 2024,"Sinhala explora🇱🇰 

Sampath bank money market fixed deposit interest rates 2024 💰

7% interest for your money deposit more than 500000 lakh deposit..

#sampathbank #moneymarketaccount #fdratesinsrilanka2024 #fixeddepositinterestrates #fixeddepositrates 

Thanks all🌷",https://www.youtube.com/watch?v=HnvVqKWMXhE,89,9483,31,2024-06-11T15:09:05Z,"#sampathbank, #moneymarketaccount, #fdratesinsrilanka2024, #fixeddepositinterestrates, #fixeddepositrates",1
Z14LObjJzGw,"🇱🇰Fixed Deposit Interest Rates In Sri Lanka 2025 |Boc, Sampath, NSB, Sampath, Commercial bank fds","Sinhala explora 

Best bank for start a fixed deposit for 3 months in sri lanka 2025🇱🇰

Sampath Bank
Commercial Bank
Peoples Bank
NSB Bank 
BOC Bank

Latest Fd Rates In Sri Lanka 2025
fixed deposit rates calculation sinhala explora..

#sampathbank #commercialbank #boc #sampathbank #fixeddepositinterestrates #fdratesinsrilanka2025 #moneymarketaccount 

Thanks all🌷",https://www.youtube.com/watch?v=Z14LObjJzGw,127,11138,13,2025-05-06T10:41:19Z,"#sampathbank, #commercialbank, #boc, #sampathbank, #fixeddepositinterestrates, #fdratesinsrilanka2025, #moneymarketaccount",1
jtk888FUX2M,FIXED DEPOSIT INTEREST RATES IN SRI LANKA | sampath bank fd rates 2025  | නවතම ස්තාවර තැන්පතු පොලිය,"FIXED DEPOSIT INTEREST RATES IN SRI LANKA | sampath bank fd rates 2025  | නවතම ස්තාවර තැන්පතු පොලිය 

  #fixeddepositinterestrates #fixeddepositscheme #fixeddeposits
#fixeddepositinterestrates #fixeddepositscheme #fixeddeposits
FIXED DEPOSIT INTEREST RATES IN SRI LANKA 2025  ස්ථාවර තැන්පතු පොලිය | BOC | SAMPATH | COMMERCIAL 

පොලිය ගණනය කරමු = https://youtu.be/-1oGqJQn4iA?si=zJaLVUdJMeDgpuyt

Fixed deposit rates are an essential aspect of banking in Sri Lanka, and they can be a valuable tool for those looking to grow their savings. Whether you're a seasoned investor or just starting out, understanding fixed deposit rates is key to making informed financial decisions.

In this video, we'll cover:
What fixed deposit rates are and how they work
Factors that affect fixed deposit rates in Sri Lanka
Types of fixed deposit accounts available in Sri Lanka
How to compare fixed deposit rates from different banks
Tips for maximizing your returns with fixed deposit accounts
And much more!

If you're interested in learning more about fixed deposit rates in Sri Lanka, be sure to watch this video until the end. And don't forget to like and subscribe to our channel for more informative content on personal finance in Sri Lanka!

#fixed #fixeddepositinterestrates 
 #bocbankfdrates #bocbank  #fdratesinsrilanka2024 #fixeddepositscheme #fixeddeposits",https://www.youtube.com/watch?v=jtk888FUX2M,84,10050,3,2025-02-28T00:30:33Z,"#fixeddepositinterestrates, #fixeddepositscheme, #fixeddeposits, #fixeddepositinterestrates, #fixeddepositscheme, #fixeddeposits, #fixed, #fixeddepositinterestrates, #bocbankfdrates, #bocbank, #fdratesinsrilanka2024, #fixeddepositscheme, #fixeddeposits",1
LwnwrqiujYw,Sampath Bank,D O P- Priyantha Malawige,https://www.youtube.com/watch?v=LwnwrqiujYw,1,141,0,2017-06-25T04:00:04Z,,1
jBFEYkMsGAM,Sampath Bank Sri Lanka - World Finance Banking Awards - Dentsu Grants TVC,"Sampath Bank was recognized as Sri Lanka’s ‘Best Retail Bank’ and ‘Best Commercial Bank’ for the 5th consecutive year, at the prestigious World Finance Banking Awards awarded by UK based World Finance magazine. Continuing to win accolades both within the island and around the world, the Bank has reigned supreme at this forum, bringing home the two awards, consistently, ever since 2014.",https://www.youtube.com/watch?v=jBFEYkMsGAM,4,637,0,2018-08-13T09:12:39Z,,1
T0q7oiTHDSM,Sampath Bank Internship 2025 #shorts,"job vacancy 2025 | Job Vacancies For 2025 | Private Bank Trainee Jobs For School Leavers 2025 | Sampath Bank Trainee Staff Assistant Job Application 2025 | Internship 2025



#SampathBank #TraineeStaffAssistant #JobForschoolleavers #recruitment  #schoolleaver #bankjobs #jobguidesrilanka  #jobsinsrilanka #jobssearch #privatejobs #undergraduates #shorts s",https://www.youtube.com/watch?v=T0q7oiTHDSM,4,481,0,2025-05-17T14:02:16Z,"#SampathBank, #TraineeStaffAssistant, #JobForschoolleavers, #recruitment, #schoolleaver, #bankjobs, #jobguidesrilanka, #jobsinsrilanka, #jobssearch, #privatejobs, #undergraduates, #shorts",1
jk4k5ik_qoI,🇱🇰අලුත් වුණු Sampath commercial bank වල Fixed deposit rates in sri lanka |money market rates 2025,"Sinhala explora 💥

This video made for inform new money markey account interest rates for you in sampath bank and commercial bank 2025..

After watching this video you can open a money market account or fixed deposit account 2025..

If you want to know latest fixed deposit fd rates in sri lanka subcribe us 🔔

#fdratesinsrilanka2025 #sampathbankfdrates #sampathbank #moneymarketaccount #commercialbankfdrates #commercialbank #fixeddepositinterestrates 

Thanks all 💥",https://www.youtube.com/watch?v=jk4k5ik_qoI,268,24064,58,2025-02-26T14:05:01Z,"#fdratesinsrilanka2025, #sampathbankfdrates, #sampathbank, #moneymarketaccount, #commercialbankfdrates, #commercialbank, #fixeddepositinterestrates",1
WwtwRQqKkWo,Sampath Bank New Year Wish | අලුත්වන අලුත් අවුරුද්දකින්  ඔබේ හෙට දින එළිය වේවා!,"අදහස්...
අරමුණු...
අධිෂ්ඨාන... 
අලුත්වන අලුත් අවුරුද්දකින් 
ඔබේ හෙට දින එළිය වේවා!",https://www.youtube.com/watch?v=WwtwRQqKkWo,7,324,N/A,2019-04-13T03:30:00Z,,1
