video_id,title,description,url,likes,views,comment_count,published_at,hashtags,keyword_hits
qfNFsVhDPiU,🇱🇰🏦 Trainee Bank Associate Job Vacancies – Hatton National Bank (HNB) Sri Lanka |  Sinhala | 2025,"🏦 Trainee Bank Associate Job Vacancies – Hatton National Bank (HNB) Sri Lanka 🇱🇰 | Apply Now!

📢 Kickstart Your Banking Career Today! Hatton National Bank (HNB) is now accepting applications for the position of Trainee Bank Associate. If you're a young and motivated individual with G.C.E. A/L qualifications, this is your opportunity to join one of Sri Lanka’s top private banks!

🔑 Job Details:
✅ Position: Trainee Bank Associate
✅ Bank: Hatton National Bank (HNB)
✅ Salary: Best in the industry 💰
✅ Age Limit: 18 – 25 years
✅ Minimum Qualification: 3 simple passes in G.C.E. A/L (any stream)
✅ Closing Date: May 14, 2025
✅ Job Type: Full-Time / Entry-Level

💼 Why Join HNB?
✔️ Join a leading private bank with a strong reputation
✔️ Attractive salary package and benefits
✔️ Structured training and career advancement opportunities
✔️ Gain professional banking experience from day one

📩 How to Apply:
Submit your application before May 14, 2025

Visit the HNB Careers Page or follow instructions in the official job post

🌐 For More Information: https://www.hnb.net/about-the-bank/careers

🚀 Apply now and begin your professional journey with HNB – one of Sri Lanka’s most trusted banks!

📢 Join the Conversation:
Connect with us on social media for more tips and updates:

🔔Face book page link :- https://www.facebook.com/profile.php?id=100076366988755
🔔whatsapp channel link :- https://whatsapp.com/channel/0029VaCXqayHAdNSSupVc70M

👍 Don't Forget to Like, Share, and Subscribe for More Valuable Content!

🌟 Welcome to IQ School - IQ ඉස්කෝලේ | Your Guide to Job Opportunities and Professional Courses!

👉 Are you a job seeker looking for the latest job vacancies and tips on how to apply? Or perhaps you're interested in discovering professional courses to boost your qualifications? You've come to the right place! On this channel, we provide comprehensive information and guidance to help you navigate the job market and enhance your career prospects.

📋 What We Offer:

🔍 Job Vacancies: Stay updated with the latest job openings across various sectors in Sri Lanka and internationally. Learn about the application process, eligibility criteria, and important deadlines.
🎓 Professional Courses: Discover a wide range of professional courses that can help you acquire the necessary skills and qualifications to succeed in your career.
📈 Career Advice: Get expert tips on resume writing, interview preparation, and career development to improve your chances of landing your dream job.
🌐 Job Market Insights: Stay informed about current trends and opportunities in the job market to make well-informed career decisions.

🚀 Stay Connected:
Subscribe to our channel and hit the notification bell to never miss an update. Join our community of job seekers and career enthusiasts to share experiences, ask questions, and support each other.",https://www.youtube.com/watch?v=qfNFsVhDPiU,309,17275,44,2025-05-01T13:30:49Z,,1
26a4qG-Ce8o,hnb money transfer online|hnb mobile banking app money transfer|hnb digital banking app sinhala #HNB,"If you like My Channel:🤗

Like 👍 
Share ✔
Comment 📝

SUBSCRIBE for more videos Also click on🔔notification

Thanks for watching...!",https://www.youtube.com/watch?v=26a4qG-Ce8o,254,14737,15,2024-05-31T03:45:04Z,,1
59h8DJJ525g,Hatton National Bank Job Vacancies 2025 | HNB Careers for School Leavers &  freshers in Sri Lanka,"Looking for a job at one of Sri Lanka’s top banks? Hatton National Bank (HNB) has just announced new job vacancies for 2025! Whether you are a school leaver, university graduate, or an experienced professional, this is your chance to join a reputed and well-established financial institution in Sri Lanka.

📌 In this video, we’ll explain:

Available job positions at HNB

Eligibility criteria & qualifications

How to apply online for HNB vacancies

Application deadlines

Tips to get shortlisted

📍 Why HNB?
HNB is one of the most respected banks in Sri Lanka offering great salary packages, career growth, and job security.

Don’t miss this opportunity – apply today and secure your future with Hatton National Bank.

🔗 Watch till the end and share with your friends who are looking for a job in banking.

Link 01 : https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001356754&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp

 Link 02 : https://xpress.jobs/jobs/view/186014/walk-in-interview---secretary-business-support-associate-outsourced-hatton-national-bank-plc


#KKAcademySL #HNBJobs #BankJobs2025",https://www.youtube.com/watch?v=59h8DJJ525g,191,11910,11,2025-05-18T15:39:56Z,"#KKAcademySL, #HNBJobs, #BankJobs2025",1
I63r5hU_x6E,මාස තුනට ලොකු පොළියක් | hnb bank latest fixed deposits interest rates,"🔴 වීඩියෝව අවසන් වනතෙක් නරඹන්න..

🔵 ඔබේ  අදහස් , ගැටලු ඇත්නම් ඒවා comment කරන්න.

Like , Comment & Share the video.

Thank you very much!. ❤️

#hnb #special_fd_rates  #fixeddeposit   #interestrates   #august_2024   #srilanka",https://www.youtube.com/watch?v=I63r5hU_x6E,134,14835,28,2024-08-24T10:22:44Z,"#hnb, #special_fd_rates, #fixeddeposit, #interestrates, #august_2024, #srilanka",1
FhCkWM76b8M,Secure a Brighter Future with HNB Investment Plans,"Secure a brighter future for both you and your little ones with HNB Investment Plans! Choose your monthly installment, set your investment period, and achieve your financial goals - whether it's for your child’s education or your own aspirations. With highly competitive interest rates, we make saving and growing your wealth easier. Because making you happy makes us happy.

Visit https://bit.ly/HNBInvestmentPlans for more information.

#HNBInvestments #FinancialGrowth #HNB",https://www.youtube.com/watch?v=FhCkWM76b8M,52,1042930,N/A,2025-03-05T06:53:01Z,"#HNBInvestments, #FinancialGrowth, #HNB",1
R1V7uEag6aE,HNB ක්‍රෙඩිට් කාඩ් එක පාවිච්චි කරන හරිම ක්‍රමය දැනගන්න,වාසි ගොඩක් තියෙන HNB ක්‍රෙඩිට් කාඩ් එක පාවිච්චි කරන හරිම ක්‍රමය දැනගන්න.,https://www.youtube.com/watch?v=R1V7uEag6aE,8,920,0,2018-04-11T11:52:33Z,,1
Lut2vGQkrwA,SOLO by HNB සාක්කුවටත් ඇප් එකක්,"Save any card, any bank account to pay with SOLO Direct Pay Use Direct Pay for transactions on custom orders (prescriptions, restaurant orders) and pay with just a reference code provided by the vendor. Digital Account Opening Instantly open a savings account from wherever you are with the Digital Account Opening tab on SOLO. Register with a few simple steps. Use the account to transfer, pay through SOLO, and any other banking needs. SOLO Gifts Purchase gift vouchers by selecting a vendor from the list of vendors through the app and send it to anyone on their contact list. The recipient will then scan the QR code at the merchant and redeem the voucher. If the recipient is not on SOLO, they can still redeem the voucher. 60-Day Login The keep-me-logged in the feature will enable you to remain logged to the app for ease of using the app at checkout counters. 4-Digit Pin A unique 4 Digit pin will enable you to make quick payments at checkout counters, as well as whenever you proceed with any transaction. Billers Pay utility and phone bills by linking any savings/current bank account for convenient and hassle-free transactions. Coupons Pay less and enjoy more with Coupons. Purchase coupons easily via the app. Sinhala Geek Show by Chanux Bro.
..
Social Media තුල තමන් සාර්ථක වෙන්නේ කොහොමද මුළ සිට සරලව දැන්ගමු
මෙන්න ලින්ක් එක ➡️ http://tiny.cc/hfaokz
..
Contact me on - chanux@geek.lk
Website : http://ChanuxBro.com
Facebook : http://facebook.com/ChanuxBroPage
Instagram : http://instagram.com/ChanuxBro
Twitter : https://twitter.com/ChanuxBro",https://www.youtube.com/watch?v=Lut2vGQkrwA,3110,82832,397,2021-02-19T16:39:49Z,,1
-XJU01zn3B0,Guverner HNB-a Boris Vujčić najavio smanjenje inflacije na oko dva posto | RTL Danas,"Građanima Hrvatske trebalo bi biti bolje. Odnosno cijene ne bi trebale rasti - procjena je to guvernera HNB-a Borisa Vujčića s kojim je razgovarala Maja Brkljača. Razgovor pogledajte u videu...

Pratite najnovije vijesti na: https://net.hr/danas/rtl-danas

📩 Pretplatite se na naš kanal: https://bit.ly/Subscribe_RTL

Pratite nas i na drugim društvenim mrežama:
Facebook: https://bit.ly/RTLhr_FB
Instagram: https://bit.ly/RTLhr_IG
RTL.hr: https://bit.ly/RTLhr_WEB
Net.hr: https://net.hr/",https://www.youtube.com/watch?v=-XJU01zn3B0,2,430,5,2025-05-22T19:15:00Z,,1
P6FTe3Oyk6Y,🇱🇰HNB බැංකුවේ ස්තාවර තැන්පතු - HNB Bank fixed deposit interest rates |new fd rates in sri lanka 2025,"Sinhala explora 

🔺 This video made for inform HNB Bank latest fd rates in sri lanka 2025🇱🇰

🔺 HNB bank gives fixed deposits from 1 month to 60 months at monthly and maturity..

🔺 Special 2 offeres for 

🔺 09 months and 15 months with minimum deposit amount of 1,000,000 rupees..

#hnbbank #fdratesinsrilanka2025 #fixeddepositinterestrates #fixeddepositrates 

Thanks all💗",https://www.youtube.com/watch?v=P6FTe3Oyk6Y,26,2424,6,2025-04-23T10:00:51Z,"#hnbbank, #fdratesinsrilanka2025, #fixeddepositinterestrates, #fixeddepositrates",1
WAOE1STAsTY,ස්ථාවර හා ඉතුරුම් තැන්පතු පොළිය වැඩි වෙයි | HNB බැංකුවෙන් | latest interest rates in january 2025,"🔴 රුපියල් මිලියන 2 , 3 , 4 , 5 ක තැන්පතු සදහා ලැබෙන ආසන්න පොළී ආදායම් දැනගන්න මෙම ලක්ශ 10 ක් සදහා ලැබෙන පොළී ආදායම 2 , 3 , 4 , 5 න් ගුණ කරන්න.

🔴 වීඩියෝව අවසන් වනතෙක් නරඹන්න..

🔵 ඔබේ  අදහස් , ගැටලු ඇත්නම් ඒවා comment කරන්න.

Like , Comment & Share the video.

Thank you very much!. ❤️


#hnbbank  #savingsaccounts  #special_fd_rates  #fixeddeposit   #interestrates   #srilanka   #allbanks",https://www.youtube.com/watch?v=WAOE1STAsTY,146,15289,14,2025-01-19T09:49:10Z,"#hnbbank, #savingsaccounts, #special_fd_rates, #fixeddeposit, #interestrates, #srilanka, #allbanks",1
