comment,aspect,published_at
Meken wena account ekakta danna berida salli,,2023-10-21T12:22:50Z
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,,2023-10-06T19:44:05Z
Transaction password eka amathaka mm hadagnne kohomda,,2023-09-15T14:44:32Z
1xbet dnn brida,,2023-07-26T06:06:14Z
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,,2023-02-19T12:21:14Z
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,,2023-02-01T04:02:14Z
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,,2022-11-16T16:55:46Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,,2022-08-13T11:52:06Z
Aiye meke dialog home broadband gewanna puluwanda,,2022-07-27T02:15:23Z
Api karana transfer wlt ganak kpnwda..?,,2021-12-30T06:44:57Z
It's excellent,,2021-11-05T08:14:30Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,,2021-09-18T08:08:28Z
5.35 Mona pin tha add karanda one,,2021-09-07T09:03:03Z
Moeny transfer karanna pulivamda,,2021-09-01T01:21:15Z
Wenath bank akakata gewanne kohomada,,2021-08-25T09:26:50Z
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",,2021-08-04T17:03:02Z
Bro me app ekata txt tiyanawadha?,,2021-07-06T16:43:54Z
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.😍❤❤,,2021-06-05T05:37:54Z
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",,2021-05-31T11:01:11Z
2000 like eka magen 😅,,2021-05-29T13:02:19Z
Wena ewata transfer  karanna puluwanda,,2021-05-25T08:53:26Z
Niyamai ..,,2021-05-23T13:23:24Z
Hnb digital app gana krnnko,,2021-04-16T04:46:30Z
Meka app eke pitaratakata wadakaranawada lankawe account ekakata add karoth,,2021-03-26T11:06:15Z
❤❤❤,,2021-03-14T15:02:42Z
M❤️,,2021-03-01T18:27:04Z
Ayye shop ekakata gihilla hariwidiyata phone eken pay karana widiya gana video ekak karanna,,2021-03-01T17:40:04Z
SOLO by HNB 💙,,2021-02-26T08:26:26Z
Chanux aiyee oya phone ekak reset karana eka pilibadawa video ekak karannakooo. Eka 4n ekata hodada nadda kiyalawath danaganna. From android 4n,,2021-02-26T06:53:23Z
සුපිරි ❤,,2021-02-24T17:12:18Z
Hi අයියා,,2021-02-22T15:39:22Z
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. )👍👍👍👍,,2021-02-22T15:03:12Z
❤❤❤❤❤❤,,2021-02-22T13:02:07Z
Aiya me online free fire video ekak  ada havasa danndako please,,2021-02-22T06:00:35Z
