Comment,Aspect,Date,brand,trigger_keywords
Ane 23 i mata. Dammath wadak nathi weida,,2025-05-19T16:39:41Z,Commercial Bank,['commercial bank']
"O/L    maths-A   ,english-C apply krnn puluwanda",,2025-05-19T06:22:06Z,Commercial Bank,['commercial bank']
"sir, campus yanakan internship yanna me link ekenma gihin internship kiyala thiyena thena apply karanna puluwan naada sir?
commercial bank eke internship walata pay karanawada sir?",,2025-05-17T18:34:33Z,Commercial Bank,['commercial bank']
sri meka 2 years da. job eka sthira kara ganna chance ekak nadda meke,,2025-05-17T18:23:58Z,Commercial Bank,['commercial bank']
Meka boc trainee wge ekkd ?,,2025-05-17T16:53:49Z,Commercial Bank,['commercial bank']
english  c thibba nam apply karanna berida,,2025-05-17T14:38:59Z,Commercial Bank,['commercial bank']
Campus enakn yanna mewata apply karanna puluwanda?,,2025-05-17T10:38:00Z,Commercial Bank,['commercial bank']
English wlt C brid,,2025-05-17T09:54:16Z,Commercial Bank,['commercial bank']
Management degree ekakta hondma private university eka mkda ,,2025-05-16T14:38:47Z,Commercial Bank,['commercial bank']
"Sir, Accounting special degree ekak thiyna graduateslata thiyena job vacancies kohomda",,2025-05-16T14:36:50Z,Commercial Bank,['commercial bank']
Sir meke training period eka kochchra kalaykd? ita kalin ain wenkot api apahu gewanna oned,,2025-05-16T08:28:50Z,Commercial Bank,['commercial bank']
"Sir 24 a/l university yanna inna ayata  apply karanna puluwan firms,jobs monawada?",,2025-05-16T06:58:51Z,Commercial Bank,['commercial bank']
Mt a/l english s ekk thinne . ek aul giypu nisa mn Mn spoken english course ekk kra.   Dn Diploma in banking and financial eke fist ek complete kra .. thma result awe na  second ek me year eke krnwa mt apply krnn puluwn d mekat,,2025-05-16T06:34:18Z,Commercial Bank,['commercial bank']
Exame ekak nadda..BoCwala wage,,2025-05-16T06:08:29Z,Commercial Bank,['commercial bank']
Sir mama bba degree karana gaman inne.mata mekata apply karanna barida 24 i. Age wadi aya ethakota ganne mona wage positions da,,2025-05-16T03:37:21Z,Commercial Bank,['commercial bank']
"Tawakalika job nadda bankswala
University patan gannakam karanna puluwan",,2025-05-15T13:54:13Z,Commercial Bank,['commercial bank']
Intern  walata gannawadha,,2025-05-15T13:32:31Z,Commercial Bank,['commercial bank']
Ol wala maths s ekayi english s thiyenne A/ L nam ABC risalt thiyanawa maya applay karanna bahada ,,2025-05-15T13:26:17Z,Commercial Bank,['commercial bank']
"Maths S pass English A pass for O/l
Apply karanna puluwanda ?",,2025-05-15T13:04:13Z,Commercial Bank,['commercial bank']
Aiyee mge ek hadann banee,,2025-05-06T07:40:50Z,Commercial Bank,['commercial bank']
Period eka wadi wena tharamata apita bankuwen hambena gana wadi lamayek hadana ayata mewa godak hodai lamaya hadanna innawann me wage ayojana krama wala MUDAL dann lamayata aurudu 18 weddi thamange deyak  ho usasadyapanayata bawithakaranna puluwan katawath nawenne nathuwa,,2025-05-18T15:22:39Z,Commercial Bank,['commercial bank']
Business ekata dala meka one day hoyanawa.meka moda wedak,,2025-05-17T16:29:48Z,Commercial Bank,['commercial bank']
Mekata danna epa man danatamath dala theyenne  thawama Mata Pollya hadela theyenne rs dayak wade gank wetharai . Dan dala masa hayak wethara wenawa dala .hareyatama deneta watune nath nam no interest. Dana Kota keewe nha. Math Meka cansal karanawa. Mane ac ekak ita wada hodai,,2025-05-17T12:36:02Z,Commercial Bank,['commercial bank']
Mewa boru weda 49000k ganna awurudu dekak balance inna pissuda.laksha 5k yata karala.modayanta Hoda mewa,,2025-05-16T19:14:44Z,Commercial Bank,['commercial bank']
ස්තුතියි,,2025-05-16T18:00:13Z,Commercial Bank,['commercial bank']
Masa 3n poliya ganna puluwanda,,2025-05-07T06:09:36Z,Commercial Bank,['commercial bank']
Bro money market eka gana video ekak ona,,2025-05-19T08:29:07Z,Commercial Bank,['commercial bank']
thanks bro mamge 65 danna hitiye ammo mun,,2025-05-19T10:28:48Z,Commercial Bank,['commercial bank']
"Mageth account Eken laksha 1.5ta wadi gaanak kapuna, thawama labune na , hamoma parissmen",,2025-04-22T09:05:23Z,Commercial Bank,['commercial bank']
සිරා කතාව මුන් මේ විදියට තමයි කරන්නේ,,2025-04-16T12:21:25Z,Commercial Bank,['commercial bank']
A salli lebunada aiye,,2025-04-16T10:34:39Z,Commercial Bank,['commercial bank']
අම්මෝ හොඳ වෙලාවට මේක දැක්කේ,,2025-04-16T06:19:34Z,Commercial Bank,['commercial bank']
