Comment,Aspect,Date
හරිම වටින වීඩියෝ එකක් මල්ලි  Good valuble video. Thank you ,,2025-05-07T16:06:54Z
"pahadili kirima hodai, eth thumnel eke boru danna epa, minissu hamoma ehema vivws ganna boru kalata , oya balanna ehema nokara wensth kramayak use karanna , thank you,",,2025-05-07T13:24:11Z
Apita apa ape salli badu gahanawa,,2025-05-07T11:48:42Z
Ahurudu2kta..danna.bareda,,2025-05-07T11:42:29Z
Nsb එකේ full video එකක් ගෙන්නකො 🫶,,2025-05-23T01:25:17Z
Fd eka dammata passe website eke cancel karnne kohomda,,2025-05-20T20:51:07Z
ස්තුතියි,,2025-05-18T02:11:21Z
15.625 aran monava karannada light bela gevanna puluva ,,2025-05-17T16:16:19Z
ස්තුතියි ඔබට  විඩීයෝ එක අපිට වැදගත්,,2025-05-17T15:39:09Z
කිව්ව ගමන් දාල 🥺,,2025-05-17T14:12:15Z
Mata kathakaranna oni nambar  akak danna,,2025-04-21T06:31:46Z
Kawada wenakn aply krnn puluwanda,,2025-05-22T15:02:50Z
Komd oy application  ek  gnne api complet  krnn,,2025-05-21T09:03:25Z
Man campas out wala inne.degree aka history special .wayasa 29 .awurudu 30 passe rajaye gazzet liyanna barida?,,2025-05-19T17:43:32Z
A/l S 2k thiyenne apply karanna puluwanda,,2025-05-19T08:10:18Z
korona nisa exam kal giya resale enna late una me samaga daruwange wayasath giya. Illana age eka 26 weth kala yuthui,,2025-05-18T12:12:15Z
23 age puluwnd sir,,2025-05-18T06:09:08Z
"Sir meka aurudu 2kda 
Nttn masa 6k da",,2025-05-17T14:59:22Z
2002 december mata apply karnna barida sir .thawma 22,,2025-05-17T10:27:09Z
Sir math hoynwa den godk kl idn campus yn gmn krnn training ekak management training ekak,,2025-05-17T07:42:06Z
Training period eka kochchra kalayakd?,,2025-05-17T04:55:04Z
Anith okkoma සුදුසුකම් තියෙනවා .....english s tiyenne danna ba ned ,,2025-05-17T04:20:09Z
Okt exam akk thiyenawad,,2025-05-17T03:46:04Z
Mn online apply kara trainee staff assistant thanathurata mt campus yanna enakal online apply kr eth kisima msg ekkwth nane,,2025-05-17T03:21:02Z
2002 september ayt apply krnn barida mekata,,2025-05-17T02:58:21Z
Campus yna kenekt aydum krnn puluwanda danta,,2025-05-17T02:26:13Z
මේකෙ exam ඒම නැද්ද,,2025-05-17T02:05:30Z
Bank ekata gihin internship thiyanawada kiyala ahala cv dekak dunnath kamak na needa,,2025-05-17T01:00:09Z
Computer couse ekk karapu girl kenekt rathnapura awatin job ekk hoya gnn beri weida,,2025-05-16T16:38:27Z
Laksha 10ta masekata poliya kiyak wenawada.?,,2024-08-14T11:54:19Z
Fix ekak open krna one gaanakin puluwan  da,,2025-05-15T01:19:15Z
Fd eke recipt eka nathi unoth kohomada hada ganne.,,2025-05-14T15:48:27Z
Rata inna aya kohomada enne,,2025-05-06T14:51:29Z
"Why Darling mechra aduwela thiyenne
Rates?
Ekata ethuvak thiyanawada?",,2025-03-06T02:34:04Z
Meka hamanenne gihin bank ekenma ahapallaako,,2025-03-09T07:36:37Z
Danna poliya,,2025-03-08T11:09:41Z
1000000  f.d  maa sekata ke yak. Ganna. Pulu wan da. ?,,2025-03-01T09:31:59Z
100000k demmoth maseta kiyak wage lebenawada,,2025-03-01T06:38:24Z
කෝ මේ දාලා තියෙන ඒවට රිප්ලයි,,2025-03-01T06:21:02Z
"40,00000/= keeyak lebenawada",,2025-03-01T04:35:27Z
calculator karala danna malli,,2025-03-01T01:21:48Z
Ane  mama deamaauruadaka  koamsal  aeke  mata. Leamuane. Nh poalisiaya ,,2025-02-28T07:56:48Z
Lk 10 k දැම්මොත් poliya masika kiyada.,,2025-02-27T14:47:35Z
Commercial eke 100000 dammoth maseta kiyak hambawenawad poliy,,2025-02-27T14:37:04Z
20laksha  dammoth  fd 5y  maseta kiyak ganna hakide? Ane?,,2025-04-16T17:14:26Z
Malli bank ඔක්කොම ekata videos oni,,2025-03-31T00:26:00Z
Salli ganna video akak nedda,,2025-03-01T09:26:53Z
Sampath bank ATM ithiri kotasuth danna,,2024-09-18T13:35:33Z
"Dan oya vidihiyata neme tikak venas vela e vidihath kiya denna
Sammath bank",,2024-09-11T04:17:25Z
Mata wena kenekta salli danna oni.id no ekai phone nmbr ekai thamage ekda danna oni netthan api salli dna kenageda,,2024-09-03T07:24:20Z
Thanks kiyala denawata,,2024-01-20T07:26:25Z
Ekapara kiyak deposit karanna puluwanda,,2023-12-30T09:59:18Z
එලම...,,2023-12-15T12:20:02Z
Bro okata oya bank eke account ekak oneda,,2023-10-24T10:18:21Z
salli ganna widihath kiyannko man palaweni para karana nisa ahuwe,,2023-09-13T15:14:10Z
ගොඩක් thanks.අයියෙ,,2023-07-04T01:11:40Z
Adinti kad eka denna oni kageda,,2023-03-30T00:38:55Z
I'd eka ape ekada ganna kenageda,,2023-02-24T05:26:23Z
ලන්කාවෙ ඕන තැනක මේවගෙ මැශින්මද තියෙන්නෙ අය්යෙ,,2023-01-20T03:18:59Z
Eka vatinva,,2023-01-18T23:27:17Z
Ayye oke essella ape wistharada denna oni,,2022-12-31T14:57:11Z
Mageca  you're an life saver,,2022-12-12T08:27:42Z
Id number eka aniwarenma denna onida,,2022-05-29T02:46:26Z
5000ta wada aduwen danna barida,,2022-05-29T01:35:47Z
"අයියේ සුපිරියි හොදේ තව විඩියො අරන් එන්න 
ජය වේවා ",,2022-03-06T17:05:47Z
Meken pitarata ginumakata salli yawanna barida,,2025-04-05T10:40:58Z
Mobile  no eka maru karana vidihath video  ekak karannako please,,2025-01-26T17:13:42Z
Yawana account eka save karanna puluwan neda eka daannakooo api nitharama yawana ekak apata save karagaththama yawanna pahasuinee,,2024-12-08T13:56:34Z
Meke otp illan nedda,,2024-07-15T11:53:18Z
Masa 4rata 5k dammoth,,2025-05-04T07:05:31Z
Sir mage O/L english S thiyenne ethkota mn deveni sere aye O/L karoth english vitharak eka ara palaveni sere sahathiket sambnda karata kamak nedd,,2025-05-24T04:20:08Z
"Sir mata o/l English walataw s thiyenne.mata art  2024  A/l B1,C2  english s thiyenawa mata karanna puluwanda",,2025-05-23T10:45:22Z
Sir mt o/l english wltai maths walti C thiynw 2025 A/L  results Art wlin A2i  C1i  genrel english wlt S thiynw sir mt apply krnn puluwnd plzzzzz reply sir 🥺,,2025-05-22T16:15:09Z
ABC a/l tbbama apply krn barida,,2025-05-21T04:26:32Z
"Sir mn Uni UG thama 2nd yr. Meka thiyenne school leaverslt thiyena ek d ,  nthnm permanent job ekat gnn assistant d",,2025-05-20T09:51:13Z
