Comment,Aspect,Date,brand,trigger_keywords
English walata deweni para c ekak tiyen kenekta brida,,2025-05-13T02:39:50Z,Hatton National Bank,['HNB']
Ganu lamaita puluwanda sir,,2025-05-11T07:21:52Z,Hatton National Bank,['HNB']
Sir meka apply krl khmd exam interview thiyenne kiyl danagann puluwnd,,2025-05-10T16:22:06Z,Hatton National Bank,['HNB']
Apply karama interview call karanawada?,,2025-05-08T12:49:55Z,Hatton National Bank,['HNB']
Apply krnne khmd,,2025-05-02T15:19:51Z,Hatton National Bank,['HNB']
ol maths s thiyenne   english B  A/L c 1 s2i apply krnn puluvnda plz reply.....,,2025-05-02T13:58:51Z,Hatton National Bank,['HNB']
Art kre matath hakida aply krnn,,2025-05-02T05:55:49Z,Hatton National Bank,['HNB']
Art krpu ayata puluwnda,,2025-05-02T05:18:15Z,Hatton National Bank,['HNB']
Salary eka mona wage weida ayye?,,2025-05-02T02:15:15Z,Hatton National Bank,['HNB']
Transfer karpu ditels dilet karanne kohomada,,2025-03-23T03:23:21Z,Hatton National Bank,['HNB']
Hnb app eken kiparak dawasata transfer karnna puluwanda,,2025-01-28T06:58:05Z,Hatton National Bank,['HNB']
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,,2025-05-19T05:15:01Z,Hatton National Bank,['HNB']
Marry karapu ayata puluwanda,,2025-05-19T01:21:33Z,Hatton National Bank,['HNB']
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,,2025-05-19T01:03:06Z,Hatton National Bank,['HNB']
Apply link ekak nedda?,,2025-05-19T00:46:52Z,Hatton National Bank,['HNB']
Internship yanna berid 6 months walin ain wenna puluwnd ,,2025-05-18T17:44:26Z,Hatton National Bank,['HNB']
Island wideද?,,2025-05-18T16:25:29Z,Hatton National Bank,['HNB']
H n b pinas nambar akak denna ko,,2025-01-20T05:35:33Z,Hatton National Bank,['HNB']
Ape mudal walata lebena arakshawa kohomada?video ekak danna,,2025-05-11T14:31:37Z,Hatton National Bank,['HNB']
Ahurudu..2kata..dala..masan..poliya..ganna..laksa..39kta..keyada,,2025-04-24T08:49:31Z,Hatton National Bank,['HNB']
අද,,2025-02-27T16:10:27Z,Hatton National Bank,['HNB']
Sishshathweta thegi dennedda oyala  anith bank wala denawa.,,2025-01-31T15:52:19Z,Hatton National Bank,['HNB']
බෙහෙවින්ම ස්තුතියි දැනුවත් කිරීම ගැන ඔබතුමාට ,,2025-01-22T10:07:20Z,Hatton National Bank,['HNB']
"Anay..may..boru danna. Apa..YouTube..akay..saile..hoyanawa 

Borukarayo",,2025-01-20T10:53:26Z,Hatton National Bank,['HNB']
ඔයා කියන දේ කිසිම වැදගත් කමක් නැත.,,2025-01-20T06:54:00Z,Hatton National Bank,['HNB']
Boru baila..mewa balala ape kalaya nasthi wenawa..pissu,,2025-01-19T19:28:38Z,Hatton National Bank,['HNB']
Nickname ekata mokada danne,,2025-01-02T03:59:13Z,Hatton National Bank,['HNB']
ohoma karala Othanadi enter karanna ena coad ekamada api card eka dala salli gannakotath enter karanna ona,,2025-05-17T00:09:11Z,Hatton National Bank,['HNB']
Ethakota bilak 4n ekata enawada,,2025-05-10T01:33:30Z,Hatton National Bank,['HNB']
Bro hnb ek add karapu acc delete karn puluwand,,2025-03-24T08:13:52Z,Hatton National Bank,['HNB']
