comment,aspect,published_at
1xbet dnn brida,,2023-07-26T06:06:14Z
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,,2023-02-19T12:21:14Z
Api karana transfer wlt ganak kpnwda..?,,2021-12-30T06:44:57Z
It's excellent,,2021-11-05T08:14:30Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,,2021-09-18T08:08:28Z
5.35 Mona pin tha add karanda one,,2021-09-07T09:03:03Z
Wenath bank akakata gewanne kohomada,,2021-08-25T09:26:50Z
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.,,2021-06-05T05:37:54Z
2000 like eka magen ,,2021-05-29T13:02:19Z
Niyamai ..,,2021-05-23T13:23:24Z
Hnb digital app gana krnnko,,2021-04-16T04:46:30Z
Meka app eke pitaratakata wadakaranawada lankawe account ekakata add karoth,,2021-03-26T11:06:15Z
M,,2021-03-01T18:27:04Z
සුපිරි ,,2021-02-24T17:12:18Z
Wireless headset ගැන විඩියෝ එකක් කරන්න පුළුවන් ද,,2021-02-24T01:59:37Z
Hi අයියා,,2021-02-22T15:39:22Z
Aiya me online free fire video ekak  ada havasa danndako please,,2021-02-22T06:00:35Z
අයියේ ඔයාට පුලුවන්නම්. පෝන් එකේ ඩිස්පෙලෙ එක ටිවි එකට ගන්න පුලුවන් විදිහේ විඩියෝ එකක් කරන්නකෝ. දැන් තියෙන ඔනම පෝන් එක්කට සෙට් වෙන ඔනම ටීවි එක්කට සෙට් වෙන කේබල් එකක් කියන්න. USB  නැතුව,,2021-02-22T02:27:17Z
ඉංග්‍රීසි මුල සිට ම ඉගෙනගන්න අප හා එක්වන්න,,2021-02-21T18:39:54Z
Anuk de silva ,,2021-02-21T11:53:05Z
අය්යෙ studio tour එකක් දෙන්නකො.studio එකක් හදන්න ideas ගන්න ඕන.,,2021-02-21T11:43:25Z
Niyamai  chanux අයියේ,,2021-02-21T06:28:11Z
download kara use kare na thaa,,2021-02-21T04:37:26Z
Patta app ekk,,2021-02-20T16:20:51Z
පට්ට,,2021-02-20T15:56:33Z
Niyama solo app eka ..ratama kamathi da koheda,,2021-02-20T15:15:47Z
https://youtu.be/UsaRtWsNDt4,,2021-02-20T11:53:53Z
පට්ට!!!,,2021-02-20T11:53:19Z
Ayiye koo gold play botton eka.,,2021-02-20T10:56:33Z
නියමයි,,2021-02-20T09:49:44Z
Pubg ගහන අය like එකක් දාලා ID එක දීලා යන්න කෝ,,2021-02-20T09:39:24Z
super ,,2021-02-20T09:08:57Z
heart එකක් දැන්වත් pls දාන්නko chanux aiye,,2021-02-20T08:39:24Z
2021 අලුත්ම සින්දුව මෙන්න https://youtu.be/ZrjhfHH0hzg,,2021-02-20T07:55:44Z
අනේ  DJI  Mavic mini 2  ගැන  unboxing  එකක්  ගේන්න්කෝ,,2021-02-20T07:36:21Z
Uba video okama balatiyanawa asawatama habai oya unboks karana okama tackgajate mata hinayake vitharai aiya,,2021-02-20T07:36:16Z
UnBOXING video ekak one plz,,2021-02-20T07:34:45Z
Enne kohomada,,2021-02-20T06:37:07Z
Aiiye phone ekata software update ewanne kohenda,,2021-02-20T06:36:51Z
Keep it up superb chanux අයියේ,,2021-02-20T05:49:05Z
මම මේක භාවිතා කරනවා ගොඩක් හොඳයි .,,2021-02-20T05:42:53Z
එල කොල්ලෝ ,,2021-02-20T05:08:51Z
9  \c,,2021-02-20T04:43:42Z
"නියමයි,ගොඩාක් වටිනවා.",,2021-02-20T04:23:35Z
අදත් ආවා,,2021-02-20T03:48:36Z
https://youtube.com/channel/UCzLCgksSQHNw_bShWMdBxzA,,2021-02-20T03:41:02Z
ane aiye GTA 5  game play one,,2021-02-20T03:20:05Z
සබ්ස්ක්රය්බ්  1000   ගන්න  විදිය   දාන්න   වීඩියෝ 1  ඕනි,,2021-02-20T03:19:35Z
එක වැදගත් නෑ මගේ වයස අවුරුදු දාහතරයි,,2021-02-20T03:13:44Z
Diposhit puluwn dd..,,2021-02-20T03:06:11Z
Ayye huawei y7A phone eka ganath one,,2021-02-20T02:57:37Z
