comment,aspect,published_at
Colombo  branch no eka gannna puluwan da,,2024-03-14T04:28:49Z
Diposit walata goverment tax wadina widihath q wanam watinawa,,2022-09-19T16:16:20Z
Hnb finance eka gana mokada hithenne me dakath ekka baladdi,,2020-08-06T10:06:14Z
❤️❤️❤️,,2020-08-06T09:35:30Z
Like it.,,2020-08-04T11:04:12Z
Watching,,2020-08-01T21:41:32Z
Maths fail kenekta apply krnn barida ol English B pass ekak thiyena kenk ta😢,,2023-04-08T14:31:37Z
https://elearning.hnb.lk/careers/Account/Register,,2022-07-20T04:39:12Z
I like,,2023-01-22T20:36:01Z
Mn commers kare c3 i...dan apply karanna barida,,2022-12-04T03:21:11Z
details plz,,2022-11-22T14:16:15Z
"අනේ අයියේ මේකේ දින ඉවරද? මන්  O/L විතරයි කෙරේ, resalt eka 8/5i, English නම් ""W"".. සිංහල වලට  ""B"".. දෙමළ ලියන්න, කියවන්න පුළුවන්. ක්‍රීඩා වලින් චැම්පියන් හිටන් තියනවා.කණ්ඩායම් තරග වලත් සහතික තියෙනවා.,, සෞන්දර්ය වලින් පලාත් සහතික ඒමත් තියෙනවා. Computer cos ekakuth karanawa me mase exam eka eke thiyenawa ... Mt wayasa 23. Plzz aiye reply ekak. Ewanna bs .",,2022-11-04T09:25:32Z
Closing date kwdd,,2022-10-25T14:53:24Z
Den mekata apply krnna beida,,2022-10-14T11:29:02Z
Wariyapola hari Kurunegala hari vacancy thiyenawada.Apply krnne kohomada Online register una.,,2022-10-11T05:33:13Z
closing date kawadda,,2022-10-08T13:53:40Z
Maths English feil ayata mnawath nadda karanna,,2022-10-06T10:58:27Z
Closing date kawadada?,,2022-10-06T07:10:19Z
Mata apliceshan eka ona kohomada gnne,,2022-10-05T02:32:18Z
Kandy wala tynwda kiynko,,2022-10-02T04:48:20Z
Closing Date Ehm Kwadd,,2022-09-29T17:41:25Z
Mekata Apply Krnn Tynne Khomada Kiyala Kiyann Pluwand,,2022-09-29T17:39:37Z
Meh mn apply karanna danna please help karanna puluwan da? Details Dana ganna one mata?,,2022-09-16T15:52:39Z
Applications fil krt passe fil kra kiyl mg ekk lbenwd,,2022-09-11T06:13:50Z
Mawanella vacancy nadda,,2022-09-10T06:48:39Z
"Computer, English ටික හොඳට හදාගන්න පුළුවන් තැනක් කියන්න පුළුවන් ද? Mahiyanganayata කිට්ටුව. (Gov)",,2022-09-03T22:12:21Z
Apply krnne kohomd,,2022-09-03T14:42:29Z
Hettipola hri wariyapola hari vacancy tiyeid,,2022-09-03T14:09:13Z
Mawanella thiyanavad,,2022-09-02T12:53:25Z
meke job role eka mokkd .apply krana eka,,2022-08-22T16:07:17Z
Ayye age 26 ta puluwanda HNDIT out wela inne..puluwan weida apply krnn,,2022-08-18T09:13:52Z
Vauvniya wala thynwd,,2022-08-15T14:19:32Z
Mewata interview krnne ne neda gniddi,,2022-08-14T18:18:57Z
Galle vacancies thiyada,,2022-08-14T12:40:29Z
A l oni nadda thamath apply karanna puluwanda,,2022-08-13T12:53:45Z
Kohedha thiyanne me work eka,,2022-08-12T03:13:09Z
Kohomada register wenne,,2022-08-11T09:50:02Z
kohomd apply karanna ona,,2022-08-11T08:29:43Z
Mekt giya man.2 years wlta agreement sign krn ona.25000 salary eka.temporary gnne.,,2022-08-10T13:54:28Z
Job vacancies PUTTALAM BRANCH VALE NEDDA,,2022-08-10T12:54:38Z
ICT NVQ 03 වලින් යන්න බැරිද,,2022-08-10T10:57:57Z
Ko link eka,,2022-08-10T10:28:28Z
