Comment,Aspect,Date
o/l english walata  first shy ekee  c pass ekak thiyenneh habi deweni sare b pass ekak thiyanawa. mata commercia bank ekata apply karanna puluwanda,,2025-05-21T17:46:15Z
sir 1 shyma o/l English A OR B balanawada mata o/l English 2 shy English B thiyenawa .mata apply karanna puluwanda,,2025-05-20T15:49:01Z
Ane 23 i mata. Dammath wadak nathi weida,,2025-05-19T16:39:41Z
"O/L    maths-A   ,english-C apply krnn puluwanda",,2025-05-19T06:22:06Z
"sir, campus yanakan internship yanna me link ekenma gihin internship kiyala thiyena thena apply karanna puluwan naada sir?
commercial bank eke internship walata pay karanawada sir?",,2025-05-17T18:34:33Z
sri meka 2 years da. job eka sthira kara ganna chance ekak nadda meke,,2025-05-17T18:23:58Z
Meka boc trainee wge ekkd ?,,2025-05-17T16:53:49Z
english  c thibba nam apply karanna berida,,2025-05-17T14:38:59Z
Campus enakn yanna mewata apply karanna puluwanda?,,2025-05-17T10:38:00Z
Management degree ekakta hondma private university eka mkda ,,2025-05-16T14:38:47Z
"Sir, Accounting special degree ekak thiyna graduateslata thiyena job vacancies kohomda",,2025-05-16T14:36:50Z
Sir meke training period eka kochchra kalaykd? ita kalin ain wenkot api apahu gewanna oned,,2025-05-16T08:28:50Z
"Sir 24 a/l university yanna inna ayata  apply karanna puluwan firms,jobs monawada?",,2025-05-16T06:58:51Z
Salary ek mona wageda kiynnko,,2025-05-16T06:36:03Z
Mt a/l english s ekk thinne . ek aul giypu nisa mn Mn spoken english course ekk kra.   Dn Diploma in banking and financial eke fist ek complete kra .. thma result awe na  second ek me year eke krnwa mt apply krnn puluwn d mekat,,2025-05-16T06:34:18Z
Exame ekak nadda..BoCwala wage,,2025-05-16T06:08:29Z
Sir mama bba degree karana gaman inne.mata mekata apply karanna barida 24 i. Age wadi aya ethakota ganne mona wage positions da,,2025-05-16T03:37:21Z
O/L pass ayat tiyna job gana video ekk gennko english fail ayt,,2025-05-15T17:05:15Z
Thnkx mehem vidios dnwt,,2025-05-15T14:56:23Z
"Tawakalika job nadda bankswala
University patan gannakam karanna puluwan",,2025-05-15T13:54:13Z
Ol wala maths s ekayi english s thiyenne A/ L nam ABC risalt thiyanawa maya applay karanna bahada ,,2025-05-15T13:26:17Z
"Maths S pass English A pass for O/l
Apply karanna puluwanda ?",,2025-05-15T13:04:13Z
Aiyee mge ek hadann banee,,2025-05-06T07:40:50Z
Mage username and password mathaka na mk karanne,,2025-03-27T13:20:24Z
Mobile app eken puluwanda meka karanna,,2025-03-14T07:04:23Z
ටර්න්ෆර් පේමන්ට් කියලා එකක් පෙන්නනේ නෑනේ,,2024-05-29T16:07:04Z
කස්ටම් එකට කතා කරන්න කියන්නේ .මගෙ baranh eke d,,2024-05-20T04:12:08Z
Translation pananay na,,2023-02-23T06:47:50Z
Nrfc gana ekak Danna,,2025-05-23T01:51:47Z
"haha, patta investmant mewa,",,2025-05-21T06:45:05Z
Padui,,2025-05-19T03:43:50Z
Good ,,2025-05-18T18:10:38Z
Period eka wadi wena tharamata apita bankuwen hambena gana wadi lamayek hadana ayata mewa godak hodai lamaya hadanna innawann me wage ayojana krama wala MUDAL dann lamayata aurudu 18 weddi thamange deyak  ho usasadyapanayata bawithakaranna puluwan katawath nawenne nathuwa,,2025-05-18T15:22:39Z
Business ekata dala meka one day hoyanawa.meka moda wedak,,2025-05-17T16:29:48Z
Mekata danna epa man danatamath dala theyenne  thawama Mata Pollya hadela theyenne rs dayak wade gank wetharai . Dan dala masa hayak wethara wenawa dala .hareyatama deneta watune nath nam no interest. Dana Kota keewe nha. Math Meka cansal karanawa. Mane ac ekak ita wada hodai,,2025-05-17T12:36:02Z
Mewa boru weda 49000k ganna awurudu dekak balance inna pissuda.laksha 5k yata karala.modayanta Hoda mewa,,2025-05-16T19:14:44Z
11%,,2025-05-16T18:27:16Z
ස්තුතියි,,2025-05-16T18:00:13Z
Aiyo sami,,2025-05-16T07:22:12Z
Good vidio,,2025-05-16T07:17:55Z
Mala vikara,,2025-05-16T05:15:47Z
Bro money market eka gana video ekak ona,,2025-05-19T08:29:07Z
50000 daanawaanm kohomada,,2025-05-19T06:40:42Z
Lak 5o k danwwa poliya kohomada,,2025-05-19T00:42:12Z
lakashayak aurudu 1 avasanata poliya kiyada,,2025-05-18T13:42:10Z
Masa 3n poliya ganna puluwanda,,2025-05-07T06:09:36Z
Poliya hodatama adui naeda mokada salli gedara thiyan innawa hodai.,,2024-11-28T11:45:50Z
පට්ට්ම  හොරු,,2024-11-25T05:12:03Z
laksha 20 dala dina 100 kalpirimedi kiyak lebenawada,,2024-10-01T17:24:30Z
Sampath mony market account ekatath 7% denawa salli gannath puluwan dannath puluwan ,,2024-07-23T18:36:18Z
අනේ සිරිසේන,,2024-07-16T11:32:00Z
Hemadama oya Pacha kata keyana EPA halo avurudak antemata poliya gannakam ape  etek kanne ohelage etad..da,,2024-07-16T08:52:27Z
"අටපට්ටම ට කියන්න,",,2024-07-16T04:03:59Z
මේ බොරු වලට අහුවෙන්න් එපා,,2024-07-15T10:13:28Z
Ane hena hora wada tiyenne,,2024-07-14T15:11:44Z
Gonna,,2024-07-13T14:52:57Z
"We report,  You decide",,2024-07-13T08:41:54Z
Gahaganin thoge kapuke. Para balla,,2024-07-13T04:09:13Z
ඔය මොන පොලියක්ද?,,2024-07-12T03:16:40Z
"Oka ithin wenas deyak neweine masa 3ta denneth 7%i.... Dina 100ta muladi geuwa 14%k....eyalata mudall lebenawa wedi kiyala eka 11ta adu kara, den 7i",,2024-07-11T12:57:01Z
Redda game poliyata denawa,,2024-07-11T09:39:54Z
ප්ප්ප්ප්ප්ප්ප්ප්,,2024-07-10T22:11:33Z
Laksasa 5 ta dena 200 ta poliya kiyada,,2024-07-10T08:30:16Z
Meka hamanenne gihin bank ekenma ahapallaako,,2025-03-09T07:36:37Z
Danna poliya,,2025-03-08T11:09:41Z
100000 poliya kiyada maseda,,2025-03-03T08:31:57Z
Laksa 5ta.masyata poleya keyada,,2025-03-01T12:14:17Z
100000  poliya maseta kiyada,,2025-03-01T11:55:30Z
1000000  f.d  maa sekata ke yak. Ganna. Pulu wan da. ?,,2025-03-01T09:31:59Z
100000k demmoth maseta kiyak wage lebenawada,,2025-03-01T06:38:24Z
කෝ මේ දාලා තියෙන ඒවට රිප්ලයි,,2025-03-01T06:21:02Z
"40,00000/= keeyak lebenawada",,2025-03-01T04:35:27Z
calculator karala danna malli,,2025-03-01T01:21:48Z
Sampath maney market laksha 5 ta maseta poliya kiyada,,2025-02-28T13:50:14Z
Ane  mama deamaauruadaka  koamsal  aeke  mata. Leamuane. Nh poalisiaya ,,2025-02-28T07:56:48Z
500000  masika poliya kiyada,,2025-02-27T15:31:35Z
Lk 10 k දැම්මොත් poliya masika kiyada.,,2025-02-27T14:47:35Z
Commercial eke 100000 dammoth maseta kiyak hambawenawad poliy,,2025-02-27T14:37:04Z
5 million,,2025-02-27T12:41:45Z
15.00000 kiya da,,2025-02-26T22:30:04Z
5000000,,2025-02-26T15:47:53Z
"500,000 kiyada",,2025-02-26T15:29:52Z
Malli man kuwet inne mata coddeka awe nane mehe nisa wenna ati neda,,2024-11-21T11:16:58Z
Phone number eka dn nettan mokuth Karanna barida,,2024-10-31T10:44:05Z
Tanx bro,,2024-09-27T05:06:15Z
Mage account eken rupiyal 5 gaane kepenawa,,2024-09-19T11:46:16Z
Meka hadagatthama 5 gaane kepenawani,,2024-09-19T11:45:33Z
Bro mata kiyanna puluwanda rata inna kenek kohomada online transer eka hada ganne kiyala,,2024-05-25T08:36:13Z
Mage athin e sim eka nathi una ehama unoth hadaganna barida,,2023-09-30T08:49:58Z
Tanx අයියෙ දන්නැති දෙයක් කියලා දෙනවට ඵල ,,2023-07-28T18:32:28Z
Anee e dila tiyena namber Eka Laga nanee,,2023-07-02T03:26:59Z
4n namber aka aulth akk tiyadi mokada karna,,2023-05-01T14:17:58Z
Account eka hadaddi thibun number eka  nathinam,,2023-04-03T15:44:32Z
mama haduwe dotcom card ekak ethakota mama id ekata mokadda gahanne,,2023-02-03T12:27:18Z
Phone number aka wenas karaganne kohomada,,2023-02-03T08:11:46Z
වෙන කෙනෙක් salli dammahama අපිට messege ekak ena widiyat hadaganne kohomad,,2022-08-11T08:28:12Z
Mata app eka hadaganna baruwa hitiye.kiyala dunnata bohoma isthuthii.godak pin,,2022-06-27T05:37:42Z
Thnks aiye godak watina video ekak,,2022-04-05T03:25:13Z
Mata denaganna one me app eken mage phone eken Ara wena phone ekakin log wela ganudenu karanna puluwan da,,2022-04-03T12:43:13Z
Mage parana ekaut akakuth thiyanwa,,2022-03-26T23:43:08Z
Something went wrong kiyala enawane,,2022-03-03T15:51:18Z
Mekata salli kapenawada,,2022-02-11T03:33:56Z
Meken apita salli tanser karanna barida,,2021-12-29T08:31:51Z
Machn uba ගනුදෙනු kiyana wachane theruma danawada,,2021-12-22T12:43:21Z
Italia inna kenek kohomada hadanne,,2021-12-08T17:31:12Z
Mage app eka notification pennana na ne,,2021-11-18T04:21:35Z
Mekata maasikava gaadthuwak aya karanawadha??,,2021-11-16T09:41:08Z
nice,,2021-11-15T17:32:46Z
App eka da gaththama kiyak kapenwada,,2021-10-25T12:36:52Z
Meken musal transfer krnne komda,,2021-09-26T09:28:11Z
Overseas inna kenekta kohomada meka accept karaganne.. lanakwe no ekakmada danna ona code eka gennaganna. Wena widiyak nedda kiyanna puluwan da? Thx,,2021-09-19T19:12:53Z
Cod ekak denne na ne,,2021-09-17T17:26:59Z
Ginuma hada ganna deepu number eka natnam mokada karanne?,,2021-09-17T06:37:38Z
Card eka nathan app eka pawichchi kranna pluwanda,,2021-09-15T17:43:10Z
Thank you aiya,,2021-09-08T18:37:58Z
Hari giye nane,,2021-09-08T10:39:11Z
Account name eka apita balaganna krmyk ndda,,2021-09-01T12:12:14Z
Aiyye parana number ekata adala tiyenne aluthen adanavanam khomada adaganne e SIM eka api kadava Dan aluth number ekata adaganne khomada,,2021-08-28T07:49:41Z
thanks aiya.,,2021-07-21T16:55:15Z
Cod ak enn nh no akt msg akak,,2021-07-19T13:01:12Z
4n num eka unvalied kihka wetenwane,,2021-07-16T13:38:50Z
Ane enne nane,,2021-06-11T19:37:54Z
4n namber  eka amathakainam barida,,2021-06-10T07:25:50Z
Mahajana bankuwe app aka ganath video akak karannako...,,2021-06-07T15:18:32Z
Puluwnnm kiynn,,2021-06-01T08:23:21Z
Aiye meke ginum sheshaya ganipu ewa delet krnn brid,,2021-06-01T08:23:12Z
Meka hadnkota account aken kiyak kapenvd,,2021-05-29T04:56:35Z
Airtel number walata wada karanne nadda,,2021-05-24T14:15:19Z
mchan meke ar number eka nattm mokad karanne,,2021-05-21T05:21:28Z
Ela ela pare oi,,2021-05-01T17:30:01Z
Mage banku pothe name eka akurak varadi eeka hadaaganna puluwanda. Mata vayasa 18 ta adui,,2021-04-12T03:31:05Z
Aiye access code ek enne nane 4n ekt,,2021-04-10T13:13:30Z
Atthada bankuvala enne maha meharakne,,2021-03-29T15:26:41Z
Meken mudal ganudenu krnna puluwnda?,,2021-03-08T17:00:15Z
Api blnce ehma check krddi salli weya vimak wenwda,,2021-02-14T12:56:20Z
Apps kiyak thiyena wada,,2021-02-13T19:12:01Z
