Comment,Aspect,Date
Ane 23 i mata. Dammath wadak nathi weida,,2025-05-19T16:39:41Z
"O/L    maths-A   ,english-C apply krnn puluwanda",,2025-05-19T06:22:06Z
Meka boc trainee wge ekkd ?,,2025-05-17T16:53:49Z
Management degree ekakta hondma private university eka mkda ,,2025-05-16T14:38:47Z
"Sir, Accounting special degree ekak thiyna graduateslata thiyena job vacancies kohomda",,2025-05-16T14:36:50Z
Mt a/l english s ekk thinne . ek aul giypu nisa mn Mn spoken english course ekk kra.   Dn Diploma in banking and financial eke fist ek complete kra .. thma result awe na  second ek me year eke krnwa mt apply krnn puluwn d mekat,,2025-05-16T06:34:18Z
Exame ekak nadda..BoCwala wage,,2025-05-16T06:08:29Z
Aiyee mge ek hadann banee,,2025-05-06T07:40:50Z
ටර්න්ෆර් පේමන්ට් කියලා එකක් පෙන්නනේ නෑනේ,,2024-05-29T16:07:04Z
කස්ටම් එකට කතා කරන්න කියන්නේ .මගෙ baranh eke d,,2024-05-20T04:12:08Z
Business ekata dala meka one day hoyanawa.meka moda wedak,,2025-05-17T16:29:48Z
11%,,2025-05-16T18:27:16Z
ස්තුතියි,,2025-05-16T18:00:13Z
Bro money market eka gana video ekak ona,,2025-05-19T08:29:07Z
Poliya hodatama adui naeda mokada salli gedara thiyan innawa hodai.,,2024-11-28T11:45:50Z
පට්ට්ම  හොරු,,2024-11-25T05:12:03Z
අනේ සිරිසේන,,2024-07-16T11:32:00Z
"අටපට්ටම ට කියන්න,",,2024-07-16T04:03:59Z
මේ බොරු වලට අහුවෙන්න් එපා,,2024-07-15T10:13:28Z
ඔය මොන පොලියක්ද?,,2024-07-12T03:16:40Z
"Oka ithin wenas deyak neweine masa 3ta denneth 7%i.... Dina 100ta muladi geuwa 14%k....eyalata mudall lebenawa wedi kiyala eka 11ta adu kara, den 7i",,2024-07-11T12:57:01Z
ප්ප්ප්ප්ප්ප්ප්ප්,,2024-07-10T22:11:33Z
Meka hamanenne gihin bank ekenma ahapallaako,,2025-03-09T07:36:37Z
කෝ මේ දාලා තියෙන ඒවට රිප්ලයි,,2025-03-01T06:21:02Z
Ane  mama deamaauruadaka  koamsal  aeke  mata. Leamuane. Nh poalisiaya ,,2025-02-28T07:56:48Z
Lk 10 k දැම්මොත් poliya masika kiyada.,,2025-02-27T14:47:35Z
5000000,,2025-02-26T15:47:53Z
Meka hadagatthama 5 gaane kepenawani,,2024-09-19T11:45:33Z
Tanx අයියෙ දන්නැති දෙයක් කියලා දෙනවට ඵල ,,2023-07-28T18:32:28Z
Anee e dila tiyena namber Eka Laga nanee,,2023-07-02T03:26:59Z
Account eka hadaddi thibun number eka  nathinam,,2023-04-03T15:44:32Z
mama haduwe dotcom card ekak ethakota mama id ekata mokadda gahanne,,2023-02-03T12:27:18Z
වෙන කෙනෙක් salli dammahama අපිට messege ekak ena widiyat hadaganne kohomad,,2022-08-11T08:28:12Z
Thnks aiye godak watina video ekak,,2022-04-05T03:25:13Z
Mage parana ekaut akakuth thiyanwa,,2022-03-26T23:43:08Z
Mekata salli kapenawada,,2022-02-11T03:33:56Z
Machn uba ගනුදෙනු kiyana wachane theruma danawada,,2021-12-22T12:43:21Z
Mekata maasikava gaadthuwak aya karanawadha??,,2021-11-16T09:41:08Z
App eka da gaththama kiyak kapenwada,,2021-10-25T12:36:52Z
Meken musal transfer krnne komda,,2021-09-26T09:28:11Z
Cod ekak denne na ne,,2021-09-17T17:26:59Z
Thank you aiya,,2021-09-08T18:37:58Z
Aiyye parana number ekata adala tiyenne aluthen adanavanam khomada adaganne e SIM eka api kadava Dan aluth number ekata adaganne khomada,,2021-08-28T07:49:41Z
thanks aiya.,,2021-07-21T16:55:15Z
4n num eka unvalied kihka wetenwane,,2021-07-16T13:38:50Z
4n namber  eka amathakainam barida,,2021-06-10T07:25:50Z
Aiye meke ginum sheshaya ganipu ewa delet krnn brid,,2021-06-01T08:23:12Z
Meka hadnkota account aken kiyak kapenvd,,2021-05-29T04:56:35Z
mchan meke ar number eka nattm mokad karanne,,2021-05-21T05:21:28Z
Meken mudal ganudenu krnna puluwnda?,,2021-03-08T17:00:15Z
Api blnce ehma check krddi salli weya vimak wenwda,,2021-02-14T12:56:20Z
Access cord eka kohomada ganne,,2021-02-03T17:59:39Z
Teliphone no eka unvalid kiyalane enne mona no dunnth ehmai enne.,,2021-01-22T12:55:11Z
"Phone nu. Eka wenasnan kohomada karanne,acc. Eka open krddi dipu nu. Eka wenasnan,",,2020-12-28T14:02:45Z
6.75%,,2024-08-03T18:14:04Z
කොයි තරම් කලයක් තියන්න ඔනේද,,2024-06-19T08:55:06Z
Sampath  එකේ නැද්ද ඕක,,2023-09-04T07:59:18Z
YOU CUT DOWN THE CREATORS TREES TO MAKE YOUR FAKE MONEY THEN HAVE THE AUDACITY TO THINK THAT YOU RULE THE WORLD  DELUSIONAL IS WHAT YOU ARE ..ASE HEKA AMEN RA AHO MOORE NATION GRAND RISING KARMA REST IN PEACE 🪦,,2025-01-25T18:02:28Z
Niyamai aiya,,2023-01-16T10:28:25Z
""" හිතල තිබ්බෙ නෑ මල්ලී, ඌ මැරුනද? "" පොලීසියට පුලුවන්ද මේ විදිහට පාරෙ අය අහිංසකයොන්ට වෙඩිතියන්න - https://youtu.be/KFnO5DfBv_E",,2024-01-19T02:37:15Z
සිරා කතාව මුන් මේ විදියට තමයි කරන්නේ,,2025-04-16T12:21:25Z
A salli lebunada aiye,,2025-04-16T10:34:39Z
අම්මෝ හොඳ වෙලාවට මේක දැක්කේ,,2025-04-16T06:19:34Z
2023 වුනත් නොදන්න අය මේක බලලා Update වෙලා ඉන්න එක හොඳයි..,,2025-04-15T03:20:09Z
සුපිරි bro,,2025-04-14T21:23:20Z
ඇත්ත මට දෙපාරක්ම උනා,,2025-04-14T14:05:13Z
Ammmooooo me mona Aparadayakda? Rupiyalak nathe wunath a de thange duk mahansi salline... pau deiyanedipiyaw yakoo bslu wada nokara,,2025-04-14T13:36:57Z
