Comment,Aspect,Date,brand,trigger_keywords
English walata deweni para c ekak tiyen kenekta brida,,2025-05-13T02:39:50Z,Hatton National Bank,['HNB']
Ganu lamaita puluwanda sir,,2025-05-11T07:21:52Z,Hatton National Bank,['HNB']
Sir meka apply krl khmd exam interview thiyenne kiyl danagann puluwnd,,2025-05-10T16:22:06Z,Hatton National Bank,['HNB']
Apply karama interview call karanawada?,,2025-05-08T12:49:55Z,Hatton National Bank,['HNB']
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,,2025-05-19T05:15:01Z,Hatton National Bank,['HNB']
Marry karapu ayata puluwanda,,2025-05-19T01:21:33Z,Hatton National Bank,['HNB']
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,,2025-05-19T01:03:06Z,Hatton National Bank,['HNB']
Apply link ekak nedda?,,2025-05-19T00:46:52Z,Hatton National Bank,['HNB']
Internship yanna berid 6 months walin ain wenna puluwnd ,,2025-05-18T17:44:26Z,Hatton National Bank,['HNB']
Island wideද?,,2025-05-18T16:25:29Z,Hatton National Bank,['HNB']
Ape mudal walata lebena arakshawa kohomada?video ekak danna,,2025-05-11T14:31:37Z,Hatton National Bank,['HNB']
ohoma karala Othanadi enter karanna ena coad ekamada api card eka dala salli gannakotath enter karanna ona,,2025-05-17T00:09:11Z,Hatton National Bank,['HNB']
Ethakota bilak 4n ekata enawada,,2025-05-10T01:33:30Z,Hatton National Bank,['HNB']
