Comment,Aspect,Date
Mobile app works smoothly and has a clean interface.,Customer Support,2023-03-30T16:13:00Z
Customer support was quick and professional.,Loans and Credit Services,2023-09-11T16:33:00Z
Loan approval process was simple and fast.,Customer Support,2022-11-25T03:00:00Z
I get instant alerts for every transaction.,Transactions and Payments,2023-10-23T17:58:00Z
App security features like OTP are reassuring.,Customer Support,2024-03-01T02:08:00Z
Very helpful staff at the branch when I had questions.,Digital Banking Experience,2023-06-29T14:15:00Z
Depositing cheques via app is easy and reliable.,Loans and Credit Services,2022-09-05T18:06:00Z
Got my credit card limit increased without hassle.,Loans and Credit Services,2023-09-22T22:15:00Z
Chatbot helped me find answers quickly.,Transactions and Payments,2024-05-28T17:45:00Z
Fingerprint login is fast and secure.,Digital Banking Experience,2022-05-01T20:00:00Z
App sometimes freezes during login.,Customer Support,2023-09-12T21:26:00Z
I didn't receive any callback after multiple complaints.,Loans and Credit Services,2022-04-30T09:51:00Z
Loan application got rejected without explanation.,Trust and Security,2022-06-08T00:13:00Z
Unexpected charges were added to my account.,Customer Support,2024-04-01T01:27:00Z
OTP fails to arrive occasionally.,Trust and Security,2023-01-06T20:46:00Z
Waiting time on support calls is too long.,Digital Banking Experience,2022-08-30T05:04:00Z
Interest rates are higher than competitors.,Customer Support,2022-05-03T05:32:00Z
Transactions are often delayed during weekends.,Loans and Credit Services,2022-01-15T01:20:00Z
Had to reset password multiple times unnecessarily.,Loans and Credit Services,2023-07-06T19:26:00Z
Customer care was not helpful at all.,Digital Banking Experience,2023-11-11T09:27:00Z
"The app layout is decent, nothing fancy.",Transactions and Payments,2023-06-06T15:00:00Z
"Support was okay, but could be faster.",Customer Support,2022-08-03T03:55:00Z
Loan process took time but eventually worked.,Trust and Security,2022-11-19T00:30:00Z
"No major issues so far, using it mostly for balance checks.",Customer Support,2023-11-15T02:24:00Z
Basic features work fine. Haven’t explored much.,Transactions and Payments,2022-11-07T00:47:00Z
I got a notification for each transaction. That’s good.,Loans and Credit Services,2023-08-13T16:46:00Z
"Still getting used to the interface, not bad though.",Customer Support,2024-06-07T10:28:00Z
"Support agent was polite, but needed supervisor's help.",Trust and Security,2023-01-07T05:19:00Z
Bank app works. Just works.,Transactions and Payments,2024-04-01T16:31:00Z
Loan terms were average. Nothing special.,Transactions and Payments,2022-08-19T08:29:00Z
