Comment,Aspect,Date
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?","Transaction, Payments and Accounts",2022-03-04T11:49:26Z
Credit cards couldn't add... I tried several times and different cards...,Loans and Credit Services,2021-06-17T14:57:21Z
One of the best app i got,Digital Banking Experience,2021-03-14T14:32:32Z
This is the best digital wallet I have used in Sri lanka. Has made payments 100 times easier by HNB.,"Transaction, Payments and Accounts",2021-03-02T16:58:50Z
The application is not in App Store for iPhones,Digital Banking Experience,2021-02-21T00:12:07Z
can i use this app offline?,Digital Banking Experience,2021-02-20T02:36:23Z
"One of the the best app I got
So many offers & easy payment methods
Best wallet app ",Digital Banking Experience,2021-02-20T01:03:21Z
Can i get btech here? I've secured 98 in PCM general category,Others,2023-07-17T12:48:12Z
Brother hnb digital banking use pani bank account open panamudiyuma,Digital Banking Experience,2025-01-01T06:44:23Z
Please share a video Corporate Net banking for how to login for new user,Digital Banking Experience,2023-11-18T03:40:22Z
Yes it is useful. But also say how  to get a  pdf receipt  after making a fund Transfer,"Transaction, Payments and Accounts",2023-01-16T14:02:38Z
Hnb very good mobile app,Digital Banking Experience,2022-04-25T07:20:34Z
How Can I change my registered mobile number to a new number ?should I visit the bank or can I do it online?,Digital Banking Experience,2021-11-09T16:02:37Z
Please tell how to transfer fund from HNB savings account to HNB credit card through Digital Banking App .,"Transaction, Payments and Accounts",2021-07-31T12:04:44Z
bro how to use from laptop with same user and password coz i yey its not working please can you advise,Digital Banking Experience,2021-07-02T21:34:05Z
bro showing debit frozen?,Loans and Credit Services,2021-06-27T17:55:58Z
It’s good but can’t understand tamil ,Others,2021-06-03T18:07:37Z
Please do it for NSB bank,Others,2021-05-29T03:55:41Z
Can pay another banks Credit card payment by hnb online,"Transaction, Payments and Accounts",2021-05-26T17:06:04Z
Wrong account number sending money how to refund,"Transaction, Payments and Accounts",2024-03-06T15:25:13Z
Thank you for guiding us on how to withdraw from the ATM ,"Transaction, Payments and Accounts",2024-02-02T14:00:16Z
How to change phone number in bank app? Plz reply bcz my srilanka phone number doesn't work.bcz now I'm in uk,Digital Banking Experience,2024-11-14T08:14:59Z
Brother Can you say please how to change username in mobile banking app in HNB newly.,Digital Banking Experience,2023-10-31T03:35:57Z
Brother Can you say please how to change username in mobile banking app in HNB newly.,Digital Banking Experience,2023-10-31T03:35:44Z
"Hello, is it possible to transfer money to any Indian Bank Account using the HNB mobile application?",Digital Banking Experience,2022-02-09T14:08:56Z
