comment,aspect,published_at
Solo app eken wena bank ecount walata money transfer karana puluwnda,Digital Banking Experience,2023-10-04T17:52:56Z
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,Loans and Credit Services,2022-08-14T15:28:08Z
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?","Transaction, Payments and Accounts",2022-03-04T11:49:26Z
Credit cards couldn't add... I tried several times and different cards...,Loans and Credit Services,2021-06-17T14:57:21Z
This is the best digital wallet I have used in Sri lanka. Has made payments 100 times easier by HNB.,"Transaction, Payments and Accounts",2021-03-02T16:58:50Z
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,"Transaction, Payments and Accounts",2021-02-22T01:08:36Z
The application is not in App Store for iPhones,Digital Banking Experience,2021-02-21T00:12:07Z
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.😥,"Transaction, Payments and Accounts",2021-02-20T02:55:08Z
"One of the the best app I got
So many offers & easy payment methods
Best wallet app ❤️",Digital Banking Experience,2021-02-20T01:03:21Z
ATM Fee saver app is very helpful for every traveller :),Digital Banking Experience,2023-06-22T20:05:09Z
HNB Credit card ekakin unath me app ekta register wenna puluwanda,Loans and Credit Services,2022-07-28T07:04:52Z
Fund transfer interbase එකට යන්න බැ නේ මොකද්ද notice එකක් එනවා ඒකට මොකුත් කරන්න බැරිද?,"Transaction, Payments and Accounts",2022-07-09T05:05:14Z
"Hello, is it possible to transfer money to any Indian Bank Account using the HNB mobile application?",Digital Banking Experience,2022-02-09T14:08:56Z
Wrong account number sending money how to refund,"Transaction, Payments and Accounts",2024-03-06T15:25:13Z
"Account preference kiyala, View and transact option eka on wenne nh",Loans and Credit Services,2023-10-01T06:31:03Z
අවුරුද්දකට කීයක් chage කරනවද  online banking වලට බැංකුවෙන්.,Digital Banking Experience,2023-09-11T15:44:07Z
Please share a video Corporate Net banking for how to login for new user,Digital Banking Experience,2023-11-18T03:40:22Z
Yes it is useful. But also say how  to get a  pdf receipt  after making a fund Transfer,"Transaction, Payments and Accounts",2023-01-16T14:02:38Z
Bro already use pannirunthan aana ippo marupadiyum install Panna user name wrong nu solluthu,Digital Banking Experience,2022-05-13T04:40:37Z
Hnb very good mobile app,Digital Banking Experience,2022-04-25T07:20:34Z
Hnb digital banking or comb bank ithila ethu best?,Digital Banking Experience,2022-03-30T03:29:43Z
Online moolam hnb bank account create pannalama,Digital Banking Experience,2021-11-29T09:17:27Z
How Can I change my registered mobile number to a new number ?should I visit the bank or can I do it online?,Digital Banking Experience,2021-11-09T16:02:37Z
bro debit card pin enga iruku..im a new user..so edhunu puriyamatengudhu..urgentt pls rply bro,Loans and Credit Services,2021-10-29T07:56:10Z
Bro after o/l hnb bank la loan apply pannalama?,Loans and Credit Services,2021-10-05T09:50:49Z
Please tell how to transfer fund from HNB savings account to HNB credit card through Digital Banking App .,"Transaction, Payments and Accounts",2021-07-31T12:04:44Z
bro how to use from laptop with same user and password coz i yey its not working please can you advise,Digital Banking Experience,2021-07-02T21:34:05Z
bro showing debit frozen?,Loans and Credit Services,2021-06-27T17:55:58Z
brother HNB Digital Banking la irundhu Commerial or Boc Bank Account ku Cash Tranfer Panna Mudiuma,Digital Banking Experience,2021-06-14T06:29:36Z
"Hi anna, itha use panni indian bank accountuku money send pannalama ?? Plz reply or foreign accountuku(india) money eppidi transfer pannrathunu explain pannunga....Tq","Transaction, Payments and Accounts",2021-06-11T15:02:54Z
"Hi bro
Nanum hnb digital banking app than use pannuran.
Entha apps a oru account madduma use panna mudiyum",Digital Banking Experience,2021-06-05T13:12:17Z
It’s good but can’t understand tamil 😕💔😂,Others,2021-06-03T18:07:37Z
Please do it for NSB bank,Others,2021-05-29T03:55:41Z
Can pay another banks Credit card payment by hnb online,"Transaction, Payments and Accounts",2021-05-26T17:06:04Z
Anna bank cheque ah paththi sollunga anna,Loans and Credit Services,2021-05-26T10:01:22Z
Best money transfer app paththi podunga bro,Digital Banking Experience,2021-05-23T03:41:59Z
Online Bank Fund Transfer video ondu podunga bro,Digital Banking Experience,2021-05-22T15:28:53Z
