comment,aspect,published_at
Solo app eken wena bank ecount walata money transfer karana puluwnda,Digital Banking Experience,2023-10-04T17:52:56Z
Credit cards couldn't add... I tried several times and different cards...,Loans and Credit Services,2021-06-17T14:57:21Z
One of the best app i got,Digital Banking Experience,2021-03-14T14:32:32Z
This is the best digital wallet I have used in Sri lanka. Has made payments 100 times easier by HNB.,"Transaction, Payments and Accounts",2021-03-02T16:58:50Z
The application is not in App Store for iPhones,Digital Banking Experience,2021-02-21T00:12:07Z
can i use this app offline?,Digital Banking Experience,2021-02-20T02:36:23Z
"One of the the best app I got
So many offers & easy payment methods
Best wallet app ",Digital Banking Experience,2021-02-20T01:03:21Z
ATM Fee saver app is very helpful for every traveller :),Digital Banking Experience,2023-06-22T20:05:09Z
Please share a video Corporate Net banking for how to login for new user,Digital Banking Experience,2023-11-18T03:40:22Z
Yes it is useful. But also say how  to get a  pdf receipt  after making a fund Transfer,"Transaction, Payments and Accounts",2023-01-16T14:02:38Z
Hnb very good mobile app,Digital Banking Experience,2022-04-25T07:20:34Z
Hnb digital banking or comb bank ithila ethu best?,Digital Banking Experience,2022-03-30T03:29:43Z
How Can I change my registered mobile number to a new number ?should I visit the bank or can I do it online?,Digital Banking Experience,2021-11-09T16:02:37Z
Please tell how to transfer fund from HNB savings account to HNB credit card through Digital Banking App .,"Transaction, Payments and Accounts",2021-07-31T12:04:44Z
It’s good but can’t understand tamil ,Others,2021-06-03T18:07:37Z
Please do it for NSB bank,Others,2021-05-29T03:55:41Z
Can pay another banks Credit card payment by hnb online,"Transaction, Payments and Accounts",2021-05-26T17:06:04Z
Wrong account number sending money how to refund,"Transaction, Payments and Accounts",2024-03-06T15:25:13Z
Thank you for guiding us on how to withdraw from the ATM ,"Transaction, Payments and Accounts",2024-02-02T14:00:16Z
"Hello, is it possible to transfer money to any Indian Bank Account using the HNB mobile application?",Digital Banking Experience,2022-02-09T14:08:56Z
